RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,6,El Puente (2016),Marysabel Caballero Garcia,"Chinacla, La Paz",91.7
1b,6,El Puente (2016),Marysabel Caballero Garcia,"Chinacla, La Paz",91.7
2a,10,El Nacimiento No. 1 (2016),Job Neel Cacerez Diaz,"Santa Barbara, Santa Barbara",90.84
2b,9,El Nacimiento No. 1 (2016),Job Neel Cacerez Diaz,"Santa Barbara, Santa Barbara",90.84
3a,5,Los Cedros,Juan Manuel Hernandez Lopez,"Morazan, Yoro",90.43
3b,5,Los Cedros,Juan Manuel Hernandez Lopez,"Morazan, Yoro",90.43
4,21,El Guayabo (2016),Mario Alexis Moreno Leiva,"Las Vegas, Santa Barbara",89.91
5,19,El Espejo (2016),Fredi Leonel Castellanos Hernandez,"Las Vegas, Santa Barbara",89.4
6,21,Mira Valle (2016),Miroslav Cuculiza,"Guaimaca, Francisco Morazan",89.01
7,26,El Liquidambo,Guadalupe Rodriguez,"Masaguara, Intibuca",88.81
8,32,Las Flores,Roger Antonio Domingez Marquez,"Marcala, La Paz",88.59
9,18,La Montañita,Evin Joel Moreno Reyes,"Las Vegas, Santa Barbara",88.49
10,22,Gosen,Ronal Alexander Nolasco Argueta,"Chinacla, La Paz",88.31
11,22,El Nacimiento No. 2,Fani Yeselia Moreno Lopez,"Santa Barbara, Santa Barbara",87.83
12,18,Nueva Esperanza (2016),David Omar Muñoz Ulloa,"Santa Barbara, Santa Barbara",87.54
13,27,Los Ingertos (2016),Dimas Antonio Claros Cardona,"Marcala, La Paz",87.48
14,24,El Naranjo,Carmen Fabiola Fiallos Melendez,"Marcala , La Paz",87.45
15,37,El Durazno,Marcelo Olvan Ventura,"Jesus de Otoro, Intibuca",87.41
16,21,Bella Vista (2016),Alex Ramon Ponce Rodriguez,"Cabañas, La Paz",87.28
17,21,El Matazano (2016),Francisco Antonio Castillo David,"Tutule, La Paz",87.24
18,19,Buena Vista,Hernán Gómez Reyes,"Masaguara, Intibuca",87.19
19,20,El Durasno (2016),Orbin Yovani Dominguez Matute,"Masaguara, Intibuca",87
20,19,El Filo (2016),Miguel Moreno Leiva,"Las Vegas, Santa Barbara",86.9
21,18,Yire (2016),Juan Carlos Manueles Ventura,"Santa Elena, La Paz",86.8
22,22,Orellana (2016),Bryan Alberto Orellana Matamoros,"San Francisco Ojueras, Santa Barbara",86.33
23,25,Las Manzanas (2016),Dely Suyapa Matute Ramirez,"Masaguara, Intibuca",86.2
