RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,15,El Sauce II,Franklin Adonis Madrid Lote 2,"El Sauce, Sta. Barbara, Santa Barbara",90.76
2,13,Moreno,Pedro Moreno,"El Cedral, Las Vegas, Santa Barbara",90.57
3,19,El Campo,Miguel Moreno Leiva lote 2,"El Cedral, Las Vegas, Santa Barbara",89.86
4,13,Cielito Lindo,Extreberto Cáceres Gutíerrez,"El Cielito, El Ocotillo, Santa Bárbara",89.05
5,15,La Mora,Servando Galo Rodríguez Lote 1,"Santiago de Puringla, La Paz",88.71
6,15,Chichicastal,Servando Galo Rodríguez Lote 2,"Santiago de Puringla, La Paz",88.29
7,15,Portillo,Bertilio Reyes Portillo,"El Cielito, Santa Bárbara",88.05
8,22,La Montaña,Tatiana Lara,"Not Available, Not Available",87.67
9,11,La Guinellera,Miguel Angel Ortíz Vegas Lote 1,"Las Flores, Santa Barbara",87.62
10,10,El Joconal,Wilmer Paz Hernández,"La Union, Lempira",87.1
11,16,El Filo,Miguel Moreno Leiva lote 1,"El Cedral, Las Vegas, Santa Barbara",86.43
12,15,La Piñona,Sebastian Benitez,"El Cielito, Santa Barbara",86.38
13,10,Cerro Obscuro,Manuel de Jesús Villeda,"Lepaera, Lempira",86.1
14,16,Guzmán,Ramiro Guzmán,"El Cielito, Santa Barbara",86.1
15,16,Las Manos,José Misael Caballero,"El Cielito, Santa Barbara",86.1
16,17,EL Plan,Franklin Adonis Madrid Lote 1,"San Luis Planes, Santa Barbara",86
17,19,Fernández,Cesar Agusto Fernández Fernández,"El Cielito, Santa Barbara",85.9
18,18,San José,José Arnold Paz Mejía,"Alianza, Colinas, Santa Barbara",85.86
19,18,El Filo II,Jesús Geovany Moreno Leiva,"El Cedral, Las Vegas, Santa Barbara",85.52
20,15,Rio Helado,Manuel Antonio Tróchez Baide,"Santa Barbara, Santa Barbara",85.29
21,19,Oropendulas,Desiderio Vásquez,"Belen, Ocotepeque",85.24
22,14,Don Juan,Juan de la Cruz Teruel Guzmán,"El Cielito, Santa Barbara",84.86
23,16,El Alba,Alba Leticia Ochoa Camacho,"Jesus de Otoro, Intibuca",84.71
24,12,Santa Clara,Raúl Manueles,"Chinacla, La Paz",84.67
25,21,Agapantos,Rafael de Jesús Chinchilla Chinchilla,"Valle de Angeles, Francisco Morazan",84.38
26,13,Las Amazonas,Erzi Moises Herrera Urizar,"Chinacla, La Paz",84.33
