RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,19,Los Yoyos,Eulogio Martínez,"Santa Bárbara, Santa Bárbara",91.19
2,21,Buena Vista,Hernán Gómez Reyes,"Masaguara, Intibuca",90.81
3,24,El Durazno,Marcelo Olvan Ventura,"Jesus de Otoro, Intibuca",90.65
4,21,El Espejo,Fredy Leonel Castellanos Hernandez,"Las Vegas, Santa Bárbara",90.42
5,41,Moreno (2015),Pedro Moreno,"Las Vegas, Santa Bárbara",89.5
6,18,El Liquidambar,Maria Nery Marquez Granados,"Marcala, La Paz",89.27
7,15,Las Moras,Angel Daniel Rodriguez Funez,"La Paz, La Paz",88.85
8,23,Liquidambar,Guadalupe Rodriguez,"Masaguara, Intibuca",88.27
9,27,Las Flores,Maria de Jesus Lontero Montoya,"Santa Bárbara, Santa Bárbara",88.08
10,20,Mi Esperanza,Dunia Aracely Sanchez Vasques,"Santa Elena, La Paz",87.88
11,23,El Aguacate,Selvin Javier Castillo,"La Paz, Comayagua",87.83
12,20,Mi Paz (2015),Olvin Esmelin Fernandez Paz,"Santa Bárbara, Santa Bárbara",87.58
13a,19,Santa Lucia (2015),Café Azul Meambar,"Siguatepeque , Comayagua",87.46
13b,20,El Retoño (2015),Suyapa Leticia Argueta Suazo,"San Sebastian, Comayagua",87.46
15,20,El Nacimiento,Job Neel Cáceres Díaz,"Santa Bárbara, Santa Bárbara",87.33
16a,19,La Quebrada,Dolmin Josue Moreno Alvarado,"Las Vegas, Santa Bárbara",87.29
16b,20,El Guayabo,Mario Alexis Moreno Leiva,"Las Vegas , Santa Bárbara",87.29
16c,29,La Montañitas,Evin Joel Moreno Reyes,"Las Vegas, Santa Bárbara",87.29
19,31,La Colmena (2015),Angel Arturo Paz Ramirez,"Santa Bárbara, Santa Bárbara",87.17
20,24,Los Manzanas,Dely Suyapa Matute Ramirez,"Masaguara, Intibuca",87.13
21,20,La Mora (2105),Servando Galo Rodriguez,"Santiago, La Paz",86.96
22,22,Nueva Vision,Juan Vitalino Perez Murillo,"Yorito, Yoro",86.92
23a,16,Los Pinos,Juaquina Montoya Alvarado,"Masaguara, Intibuca",86.79
23b,26,El Matazano,Roberto Rene Ventura,"Santa Elena, La Paz",86.79
25,23,La Moras,Antonio Dominguez Gonzales,"Masaguara, Intibuca",86.63
26,20,Azabache,Miguel Alonzo Muñoz,"Danli, El Paraiso",86.54
27,19,Yire,Juan Carlos Manueles Ventura,"Santa Elena, La Paz",86.46
28,23,Las Amazonas,Ezri Moisés Herrera Urizar,"Chinacla, La Paz",86.25
29,43,Palo Seco,Juan Claros Cardona,"Masaguara, Intibuca",86.08
30a,18,El Matazano,Francisco Antonio Castillo David,"San Pedro Tutule, La Paz",86.04
30b,17,La Arada,Fredy Orlando Perez Amaya,"San Andres, Lempira",86.04
32,16,Los Injertos,Dimas Antonio Claros Cardona,"Marcala, La Paz",85.88
33,32,Bañaneros,Hotilio Hernandez Membreño,"Santiago , La Paz",85.79
34,25,Integral el Cipres (2015),Catalino Vasquez Hernandez,"Santiago, La Paz",85.67
35,25,El Mineral,Salvador Sanchez Enrriquez,"Comayagua, Comayagua",85.5
36,40,El Aguacate,Magdaleno Rodriguez,"Masaguara, Intibuca",85.33
37,30,Buenas Noches,Mauricio Colindres,"Moroceli, El Paraiso",85.21
38,21,Pantanal,Marysabel Caballero Garcia,"Chinacla, La Paz",85.13
