LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Los Yoyos,19,$23.30/lb,"$29,218.20","Maruyama Coffee, Yamada Coffee, Yokoi Coffee, Adachi Coffee, Saza Coffee, Nagahama Coffee, Saza Coffee"
2,Buena Vista,21,$23.10/lb,"$32,016.60",TERAROSA(HAKSAN Co.Ltd)
3,El Durazno,24,$23.10/lb,"$36,590.40","UCC Ueshima Coffee Co., Ltd."
4,El Espejo,21,$10.60/lb,"$14,691.60",CAFFE PASCUCCI S.p.A.
5,Moreno (2015),41,$6.20/lb,"$16,777.20",M.I. COFFEE CORPORATION
6,El Liquidambar,18,$7.80/lb,"$9,266.40","Almacielo, De Ballon"
7,Las Moras,15,$11.10/lb,"$10,989.00","TOA COFFEE Co.,Ltd."
8,Liquidambar,23,$8.60/lb,"$13,054.80",MOMOS COFFEE
9,Las Flores,27,$6.30/lb,"$11,226.60","Time’s Club, Tashiro Coffee (JAPAN) // Proud Mary (AUSTRALIA) // Coffee Libre (KOREA)"
10,Mi Esperanza,20,$5.10/lb,"$6,732.00",MOKKA SPECIALITY COFFEE
11,El Aguacate,23.00,$5.40/lb,"$8,197.20",Campos Coffee
12,Mi Paz (2015),20,$5.10/lb,"$6,732.00",Kyokuto Fadie Corporation
13a,Santa Lucia (2015),19,$7.10/lb,"$8,903.40",Campos Coffee
13b,El Retoño (2015),20.00,$5.10/lb,"$6,732.00","Linking Coffee Co., Ltd."
15,El Nacimiento,20,$5.00/lb,"$6,600.00",NAGAHAMA COFFEE Inc.
16a,La Quebrada,19,$5.10/lb,"$6,395.40","KAFFA as, Oslo"
16b,El Guayabo,20,$6.20/lb,"$8,184.00","WATARU for Matsuya Coffee Bu, SHRUB"
16c,La Montañitas,29,$5.10/lb,"$9,761.40","TASHIRO COFFEE Co.,Ltd"
19,La Colmena (2015),31,$5.40/lb,"$11,048.40","KAFFA as, Oslo"
20,Los Manzanas,24,$5.10/lb,"$8,078.40",Orsir Coffee (Taiwan)
21,La Mora (2105),20,$4.70/lb,"$6,204.00","Wataru & Co., Ltd."
22,Nueva Vision,22.00,$4.90/lb,"$7,114.80","Wataru & Co., Ltd."
23a,Los Pinos,16,$5.00/lb,"$5,280.00","Almacielo, De Ballon"
23b,El Matazano,26,$4.70/lb,"$8,065.20",Kaffebrenneriet as
25,La Moras,23,$4.60/lb,"$6,982.80",MOMOS COFFEE
26,Azabache,20.00,$4.60/lb,"6,072.00","NAGAHAMA COFFEE, COFFEE FACTORY, COFFEE ROAST, MAGNOLIA COFFEE ROASTERS, ISHII Corporation"
27,Yire,19,$4.50/lb,"5,643.00",Coffee Libre
28,Las Amazonas,23,$4.20/lb,"$6,375.60","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
29,Palo Seco,43,$4.40/lb,"$12,487.20","Nippon Coffee Trading Co.,Ltd"
30a,El Matazano,18.00,$4.60/lb,"5,464.80",honuKATOCOFFEE Inc.
30b,La Arada,17.00,$4.60/lb,"$5,161.20","Wataru & Co., Ltd."
32,Los Injertos,16.00,$4.20/lb,"4,435.20",WATARU for TAKAMURA COFFEE ROASTERS
33,Bañaneros,32,$4.50/lb,"$9,504.00",Coffee Libre
34,Integral el Cipres (2015),25,$4.70/lb,"7,755.00",Coffee Libre
35,El Mineral,25,$4.20/lb,"$6,930.00","RYANS COFFEE ROASTERS, Cafe Nara, Coffee Montage, KOALA COFFEE FACTORY, Cafe Diart, Cafe Hong-Si"
36,El Aguacate,40,$4.30/lb,"$11,352.00","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
37,Buenas Noches,30,$4.20/lb,"$8,316.00","Wataru & Co., Ltd."
38,Pantanal,21,$4.10/lb,"5,682.60",MOMOS COFFEE
