LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Buenavista,47,$14.50/lb,"$36,061.50","BANEXPORT SA, CAFE 18 (Colombia) // Cafe Imports (USA) // Wataru & Co., Ltd, Maruyama Coffee (Japan) // Cafe Libre (Korea) // Haru Cafe (Taiwan) // Campos Coffee (Australia) // C&C (Japan)"
2,La Florida (2015),49,$10.00/lb,"$25,930.00","Time’s Club, Tashiro Coffee (Japan) // Coffee Libre (South Korea) // Proud Mary (Australia)"
3,El Porvenir (2015),47,$7.60/lb,"$18,901.20","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
4,El Placer,50,$6.70/lb,"$17,728.20","WATARU for FRESH ROASTER COFFEE TONYA CO.,LTD"
5,El Mirador,48,$6.61/lb,"$16,789.40","UCC Ueshima Coffee Co., Ltd."
6,San Isidro,48,$6.01/lb,"$15,265.40",Kaffebrenneriet as
7a,Las Mercedes,48,$5.70/lb,"$14,478.00","ALMACIELO, De Ballon"
7b,La Estrella,47,$5.40/lb,"$13,429.80",Caravela Coffee for Four Barrel Coffee
9,Fortuna,51,$5.65/lb,"$15,243.70","32cup, Cantata, Dutch Barista, Viva Sara, 24Grad, Kaffitar"
10,Peñitas,52,$5.40/lb,"$14,855.40",MareTerra 2003 S.L.
11,La Esmeralda,47,$5.80/lb,"$14,424.60",Cafe Imports
12,El Descanso,48,$4.60/lb,"$11,684.00",NAGAHAMA COFFEE Inc.
13,El Diviso-Sanjon,48,$5.15/lb,"$13,081.00",Tres Cabezas Berlin (Germany) // List & Beisler GmbH (Germany)
14,Buenos Aires,47,$5.50/lb,"$13,678.50",MC FOODS LIMITED
15,Miraflores,48,$4.60/lb,"$11,684.00",honuKATOCOFFEE Inc.
16a,Consuelo,47,$4.71/lb,"$11,713.77","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
16b,Lote Alexandra – Finca…,47.00,$5.10/lb,"$12,683.70","32cup, Cantata, Dutch Barista, Viva Sara, 24Grad, Kaffitar"
18,La Cuadra,49,$7.70/lb,"$19,966.10",Campos Coffee
19a,Las Brisas,47,$6.00/lb,"$14,922.00",Kyokuto Fadie Corporation
19b,La Villa,48,$4.60/lb,"$11,684.00",DONGJIN TRADING
21,Buenavista,48,$4.40/lb,"$11,176.00","Wataru & Co., Ltd."
22,El Paraiso,50.00,$4.50/lb,"$11,907.00","Wataru & Co., Ltd."
23,Lote Leonardo,48.00,$4.40/lb,"$11,176.00","Nippon Coffee Trading Co., Ltd."
24,El Mirador,48.00,$4.50/lb,"$11,430.00",InterAmerican Coffee GmbH
25,La Golondrina,48,$4.40/lb,"$11,176.00","Wataru & Co., Ltd."
26,El Tolu (2015),95,$4.20/lb,"$21,113.40","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa"
27,Lucitania,47,$4.40/lb,"$10,942.80",Merlo Coffee
28,El Silencio,52.00,$4.61/lb,"$12,682.11","RYANS COFFEE ROASTERS, BROWNHOLIC COFFEE ROASTERS, DANAUTOBA, S.W.Park, Cafe Nara, Cafe Mule, Retro60 Coffee, Cafe 101, Cinestar.J.W., Happy Beans, Woojongho coffee, The Good-day"
29,Buenavista,48,$4.61/lb,"$11,709.40",honuKATOCOFFEE Inc.
30,Caracol,48,$4.20/lb,"$10,668.00",DONGJIN TRADING
31,La Miranda,48,$5.10/lb,"$12,954.00",Procafecol S.A.
