LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Los Nogales,14,$19.10/lb,"$41,266.13",Maruyama Coffee for Mikatajuku group
2,Buena Vista,14,$8.10/lb,"$17,500.29","Mercanta The Coffee Hunters for Monmouth Coffee Company (London), Cafes El Magnifico (Barcelona), The Golden Coffee Box (Netherlands)"
3,La Estrella,14,$9.25/lb,"$19,984.90",Maruyama Coffee for Mikatajuku group
4,Diamante – Buenos Aires,14,$5.65/lb,"$12,207.00",Wataru for Beans Coffee Sales
5,Betania,14,$5.55/lb,"$11,990.94","Toa Coffee Co.,Ltd."
6,La Carol,14,$5.55/lb,"$11,990.94","Coffee Masters, Inc."
7,Pradera – Esperanza,14,$5.65/lb,"$12,207.00",Sweet Maria’s
8,Finca La Ceiba,14,$5.40/lb,"$11,666.86","Mercanta The Coffee Hunters for Dethlefsen & Balk (Hamburg), Mokkamestarit Oy (Finland) and The Coffee Company (Amsterdam)"
9,El Carrizo,14,$6.45/lb,"$13,935.42","Bontain Coffee Co.,ltd."
10,Diamante,14,$5.30/lb,"$11,450.81","Arab Coffee Co., Ltd and Asahi Coffee & Tashiro"
11,El Clavel,14,$5.55/lb,"$11,990.94","World Coffee Co.,Ltd."
12,El Progreso,14,$5.30/lb,"$11,450.81","Caravan Coffee Co.,Ltd."
13,Dos Climas,14,$5.00/lb,"$10,802.65",Maruyama Coffee for Mikatajuku group
14,El Saladero,14,$5.15/lb,"$11,126.73","UCC Ueshima Coffee Co., Ltd."
15,Charpeñon,14,$5.05/lb,"$10,910.68","Nippon Coffee Trading Co., Ltd."
16,El Altico,14,$5.11/lb,"$11,040.31","Caravan Coffee Co.,Ltd."
17,Esperanza,14,$5.05/lb,"$10,910.68",Solberg & Hansen AS
18,Villa Catalina,14,$5.10/lb,"$11,018.70","Wataru & Co., Ltd."
19,El Diviso,14,$4.80/lb,"$10,370.54",Gala coffee and Tea Ltd on behalf of Waitrose Ltd
20,Betania 2,14,$5.05/lb,"$10,910.68",Wataru for Toho Coffee
21,El Paraiso,14,$5.15/lb,"$11,126.73","Wataru & Co., Ltd."
22,El Naranjito,14,$4.75/lb,"$10,262.52",Wataru for Shrub
23,Candela,14,$4.90/lb,"$10,586.60",Gala Coffee & Tea Ltd
24,San José,14,$4.85/lb,"$10,478.57",Kyokuto Fadie Corporation
25,La Florida,14,$4.90/lb,"$10,586.60",Gala coffee and Tea Ltd on behalf of Waitrose Ltd
