LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Primavera,43,$45.10/lb,"$103,803.51","Café Imports (USA), George Howell Coffee (USA), Kean Coffee (USA), Mecca Espresso (Australia) and Robert Kao and Co. Ltd (Taiwan)"
2,Las Mercedes,52,$37.80/lb,"$105,001.60","Invalsa Coffee® (USA), Solberg & Hansen (Norway), Intelligentsia (USA), Tony’s Coffee (USA), George Howell Coffee (USA), Electric City (USA), Specialty Coffee (Korea), Moxxee Coffee (USA), Java Bend (Canada), Maruyama Coffee (Japan), Amor Perfecto (Colomb"
3,El Diamante,49,$20.10/lb,"$52,643.71","Amor Perfecto (Colombia), Orsir Coffee (Taiwan), Bontain Coffee, Saza Coffee, Adachi Coffee and Maruyama Coffee (Japan)"
4,El Carmen – San Rafael,43,$15.40/lb,"$35,445.10","UCC Ueshima Coffee Co., Ltd."
5,Alcatrax,49,$8.20/lb,"$21,476.54","Time’s Club for C-COOP, Tashiro Coffee (Japan), Coffee Libre (South Korea)"
6,La Primavera,58,$10.10/lb,"$30,995.18","Toa Coffee Co.,Ltd. for Toa Coffee and Arab Coffe"
7,El Mirador,55,$8.20/lb,"$24,079.79",Kyokuto Fadie Corporation
8,Diamante,43,$7.60/lb,"$17,492.39","Invalsa Coffee® (USA), Specialty Coffee (Korea), Rojo’s Roastery (USA) Bard Coffee (USA), Java Blend (Canada), Moxxee Coffee (USA), Svieza Kava (Lithuania) and Carrboro Coffee (USA)"
9,San Isidro,46,$10.10/lb,"$24,849.64",Kaffebrenneriet as
10,El Mango,113,$5.30/lb,"$31,828.57",honuKATOCOFFEE Inc.
11,El Tolu,49,$7.10/lb,"$18,595.54",Wataru for OGAWA COFFEE
12,San Joaquin,46,$7.00/lb,"$17,222.52",Gustav Paulig Ltd (FINLAND)
13,Las Golondrinas,55,$8.10/lb,"$23,786.14",CHOI Coffee
14,Los Olivos,43,$7.60/lb,"$17,492.39","InterAmerican Coffee GmbH (Germany), Johan & Nyström (Sweden), elbgold Röstkaffee GmbH (Germany)"
15,La Bonanza,43,$8.10/lb,"$18,643.20","Wataru & Co., Ltd."
16,La Esmeralda,43,$6.80/lb,"$15,651.08","Nippon Coffee Trading Co.,Ltd"
17,Buenavista,43.00,$11.00/lb,"$25,317.93","Wataru & Co., Ltd."
18,La Esperanza,61,$6.10/lb,"$19,849.52",honuKATOCOFFEE Inc.
19,Los Corrales,49,$6.10/lb,"$15,976.45","Wataru & Co., Ltd."
20,El Carrizo,43,$7.70/lb,"$17,722.55","Bontain Coffee, ECOM Japan Limited for Voila Coffee"
21,La Maria Los Naranjos,43,$6.10/lb,"$14,039.94",Paul Verbunt Koffie BV – IJsselstein – The Netherlands
22,La Floresta,43.00,$6.20/lb,"$14,270.11","Coffee Bean International, Inc."
