RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,36,Chaçará São Judas Tadeu (2015),Antonio Rigno de Oliveira,"Piatã, Planalto Baiano / Chapada de Diamantina",91.22
2,36,Ouro Verde,Candodo Vladimir Ladeira Rosa,"Piatã, Planalto Baiano / Chapada de Diamantina",90.03
3,26,Sitio Monte Sinai,Luiz Mauro Araujo Miranda,"Araponga, Matas de Minas (Montanhas de Minas)",89.59
4,21,Sítio da Serra,Márcio de Souza Franqueira,"Carmo de Minas, Mantiqueira de Minas",88.97
5,23,Fazenda Trapiá,Andrea de Souza Rangel,"Baependi, Mantiqueira de Minas",88.44
6,29,Sítio Bateia 1,Marcos Antonio Tomazini,"Castelo, Montanhas do Espírito Santo",88.13
7,25,Sítio da Torre (2015),Álvaro Antônio Pereira Coli,"Carmo de Minas, Mantiqueira de Minas",87.91
8,34,Sítio Santo Antônio (2015),Antônio Macedo Souza,"Piatã, Planalto Baiano / Chapada de Diamantina",87.81
9,43,Serra das Três Barras (2015),José Wagner Ribeiro Junqueira,"Carmo de Minas, Mantiqueira de Minas",87.63
10,53,Água Limpa,Jorge Mackssur,"Cristina, Mantiqueira de Minas",87.26
11,22,Fazenda Santa Izabel,Fal Holdings Participações LTDA,"Ouro Fino, Sul de Minas",87.24
12,35,Tijuco,Zora Yonara Macedo Pina Oliveira,"Piatã, Planalto Baiano / Chapada de Diamantina",87.12
13,43,Kaquend,Ralph de Castro Junqueira,"Carmo de Minas, Mantiqueira de Minas",86.97
14,22,Sítio Nossa Senhora Aparecida,Eder Inocêncio Gonçalves,"Tomazina, Norte Pioneiro do Paraná",86.82
15,38,Fazenda Progresso Ltda,Fazenda Progresso Ltda,"Mucuge , Planalto Baiano / Chapada de Diamantina",86.79
16,22,Fazenda California,Flavia Garcia Mureb Jacob Saldanha Rodrigues,"Jacarezinho, Norte Pioneiro do Paraná",86.74
17a,22,Sítio Itajubá,Carlos Alberto Diniz,"Tomazina, Norte Pioneiro do Paraná",86.68
17b,23,Sítio Bateia (2015),Valdeir Dalcin Tomazini,"Castelo, Montanhas do Espírito Santo",86.68
19,23,Sítio Floresta,Eduardo Vettorazzi Tozi,"Castelo, Montanhas do Espírito Santo",86.59
20,21,Sitio Serra,Marcelo Moraes,"Poços de Caldas, Sul de Minas",86.44
21,23,Fazenda Irarema,Mauricio Carvalho Dias,"São Sebastião da Grama, Média Mogiana",86.35
22,38,Sítio Santa Terezinha (2015),Edson Rosa Garcia,"Carmo de Minas, Mantiqueira de Minas",86
