RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,12,Fazenda Santa Ines,Francisco Isidoro Dias Pereira,"Carmo de Minas, Minas Gerais",95.85
2,15,Fazenda São Benedito,Antônio José Junqueira Villela e outros,"Carmo de Minas, MG",92.65
3,26,Sítio São José,Luiz Roberto Moreira Ribeiro,"Carmo de Minas, Minas Gerais",91.54
4,20,Sítio Castelhano,Carlso Roberto dos Santos,"Pedralva, Minas Gerais",91.3
5,21,Fazenda Água Limpa,José Carlos Pereira de Carvalho,"Cristina, Minas Gerais",90.54
6,16,Fazenda Esperança,Cícero Viegas Cavalcanti De Albuquerque,"Carmo De Minas, Sul de Minas",90.02
7,20,Fazenda Tijuco Preto,Otacílio Dis de Castro,"Carmo de Minas, Minas Gerais",89.67
8,16,Fazenda Santo Antonio,Aluizio Pereira De Castro,"Olímpio Noronha, Minas Gerais",89.35
9,50,Fazenda Cachoeirinha,Evaldo Junqueira Villela,"Carmo de Minas, Minas Gerais",88.5
10,31,Fazenda Pedra Preta,Guilherme Dias De Castro,"Jesuania, Sul de Minas",88.46
11,17,Fazenda Monte Verde – Gleba 2,Luiz Cláudio Ferrari Ferraz de Almeida,"Carmo de Minas, Minas Gerais",88.09
12,19,Sítio Monte Alegre,Glycia Emerenciana Pereira Carneiro,"Carmo de Minas, MG",87.46
13,23,Faz,Nazareth Dias Pereira e outros,"Carmo de Minas, Minas Gerais",87.22
14,47,Serra do Rola Moça,Maria Lúcia Junqueira Pereira e outros,"Carmo de Minas, Minas Gerais",86.96
15,22,Fazenda Sr. Niquinho,Luiz Paulo Dias Pereira Filho,"Carmo de Minas, Minas Gerais",86.7
16,20,Fazenda Santa Lúcia,Helcio Carneiro Pinto e Outros,"Carmo de Minas, MG",86.3
17,39,Fazenda Santa,Joaquim Bernardes da Silva Dias,"São Sebastião da Grama, São Paulo",86.2
18,35,Fazenda Córrego Seco,Valmir Oliveira Santos,"Piatã, Bahia",86.04
19,15,Sítio São José,José Paceli Fernandes,"Pedralva, Minas Gerais",86.02
20,16,Sítio Bananal,Adriano José Ribeiro de Carvalho,"Cristina, Minas Gerais",86
21,14,Fazenda do Serrado,Maria Rogéria Costa Pereira,"Carmo de Minas, Minas Gerais",85.93
22,15,Sítio São José,Neles Nelson Huguinim Fernandes,"Santa Maria de Jetibá, Espírito Santo",85.87
23,27,Fazenda Santa Terezinha,Paulo Sérgio de Almeida e outros,"Paraisópolis, Minas Gerais",85.72
24,34,Fazenda Bela Vista,Walter Ferreira de Andrade,"São Sebastião da Grama, São Paulo",85.61
25,18,Sítio Monalisa,Sandra Helena Dias Pereira,"Carmo de Minas, Minas Gerais",85
26,19,Fazenda Santa Rita,Claudio Junqueira Ferraz De Almeida,"Carmo De Minas, MG",84.89
27,17,Fazenda Pedra do Sino,José Roberto Vidigal Santana,"Araponga, Minas Gerais",84.87
28,37,Sítio Pasto,Nelson Neves de Deus Filho,"Oliveira, Minas Gerais",84.65
29,23,Fazenda,Regina Helena Mello de Carvalho Dias,"São Sebastião da Grama, São Paulo",84.46
30,26,Sítio do Boné,Vanderlei Paulo Martins,"Araponga, Minas Gerais",84.46
31,16,Fazenda Ouro Preto,Fabiano Carvalho de Resende Filho,"Alfredo Chaves, Espírito Santo",84.3
32,23,Fazenda Cachoeira Da Grama,Gabriel De Carvalho Dias,"Araponga, Mogiana",84.3
33,13,Sítio Boa Sorte,Josane de Souza Lima Bissoli,"Afonso Cláudio, Espírito Santo",84.26
34,16,Sítio Grota São Pedro,Cláudio Carneiro Pinto,"Carmo de Minas, Minas Gerais",84.24
35,12,Sítio Batista,José Luiz Braga,"Pedralva, Minas Gerais",84.11
36,17,Sítio Santa Cruz,José Telmo Santiago Junqueira,"Carmo de Minas, Minas Gerais",84.02
