RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,30,Sitio São Francisco de Assis,Marisa Coli Noronha,"Carmo de Minas, MG",92.09
2,22,Fazenda Rainha,Fazenda Sertaozinho LTDA,"São Sebastião da Grama, SP",90.91
3,34,Serra das Três Barras,José Wagner Ribeiro Junqueira,"Carmo de Minas, MG",89.81
4,32,Sítio Santa Terezinha,Edson Rosa Garcia,"Carmo de Minas, MG",89.66
5,58,Fazenda Recreio,Homero Teixeira de Macedo Júnior,"São Sebastião da Grama, SP",89.5
6,24,JR (Junqueira Reis),José Flávio Ferraz Reis,"Carmo de Minas, MG",89.34
7,30,Sítio Bela Vista,Márcio Heleno de Carvalho Junqueira,"Dom Viçoso, MG",89.22
8,36,Fazenda São Benedito,Antônio José Junqueira Villela e outros,"Carmo de Minas, MG",88.28
9,46,Sítio Monte Alegre,Glycia Emerenciana Pereira Carneiro,"Carmo de Minas, MG",88.16
10,22,Rancho São Pedro,Pedro Sérgio Ferraz Reis,"Carmo de Minas, MG",87.13
11a,54,Fazenda da Pedra,Renata Guerra de Castro,"Carmo de Minas, MG",86.97
11b,46,Fazenda Santa Lúcia II,Helcio Carneiro Pinto e Outros,"Carmo de Minas, MG",86.97
12,98,Fazenda Monte Verde,José Roberto Canato,"Carmo de Minas, MG",86.94
13,32,Sítio Sertão da Bateia,Marcos Antonio Nalli,"Castelo, ES",86.88
14a,32,Sítio da Serra,Márcio de Souza Franqueir,"Carmo de Minas, MG",86.84
14b,26,Da Gema,Luiz Octávio Laurino Pereira,"Carmo de Minas, MG",86.84
15,46,Fazenda DO IP´,Luiz Paulo Dias Pereira e Outros,"Carmo de Minas, MG",86.75
16a,26,Sítio Santa Mariana II,Samuel Junqueira Villela,"Dom Viçoso, MG",86.72
16b,56,Sítio Araucária,Kleber de Castro Junqueira,"Carmo de Minas, MG",86.72
17,46,Água Limpa,José Clênio Pereira,"Cristina, MG",86.63
18,32,Sitio da Torre,Álvaro Antônio Pereira Coli,"Carmo de Minas, MG",86.59
19,28,Sítio Santa Mariana I,Lucas Junqueira Villela,"Dom Viçoso, MG",86.56
20a,46,Santo Expedito,Maria do Carmo Neiva Junqueira,"Carmo de Minas, MG",86.47
20b,22,Fazenda Dona Nenem,Eduardo Pinheiro Campos,"Presidente Olegário, MG",86.47
21,30,Fazenda Ouro Verde,Candido Vladimir Ladeia Rosa,"Piatã, BA",86.44
22a,24,Marimbondo,José Mauro Pereira Junqueira,"Carmo de Minas, MG",86.31
22b,44,Pedra Preta,Murilo Neiva Junqueira,"Carmo de Minas, MG",86.31
23,42,Fazenda da Mata,Lúcia Cristina Ianacone,"Carmo de Minas, MG",86.25
24,26,Sítio Paraiso,Cristiana Maria Carneiro Bustamante Figueira,"Concição das Pedras, MG",86.19
25,28,Sítio d Água Limpa,Marianna Carneiro de C. Junqueira,"Carmo de Minas, MG",86.16
26,20,Sitio Primavera,Romario José Fontes,"Piatã, BA",85.5
27,58,Fazenda Sertãozinho,Café Orfeu,"Botelhos, MG",85.41
