RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,38,Fazenda Ouro Verde,Candido Vladimir Ladeia Rosa,"Piatã, BA",91.08
2,44,Fazenda Sant’ana,Paulo Sergio Noronha Barleta,"Olimpio Noronha, MG",90.83
3,59,Fazenda Recreio,Homero Teixeira de Macedo Júnior,"São Sebastião da Grama, SP",89.42
4,54,Fazenda Monte Verde,José Roberto Canato,"Carmo de Minas, MG",89.15
5,41,Chacara São Judas Tadeu,Antonio Rigno De Oliveira,"Piata, BA",88.88
6,40,Fazenda Rainha,Fazenda Rainha Ltda,"São Sebastião da Grama, SP",87.9
7,33,Fazenda Passagem Funda,Manoel Gilmar Pereira,"Piata, BA",87.77
8,48,Fazenda Santa Ines,Francisco Isidro Dias Pereira,"Carmo De Minas, MG",87.63
9,40,Fazenda Santa Helena Ii,Luiz Claudio Ferrari Ferraz De Almeida,"Carmo De Minas, MG",87.38
10,44,Fazenda Corrego Seco,Edemar Lucio Matos Martins,"Piata, BA",87.13
11,36,Fazenda Gerias,Fabio Soares Dos Anjos,"Piata, BA",86.65
12,40,Fazenda Santa Rita,Claudio Junqueira Ferraz De Almeida,"Carmo De Minas, MG",85.92
13,50,Rancho São Benedito,Mariana De Carvalho Junqueira,"Dom Viçoso, MG",85.9
14,50,Fazenda Sertãozinho,Fazenda Sertãozinho Ltda,"Botelhos, MG",85.75
15,34,Fazenda Santa Bárbara,Eulino José de Novais,"Piatã, BA",85.71
16,46,Gleba Serra Fátima,Daniel Carvalho De Castro,"Carmo De Minas, MG",85.58
17,48,Fazenda Sertão,Nazareth Dias Pereira,"Carmo de Minas, MG",85.52
18,49,Fazenda Cerrado Grande,Raquel Ribeiro Aguiar,"Sto Antonio do Amparo, MG",85.52
19,36,Serra Do Bone,Carlos Sergio Sanglard,"Araponga, MG",85.33
20,38,Cambará,Algenio Ferrraz De Castro,"Carmo De Minas, MG",85.02
21,46,Sitio Monte Verde,Helcio Carneiro Pinto Junior,"Carmo de Minas, MG",84.96
22,44,Sitio Santo Antonio,Antonio Macedo Souza,"Piata, BA",84.9
23,48,Fazenda Santa Helena,Jacques Pereira Carneiro,"Carmo de Minas, MG",84.56
24,46,Rancho São Gabriel,Antonio Gabriel De Castro Pereira/Ou,"Carmo de Minas, MG",84.56
25,38,Fazenda Djanira,José Acylino De Lima Neto,"Carmo De Minas, MG",84.06
26,60,Granja São Francisco,Otaviano Ribeiro Ceglia,"Carmo De Minas, Sul De Minas",84.02
