RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,40,Grota São Pedro,Cláudio Carneiro Pinto,"Carmo de Minas, MG",93.91
2,40,Fazenda Serra do Boné,Carlos Sérgio Sanglard,"Araponga, MG",90.68
3,44,Serra das Três Barras,José Wagner Ribeiro Junqueira,"Carmo de Minas, MG",90.45
4,68,Fazenda Recreio,Homero Teixeira de Macedo Júnior,"São Sebastião da Grama, SP",90.36
5,92,São Marcos,Norival Fávaro,"Sarutaiá, SP",90.27
6,38,Colina da Pedra,Terezinha Marta Pereira Barros,"Cristina, MG",89.5
7,38,Sítio Bela Vista,Márcio Heleno de Carvalho Junqueira,"Dom Viçoso, MG",89.43
8,38,Fazenda Santa Bárbara,Eulino José de Novais,"Piatã, BA",89.2
9,32,Fazenda Paraíso,Antônio Fortes Bustamante,"Conceição das Pedras, MG",88.66
10,40,Sertãozinho,Fazenda Sertãozinho LTDA,"Botelhos, MG",88.02
11,32,Sítio São José,Sebastião Márcio Pereira Nogueira,"Carmo de Minas, MG",87.68
12,38,Fazenda Transwa l,Daltro Noronha Barros,"Cristina, MG",86.75
13,44,Fazenda Santa Mariana,Sebastião Marcio de Carvalho Junqueira,"Dom Viçoso, MG",86.57
14,46,Paixão,Paulo Dario Carneiro Pinto,"Carmo de Minas, MG",86.5
15,48,Sítio Rocinha,Demétrio Flaviano de Oliveira,"Pedralva, MG",86.32
16,34,Chácara Tijuco,Zora Yonara Macedo Pina Oliveira,"Piatã, BA",86.3
17,32,Fazenda Santa Lúcia,Helcio Carneiro Pinto e Outros,"Carmo de Minas, MG",86.02
18,44,Chacara São Judas Tadeu,Antonio Rigno De Oliveira,"Piata, BA",85.89
19,36,Fazenda Santa Alina,Lúcia Maria da Silva Dias,"São Sebastião da Grama, SP",85.89
20,40,Fazenda Rainha,Fazenda Rainha,"São Sebastião Da Grama, Mogiana",85.77
21,32,Sítio A. Santos do Altemir,Altemir Vieira dos Santos,"Piatã, BA",85.75
22,40,Sítio Cantinho da Serra,José Leandro Romao,"Castelo, ES",85.75
23,34,Fazenda do Sertão,Nazareth Dias Pereira e Outros,"Carmo de Minas, MG",85.57
24,63,Cachoeira Alta,Geraldo Antônio da Paixão,"Manhuaçu, MG",85.5
25,40,Santa Emiliana,Rogério Tostes Ferraz,"Carmo de Minas, MG",85.43
26,46,Café Cambará,Algênio Ferraz de Castro,"Carmo de Minas, MG",85.3
27,58,Gleba Serra de Fátima,Daniel Carvalho de Castro,"Carmo de Minas, MG",85.07
28,40,Sítio Grota Funda,Gláucio Carneiro Pinto,"Carmo de Minas, MG",84.64
29,44,Sítio Boa Vista,Jose Roberto Porto,"Sarutaiá, SP",84.64
30,37,Fazenda Senhor do Bonfim,Benyosef Rosa Soares,"Piatã, BA",84.34
31,38,Fazenda Califórnia,Luiz Roberto Saldanha Rodrigues,"Jacarezinho, PR",84.32
