RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,39,Fazenda Serra do Boné,Carlos Sérgio Sanglard,"Araponga, MG",95.35
2,20,Fazenda Esperança,Cícero Viegas Cavalcanti De Albuquerque,"Carmo De Minas, Sul de Minas",93.72
3,21,Fazenda do Serrado,Maria Rogéria Costa Pereira,"Carmo de Minas, Minas Gerais",91.8
4,20,Fazenda Recreio,Joaquim José de Carvalho Dias,"São Sebastião da Grama, SP",90.93
5,34,Fazenda Serra das Cabeças,Paulo Augusto Caram Nascif,"Araponga, Minas Gerais",90.91
6,20,Fazenda São Francisco,Inês Zoli Tassinari,"São José Vale Rio Preto, Rio de Janeiro",90.78
7,61,Fazenda São Paulo,Paulo Moreira de Paiva,"São Sebastião da Grama, São Paulo",90.7
8,24,Sítio Lenice,Milton Faria Bonette,"Pedralva, Minas Gerais",90.41
9,42,Fazenda Santa Mariana,Sebastião Marcio de Carvalho Junqueira,"Dom Viçoso, MG",89.2
10,20,Fazenda Santa inês,Luiz Botelho de Macedo Costa (Espólio),"São Sebastião da Grama, State of São Paulo",89.1
11,19,Fazenda Apucarana,Amélia Ferracioli Delarisse,"Patrocínio, Minas Gerais",87.11
12,21,Fazenda Cachoeirinha,Amaury Junqueira Villela,"Carmo de Minas, Minas Gerais",87.07
13,35,Sítio Vivenda das Águas,Antônio Ciro Santana,"Viçosa, Minas Gerais",86.89
14,21,Fazenda Santa Terezinha,Paulo Sérgio de Almeida,"Paraisópolis, Minas Gerais",86.8
15,25,Fazenda Córrego do Retiro,Railda Maria de Rezende Saraiva,"Araxá, Minas Gerais",86.8
16,84,Fazenda Barreiro,Carlos Alberto Paiva Pellicer,"Monte Santo de Minas, Minas Gerais",86.67
17,22,Fazenda do Rosário,José Ribeiro de Carvalho,"Dom Viçoso, Minas Gerais",86.63
18,23,Fazenda Cachoeira do Cambuí 2,Adônis Galileu dos Santos,"Muzambinho, Minas Gerais",86.43
19,20,Brauna,Demerval Aguiar Macedo,"Araponga, Minas Gerais",86.3
20,26,Sítio Araucária,Kleber de Castro Junqueira,"Carmo de Minas, MG",86.11
21,33,Sítio Dos Estouros,José Mauro Miranda,"Carmo De Minas, Matas de Minas",86.09
22,42,Fazenda Sertão,Nazareth Dias Pereira,"Carmo de Minas, MG",86.04
23,22,Sítio Bela Vista,Márcio Heleno de Carvalho Junqueira,"Dom Viçoso, MG",85.83
24,18,Fazenda Embiral,Benedito Pereira Faria,"Pouso Alto, Minas Gerais",85.74
25,25,Fazenda Santana,Maria Aparecida Pereira,"Olímpio Noronha, Minas Gerais",85.41
26,22,Sítio Vila Maria,José Evêncio Pola,"Vargem Alta, Espírito Santo",85.28
27,20,Fazenda Pedra Redonda,José Bernardes Santana,"Araponga, Minas Gerais",84.98
28,28,Fazenda Laranja Cravo,Romeu F Junqueira Guimarães e Outro,"Pouso Alto, Minas Gerais",84.98
29,44,Sítio Tranquilidade,José Antônio Nicolau Ferreira,"Tejupá, São Paulo",84.76
30,22,Sítio Serrabráz,Luiz Antônio Vergueiro,"Paraisópolis, Minas Gerais",84.26
31,20,Estância Tijuco Preto,José Fávaro,"Tejupá, São Paulo",84.04
32,19,Fazenda Tijuco Preto,Antônio Márcio Pereira de Castro,"Carmo de Minas, Minas Gerais",84
33,23,Chácara Sagrado Coração De…,Alvaro Antônio Pereira Coli,"Carmo De Minas, Sul De Minas",83.83
34,19,Fazenda São Gabriel,Isaac Ribeiro Gabriel,"Guaxupé, Minas Gerais",83.37
35,21,Sítio do Sertãozinho,José Wagner Ribeiro,"Cristina, Minas Gerais",83.33
36,20,Fazenda Sto Antônio do…,Renata Vargas Rigo de Souza,"Conceição do Castelo, Espírito Santo",83.3
37,100,Fazenda Campo de Ouro,José Ferreira Filho,"Pirajú, São Paulo",83.07
38,28,Fazenda São Marcos,Norival Fávaro,"Sarutaiá, São Paulo",82.63
39,21,Fazenda Irmãos Tomazini,Solimar Tomazini,"Castelo, Espírito Santo",82.63
40,57,Fazenda Bela Vista,Luiz Carlos Queiroz,"Mucuge, Bahia",82.11
41,20,Fazenda Braúna,Afonso Jorge Schmölz de Mattos,"Araponga, Minas Gerais",82.04
42,19,Sítio Primavera,Félix Adalberto Nacif Santos,"Ervália, Minas Gerais",80.76
43,32,Fazenda Coqueiros,Paulo Sérgio Carneiro Ribeiro e Outros,"Carmo de Minas, Minas Gerais",80.5
