RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,32,Fazenda Ouro Verde (2014),Cândido Vladimir Ladeira Rosa,"Piatã, Bahia, Chapada Diamantina",94.05
2,32,Chacara São Judas Tadeu (2014),Antonio Rigno de Oliveira,"Piatã, Bahia, Chapada Diamantina",93.36
3,36,Fazenda Tijuco,Zora Yonara Macedo Pina Oliveira,"Piatã, Bahia, Chapada Diamantina",92.26
4,38,Fazenda Santa Bárbara (2014),Eulino José de Novais,"Piatã, Bahia, Chapada Diamantina",90.14
5,35,Fazenda Vista Alegri,Simpliciano Alves Neto,"Piatã, Bahia, Chapada Diamantina",89.05
6,22,Fazenda Criciuma,Matheus Lopes Sanglard,"Araponga, Minas Gerais, Matas de Minas",88.98
7,35,Fazenda Alamanda,Elenise Marcia Santana Borges,"Araponga, Minas Gerais, Matas de Minas",88.57
8,30,Sitio Baleiro,Romário José Fontes & Marli Hohlenwerger Fontes,"Piatã, Bahia, Chapada Diamantina",88.31
9,22,Fazenda Jardim das Oliveiras,Simone A Dias Sampaio Silva,"Araponga, Minas Gerais, Matas de Minas",88.02
10,34,Sitio Mangueira,Janise Maria Santana Carvalho,"Araponga, Minas Gerais, Matas de Minas",87.88
11,36,Fazenda Cafundó (2014),Pedro Santana Mesquita,"Piatã, Bahia, Chapada Diamantina",87.1
12,41,Fazenda Pedra Redonda (2014),José Bernardes Santana,"Araponga, Minas Gerais, Matas de Minas",86.95
13,22,Fazenda Forquilha do Rio,Afonso Danizete Abreu de Lacerda,"Espera Feliz, Minas Gerais, Serra do Caparaó",86.88
14,26,Sítio Bateia,Valdeir Dalcin Tomazini,"Estrada Bateia, Castelo, Espírito Santo",86.8
15,38,Sitio Baixa Funda,Reginaldo Jose Novais,"Piatã, Bahia, Chapada Diamantina",86.73
16,22,Sítio D’agua Limpa,Marianna Carneiro de C. Junqueira,"Dom Viçoso, Minas Gerais, Mantiqueira de Minas",86.65
17,30,Chapadão de Ferro 1,Elaine Lourenço Delarisse,"Patrocínio, Minas Gerais, Cerrado Mineiro",86.63
18,40,Fazenda Pedra do Sino (2014),José Roberto Vidigal Santana,"Araponga, Minas Gerais, Matas de Minas",86.1
19,40,Fazenda Tanque,Salvador Souza,"Piatã, Bahia, Chapada Diamantina",86.03
20,22,Sitio Matinha,Edson Junior de Miranda,"Araponga, Minas Gerais, Matas de Minas",85.85
21,23,Fazenda Santa Mariana (2014),Sebastião Márcio de Carvalho Junqueira,"Dom Viçoso, Minas Gerais, Mantiqueira de Minas",85.3
