LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Fazenda Do Moinho,34,$12.10/lb,"$27,209.39","Maruyama Coffee, Saza coffee, Uchida Coffee, Coffee-a-gogo, and Orsir Coffee (Taiwan)"
2,Fazenda Serra Do São Bento,38,$10.00/lb,"$25,132.60",Campos Coffee
3,Fazenda Sertãozinho,38,$9.85/lb,"$24,856.14","Time’s Club for Honey Coffee, Tashiro Coffee and Coffee Libre"
4,Grota São Pedro,44,$8.40/lb,"$24,444.84",Terarosa Coffee
5,Fazenda Monte Verde,64,$5.50/lb,"$23,280.78",Kaffebrenneriet as
6,Granja São Francisco,48,$4.30/lb,"$13,650.99","St Ali & Sensory Lab, Veneziano Coffee & Clement Coffee"
7,Sítio Bela Vista,40,$6.40/lb,"$16,931.46","World Coffee Co.,Ltd."
8,Fazenda São Pedro,50,$4.15/lb,"$13,723.76",Belco on behalf of Terres de Café and Cafés Pfaff.
9,Serra Dos Crioulos,38,$7.60/lb,"$17,090.20","Mercanta the Coffee Hunters on behalf of Small Batch (UK), James Gourmet (UK), Has Bean (UK), Red Roaster (UK), Bolling (UK), Caffé Cataldi (FR), YT Infinite (KR), Café Knopes (BE), Dutch Barista (NL), Kaffeespezialität (AT) / Melbourne Coffee Merchants f"
10,Fazenda Da Pedra,34,$4.20/lb,"$9,444.58","Wataru & Co., Ltd."
11,Sitio São Francisco de Assis,38,$7.60/lb,"$19,100.78",Belco on behalf of MaxiCoffee and Cafés Mogy
12,Cambará,42,$4.05/lb,"$11,250.17",Sandalj Trading Company
13,Sítio Grota Funda,46,$6.45/lb,"$19,623.29",Kaffebrenneriet as
14,Sitio da Torre,40,$4.20/lb,"$11,110.89","Wataru & Co., Ltd."
15,Sítio Cafezal,44,$5.65/lb,"$16,558.47","Wataru & Co., Ltd."
16,Rancho São Benedito,38,$4.10/lb,"$10,304.37",E.land
17,Fazenda Rainha,38,$4.52/lb,"$11,359.94","St Ali & Sensory Lab, Veneziano Coffee & Clement Coffee"
18,Sitio Matinha,36,$4.30/lb,"$10,238.26",Kyokuto Fadie Corporation
19,Fazenda Neneias,76,$4.00/lb,"$20,106.12",honuKATOCOFFEE Inc.
20,Sitio Gerais,20,$4.50/lb,"$8,928.45",Wataru for NOZY COFFEE and Proud Rio de Janeiro
21,Divisa/G.Deserto,66,$4.00/lb,"$17,460.60",honuKATOCOFFEE Inc.
22,Sítio Santa Fé,46,$4.00/lb,"$12,169.48",Maruyama Coffee
23,Três Barras,34,$4.10/lb,"$9,219.71",SUPREMO Kaffeeroesterei in Unterhaching
24,Bananal/Mandembo,76,$4.00/lb,"$20,106.12",honuKATOCOFFEE Inc.
