RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,22,Faz Kaquend,Ralph de Castro Junqueira,"Carmo de Minas, Sul de Minas",93.65
2,36,Recreio,Homero Teixeira de Macedo Júnior,"São Sebastião da Grama, Vale da Grama",90
3,19,Faz Tijuco Preto,Antonio Marcio Pereira de Castro,"Carmo de Minas, Sul de Minas",89.95
4,19,Faz Rainha,Fazenda Sertãozinho Ltda,"São Sebastiào da Grama, Mogiana",89.95
5,22,Chácara Sagrado Coração De…,Alvaro Antônio Pereira Coli,"Carmo De Minas, Sul De Minas",89.58
6,23,Granja São Francisco,Otaviano Ribeiro Ceglia,"Carmo De Minas, Sul De Minas",89.23
7,23,Fazenda São Benedito,António José Junqueira Villela,"Carmo de Minas, Sul de Minas",88.85
8,24,Sitio Monte Verde,Helcio Carneiro Pinto Junior,"Carmo de Minas, MG",88.48
9,22,Fazenda Água Limpa 1,Dulce Pereira Ribeiro e ou,"Cristina, Sul de Minas",87.58
10,19,Fazenda do Sertão,Nazareth Dias Pereira,"Carmo de Minas, Sul de Minas",86.4
11,29,Rancho São Benedito,Mariana De Carvalho Junqueira,"Dom Viçoso, MG",86.64
12,18,Fazenda da Pedra,Anacley Pereira Bustamante Abreu,"Cristina, Sul de Minas",86.12
13,27,Fazenda Nossa Senhora…,Edmo Junqueira Villela,"Carmo de Minas, Sul de Minas",86
14,19,Fazenda Cachoeirinha,Luiz Delfino de Paiva,"Cristina, Sul de Minas",85.98
15,19,Fazenda Agua Limpa,Plinio Cyrino Nogueira Filho,"São Sebastião da Grama, Vale da Grama",85.95
16,19,Faz Coqueiros,José Clovis Carneiro Ribeiro,"Carmo de Minas, Sul de Minas",85.88
17,19,Fazenda Santa Lúcia,Helcio Carneiro Pinto,"Carmo de Minas, Sul de Minas",85.81
18,21,Sitio São Francisco de Assis,Marisa Coli Noronha,"Carmo de Minas, MG",85.38
19,29,Fazenda São Judas Tadeu,Antonio Rigno de Oliveira,"Piatã, Chapada Diamantina",85.19
20,23,Serra do Rola Moça,Maria Lúcia Junqueira Pereira,"Carmo de Minas, Sul de Minas",85.02
21,19,Colina da Pedra,Terezinha Marta Pereira Barros,"Cristina, MG",84.93
22,21,Sítio Bela Vista,Márcio Heleno de Carvalho Junqueira,"Dom Viçoso, MG",84.76
23,27,Fazenda Paraíso,Antônio Fortes Bustamante,"Conceição das Pedras, MG",84.26
