RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,34,Fazenda Do Moinho,Vinicius Jose Carneiro Pereira,"Olimpio Noronha, Sul De Minas",91.79
2,38,Fazenda Serra Do São Bento,Dimas Mendes Bastos,"Araponga, MG",91.5
3,38,Fazenda Sertãozinho,Café Orfeu,"Botelhos, MG",90.12
4,44,Grota São Pedro,Cláudio Carneiro Pinto,"Carmo de Minas, MG",89.65
5,64,Fazenda Monte Verde,José Roberto Canato,"Carmo de Minas, MG",89.56
6,48,Granja São Francisco,Otaviano Ribeiro Ceglia,"Carmo De Minas, Sul De Minas",88.76
7,40,Sítio Bela Vista,Ana Cristina Junqueira Villela,"Dom Viçoso, MG",88.5
8,50,Fazenda São Pedro,Robson Villela Martins,"Carmo de Minas, MG",88.47
9,38,Serra Dos Crioulos,Eliane Carneiro Junqueira,"Dom Viçoso, MG",87.79
10,34,Fazenda Da Pedra,Maria Efigênia G. de C. Junqueira,"Carmo de Minas, MG",87.21
11,38,Sitio São Francisco de Assis,Marisa Coli Noronha,"Carmo de Minas, MG",87.18
12,42,Cambará,Algenio Ferrraz De Castro,"Carmo De Minas, MG",87.09
13,46,Sítio Grota Funda,Gláucio Carneiro Pinto,"Carmo de Minas, MG",87.06
14,40,Sitio da Torre,Álvaro Antônio Pereira Coli,"Carmo de Minas, MG",87.03
15,44,Sítio Cafezal,Jabes Carvalho Junqueira,"Carmo De Minas, Sul De Minas",86.65
16,38,Rancho São Benedito,Mariana De Carvalho Junqueira,"Dom Viçoso, MG",86.56
17,38,Fazenda Rainha,Fazenda Sertãozinho LTDA,"São Sebastião da Grama, SP",86.53
18,36,Sitio Matinha,Edio Anacleto Miranda,"Araponga, MG",86.47
19,76,Fazenda Neneias,Manoel Sebastiao de Lima,"Araponga, MG",86.32
20,20,Sitio Gerais,José Santana Silva,"Piatã, BA",86.21
21,66,Divisa/G.Deserto,Antônio José Junqueira Ribeiro,"Carmo de Minas, MG",85.85
22,46,Sítio Santa Fé,Gisélia Ribeiro Pinto,"Carmo de Minas, MG",85.79
23,34,Três Barras,Walter Ribeiro Junqueira,"Carmo de Minas, MG",85.38
24,76,Bananal/Mandembo,Virgílio Dias Pereira Sobrinho,"Olimpio Noronha, MG",85.15
