RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1A,6,FAZENDA BOM JARDIM 2017 {RA},GABRIEL ALVES NUNES,"PATROCINIO, MINAS GERIAS",92.33
1B,6,FAZENDA BOM JARDIM 2017 {RA},GABRIEL ALVES NUNES,"PATROCINIO, MINAS GERIAS",92.33
2A,7,FAZENDA DAS AMORAS 2017,LUIZ HENRIQUE MACEDO TEIXEIRA,"ARAPONGA, Minas Gerais",91.87
2B,7,FAZENDA DAS AMORAS 2017,LUIZ HENRIQUE MACEDO TEIXEIRA,"ARAPONGA, Minas Gerais",91.87
3A,7,SíTIO MONTE SINAI 2017,LUÍS MAURO ARAÚJO MIRANDA,"ARAPONGA, Minas Gerais",90.83
3B,7,SíTIO MONTE SINAI 2017,LUÍS MAURO ARAÚJO MIRANDA,"ARAPONGA, Minas Gerais",90.83
4A,6,FAZENDA SANTANA 2017,PAULO SERGIO NORONHA BARLETA,"CARMO DE MINAS, Minas Gerais",90.1
4B,5,FAZENDA SANTANA 2017,PAULO SERGIO NORONHA BARLETA,"CARMO DE MINAS, Minas Gerais",90.1
5,19,SÍTIO LM 2017,MARIA JOSÉ BITENCOURT LIMA ARAÚJO,"ARAPONGA, Minas Gerais",89.9
6,12,SÍTIO RANCHO DANTAS 2017,LEIDIOMAR MOREIRA MENEGUETI,"BREJETUBA, ESPIRITO SANTO",89.57
7,20,SÍTIO DO BONÉ 2017,VANDERLEI PAULO MARTINS,"ARAPONGA, Minas Gerais",89.43
8,20,FAZENDA SERTÃOZINHO 2017 {UTZ},FAZENDA SERTÃOZINHO,"BOTELHOS, Minas Gerais",89
9,14,SÍTIO CAFUNDÓ 2017,GILIARDE TORRES DE OLIVEIRA,"PIATÃ, Bahia",88.47
10,20,SÍTIO SANTO EXPEDITO 2017,AGNALDO DE PAULA,"ARAPONGA, Minas Gerais",88.37
11,20,SÍTIO BOCAINA,LUÍZA ARAÚJO MIRANDA,"ARAPONGA, Minas Gerais",88.27
12,29,FAZENDA SÃO SILVESTRE 2017…,ISMAEL JOSÉ DE ANDRADE,"SERRA DO SALITRE, CERRADO MINEIRO",88.1
13,24,JARDIM DAS OLIVEIRAS 2017,SIMONE A. DIAS SAMPAIO SILVA,"ARAPONGA, Minas Gerais",87.97
15,12,FAZENDA SERRA DO BONÉ 2017,CARLOS SÉRGIO SANGLARD,"SÃO MIGUEL DO ANTA, Minas Gerais",87.5
16,14,SÍTIO CÓRREGO SALAZAR 2017,ELOI BATISTA COSTA,"ARAPONGA, Minas Gerais",87.43
17,14,FAZENDA DOM SILVÉRIO 2017,JOSÉ ERMELINDO MIRANDA,"ARAPONGA, Minas Gerais",87.4
18,26,SÍTIO SANTO ANTÔNIO 2017,ANTÔNIO MACEDO SOUZA,"PIATÃ, BAHIA",87.3
19,20,SÍTIO PACIÊNCIA 2017,JOÃO VITOR DE ASSIS,"ARAPONGA, Minas Gerais",87.27
20,20,FAZENDA PROGRESSO LTDA 2017,FAZENDA PROGRESSO LTDA,"MUCUGÊ, Bahia",87.17
21,20,SÍTIO SERRA 2017,SANDRA LELIS DA SILVA,"ARAPONGA, Minas Gerais",87.03
22,26,CHÁCARA SÃO JUDAS TADEU 2017,ANTÔNIO RIGNO DE OLIVEIRA,"PIATÃ, BAHIA",86.93
23,12,FAZENDA SANTA IZABEL 2017,FAL FARMS (FAL HOLD. PAR. LTDA),"OURO FINO, Minas Gerais",86.87
24,20,FAZENDA CRICIUMA 2017,MATHEUS LOPES SANGLARD,"ARAPONGA, Minas Gerais",86.8
25,11,ECOAGRICOLA CAFÉ LTDA 2017…,ECOAGRICOLA CAFÉ LTDA,"FRANCISCO DUMONT, Minas Gerais",86.67
