LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Chaçará São Judas Tadeu (2015),36,$18.90/lb,"$45,000.90","UCC Ueshima Coffee Co., Ltd."
2,Ouro Verde,36,$13.30/lb,"$31,667.30","Maruyama Coffee, Branchcoffee"
3,Sitio Monte Sinai,26,$18.00/lb,"$30,960.00","Time’s Club, TOA coffee, Coffee Libre, Single Origin Roasters"
4,Sítio da Serra,21,$9.00/lb,"$12,501.00",Campos Coffee
5,Fazenda Trapiá,23,$8.01/lb,"$12,183.21","GSC International Co.,Ltd. (KOREA) / Shanghai Borong International Trading Co.,Ltd (CHINA)"
6,Sítio Bateia 1,29,$10.30/lb,"$19,755.40",Kyokuto Fadie Corporation
7,Sítio da Torre (2015),25,$7.30/lb,"$12,066.90",TERAROSA (HAKSAN Co.Ltd)
8,Sítio Santo Antônio (2015),34,$6.70/lb,"$15,068.30",NAGAHAMA COFFEE Inc.
9,Serra das Três Barras (2015),43,$6.60/lb,"$18,770.40","GSC International Co.,Ltd. (KOREA) / Shanghai Borong International Trading Co.,Ltd (CHINA)"
10,Água Limpa,53,$6.80/lb,"$23,834.00",Campos Coffee
11,Fazenda Santa Izabel,22,$9.70/lb,"$14,113.50",Kyokuto Fadie Corporation
12,Tijuco,35,$6.70/lb,"$15,510.50",Campos Coffee
13,Kaquend,43,$6.50/lb,"$18,486.00","Wataru & Co., Ltd"
14,Sítio Nossa Senhora Aparecida,22,$6.10/lb,"$8,875.50","Wataru & Co., Ltd. (JAPAN) // Café Danza Brasil"
15,Fazenda Progresso Ltda,38,$6.50/lb,"$16,334.50",ALMACIELO (SOUTH KOREA)
16,Fazenda California,22,$6.20/lb,"$9,021.00",InterAmerican Coffee GmbH
17a,Sítio Itajubá,22,$5.90/lb,"$8,584.50",InterAmerican Coffee GmbH
17b,Sítio Bateia (2015),23,$6.00/lb,"$9,126.00",Campos Coffee
19,Sítio Floresta,23,$5.90/lb,"$8,973.90","Nippon Coffee Trading Co.,Ltdto"
20,Sitio Serra,21,$6.20/lb,"$8,611.80","Wataru & Co., Ltd. (JAPAN) // Café Danza Brasil"
21,Fazenda Irarema,23,$6.06/lb,"$9,217.26",32cup NV
22,Sítio Santa Terezinha (2015),38,$5.90/lb,"$14,826.70",Kaffebrenneriet as
