RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,35,Fazenda Recreio,Joaquim José de Carvalho Dias,"São Sebastião da Grama, SP",95.11
2,32,Fazenda Araucária,Pedro Augusto Ferraz Junqueira,"Carmo de Minas, Minas Gerais",90.84
3,28,Fazenda Esperança,Cícero Viegas Cavalcanti De Albuquerque,"Carmo De Minas, Sul de Minas",90.8
4,22,Fazenda Santo Antonio,Aluizio Pereira De Castro,"Olímpio Noronha, Minas Gerais",90.02
5,17,Fazenda Campo Alegre,Miguel Ângelo Macedo Xavier,"Piatã, Bahia",89.75
6,25,Fazenda Outro Preto,Fabiano de Carvalho Resende Filho,"Alfredo Chaves, Espírito Santo",89.27
7,28,Fazenda Barreiro,Icatú Agropecuária Ltda.,"Poços de Caldas, Minas Gerais",88.95
8,27,Fazenda Divino Espírito Santo,Nelson Xavier Jones,"Piatã, Bahia",88.36
9,43,Fazenda Santa inês,Luiz Botelho de Macedo Costa (Espólio),"São Sebastião da Grama, State of São Paulo",87.68
10,29,Fazenda Cachoeira do Cambuí,Ailton Santos,"Muzambinho, Minas Gerais",87.27
11,23,Fazenda Cachoeira,Lindolpho de Carvalho Dias,"São Sebastião da Grama, State of São Paulo",87.11
12,40,Água Limpa,José Clênio Pereira,"Cristina, MG",87.11
13,25,Sitio Monte Verde,Helcio Carneiro Pinto Junior,"Carmo de Minas, MG",87.11
14,19,Fazenda Mãe Bela,José Jureade da Silva,"Piatã, Bahia",87
15,20,Fazenda Pedra Caída,Edson José Dias de Castro,"Carmo de Minas, Minas Gerais",86.95
16,36,Fazenda Águas da Prata,Associação Brasileira de Educação e Cultura,"Santo Antônio da Alegria, São Paulo",86.93
17,17,Sítio Pitangueiras,Fabiano Moisés de Oliveira,"Pedralva, Minas Gerais",86.66
18,26,Fazenda Capão,Salvador Da Paixão Mesquita,"Piatã – Bahia, Chapada Diamantina",86.64
19,36,Fazenda do Condado,Ibraim Chaib de Sousa,"Carmo de Minas, Minas Gerais",86.61
20,20,Sítio Redinha,José Luiz Ribeiro e Outros,"Carmo de Minas, Minas Gerais",86.41
21,23,Sítio Estouros,José Mauro Miranda,"Araponga, Minas Gerais",86.3
22,29,Fazenda Bocaina,Itamar Duarte Ferreira,"Araponga, Minas Gerais",86.07
23,17,Sítio Liani,Maria Lenira Mohallen Carneiro,"Pedralva, Minas Gerais",86
24,28,Fazenda Bonfim,Benyosef Rosa Soares,"Piatã, Chapada Diamantina",85.93
25,20,Sítio Lenice,Milton Faria Bonette,"Pedralva, Minas Gerais",85.34
26,29,Fazenda São Marcos,Norival Fávaro,"Sarutaiá, São Paulo",85.25
27,26,Fazenda Machado,Antonivaldo Souza Araújo,"Piatã, Bahia",85.23
28,20,Sítio Irmãos Cisconetti,Evandro Cisconetti,"Castelo, Espírito Santo",85.16
29,19,Sítio Vista Alegre,Francisco Turra Nunes,"Afonso Cláudio, Espírito Santo",85.07
30,20,Sítio Boa Vista,Márcio Luiz Bérgamo Fávaro,"Sarutaiá, Sudoeste Paulista",84.98
31,18,Sítio Vista Alegre,Wesley Isac Nóia Gomes,"Iúna, Espírito Santo",84.82
32,23,Fazenda dos Nenéias,Manoel Sebastião de Lima,"Araponga, Minas Gerais",84.73
33,13,Fazenda Bela Vista,Walter Ferreira de Andrade,"São Sebastião da Grama, São Paulo",84.32
34,18,Sítio Córrego Vista Alegre,José Davino Gomes,"Iúna, Espírito Santo",84.3
35,19,Fazenda Bela Vista,Venâncio Teixeira Filho,"Muzambinho, Minas Gerais",84.27
36,20,Sítio São Luiz Gonzaga,Luiz Gonzaga Araújo,"Muzambinho, Minas Gerais",84.25
