RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,5,El Equimite 2017,Rodolfo Jiménez López,"Naolinco, Veracruz",91.2
1b,5,El Equimite 2017,Rodolfo Jiménez López,"Naolinco, Veracruz",91.2
2a,12,Kassandra 2017-RA,Guillermo Rivas Díaz,"Totutla, Veracruz",90.57
2b,11,Kassandra 2017-RA,Guillermo Rivas Díaz,"Totutla, Veracruz",90.57
3a,23,Municipio Huatusco 2017,Coordinadora De Productores De La Zona Centro Del Estado De Veracruz Sc De Rl De Cv,"Huatusco, Veracruz",90.5
3b,23,Municipio Huatusco 2017,Coordinadora De Productores De La Zona Centro Del Estado De Veracruz Sc De Rl De Cv,"Huatusco, Veracruz",90.5
4a,5,"Los Azahares Primavera, Los…","Diego Jiménez Luna, Pedro Jiménez Santiz, Antonia Giron López","Tenejapa, Chiapas",90.2
4b,5,"Los Azahares Primavera, Los…","Diego Jiménez Luna, Pedro Jiménez Santiz, Antonia Giron López","Tenejapa, Chiapas",90.2
5,0,Dc1- Sana-Ite Yute-Savi 2017,"Felix Faustino, García López, Zacarías Constantino, Santiago García","Santa Maria Yucuhiti, Oaxaca",90.1
6a,6,"Los Azahares Invierno, Los…","Pedro Gómez Giron, Diego Gómez Giron","Tenejapa, Chiapas",90.07
6b,5,"Los Azahares Invierno, Los…","Pedro Gómez Giron, Diego Gómez Giron","Tenejapa, Chiapas",90.07
7,6,El Cedro 2017,Tomás Macías González,"Jilotepec, Veracruz",89.27
8,31,El Estribo 2017,Adán Altamirano Domínguez,"Zongolica, Veracruz",88.73
9,0,La Luna 2017,Josefina Cavanzo Montalvo,"Eloxochiatlán, Oaxaca",88.6
10,11,Xoxohuico 2017,Carlos García Campillo,"Huitzilán de Serdán , Puebla",88.28
11,0,"Monte Grande, Guayabal, Monte…","Abraham Patricio, López España, Pedro Moises, López García, Alberto Jorge, López España","Santa Maria Yucuhiti, Oaxaca",88.25
12,27,Huehuetecpan 2017,Francisco Javier Montiel Valencia,"Cosautlán De Carvajal, Veracruz",88.23
13,18,Cañada Fría 2017,José Daniel Cobilt Castro,"Tlatetela, Veracruz",88.22
14,12,La Herradura 2017,Roberto Licona Franco,"Xalapa, Veracruz",87.7
15,40,El Bordo 2017,Francisco Gerardo Durán Durán,"Cosautlán De Carvajal, Veracruz",87.5
16,9,Esperanza 2017,Salvador Hernández,"Aldama, Chiapas",87.35
17,14,El Hormiguero 2017,José Sosa Llera,"Naolinco, Veracruz",87.13
18,9,El Paredon 2017,Celia Leticia Sosa Cortés,"Huitzilán de Serdán, Puebla",87.08
19,0,"Ciénega, Paraje Viejo, Llano…","Margarita Maura, Perez López, Ernesto Ponciano, Garcia López, José Luis, López García","Santa Cruz Acatepec, Oaxaca",87.05
20,0,Agua De Huehuetlan 2017,Vicencio Gracida Hernández,"Santa Cruz Acatepec, Oaxaca",86.9
21,48,Huehuetepan 2017,María Del Rosario Irais Valdivia Ortiz,"Cosautlán De Carvajal, Veracruz",86.78
22,14,Vergel II 2017,Manuel Sánchez López,"La Concordia, Chiapas",86.3
