RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,21,El Pino / El Cedro,Ciro Ventura Solabac,"Huatusco, Veracruz",90.41
2,21,Kasandra,Gabriel Bernard Rivas Ross,"Tlaltetela, Veracruz",90
3,31,Sini Tachi/El Encino Negro,Maximino Gonzalo Garcia Pérez/Pedro Miguel Feria,"Santa Maria Yucuhiti, Oaxaca",89.38
4,25,Tierra Azul / El Aguacatal,Jesus Hernandez Feria / Francisco Angel Castro Ortiz,"Santa Maria Yucuhiti, Oaxaca",89.16
5,19,Barranca de Aguacate / Agua…,Teodora Chazari Zarate / Juan Rosete Guerrero,"Eloxochitlan De Flores Magon, Oaxaca",89.09
6,0,[Withdrawn] Oro Cosuateco,[Withdrawn] Francisco Javier Montiel Valencia,"Cosautlan De Carbajal, Veracruz",88.78
7,9,Palulca,Adelaido Lara Dolores,"Texhuacan, Veracruz",88.59
8,15,Varias Fincas,Antonio Tereso Herrera Martinez / Isidoro Herrera “Sociedad de Producion Agropecuaria L,"La Reforma, Oaxaca",88.53
9,12,Nuevo Vergel,Victor Santiz Gomez,"La Concordia, Chiapas",87.88
10,28,La Distancia,Victor Hugo Melchor Cordova,"La Concordia, Chiapas",87.25
11,0,[Withdrawn] La Caturra,[Withdrawn] Bertha Elia Hernandez De La Cruz,"Villacorzo, Chiapas",87
12,0,[Withdrawn] San Pedro –…,[Withdrawn] Hugolino Roblero Roblero,"Siltepec, Chiapas",86.88
13,13,Finca Chelin Spr de RL (Pante…,Luis Antonio Lopez Agiular,"Candelaria, Oaxaca",86.82
14,10,"Zaiba, Garnica, de Aquel…",Pedro Manuel Chama Chavez,"Ixhuatlan Del Café, Veracruz",86.76
15,11,Buena Vista,Deonicia Sanchez Gomez,"La Concordia, Chiapas",86.56
16,23,Arrollo Seco,Juan Luis Oretega Carballo,"Xicotepec De Juarez, Puebla",86.5
17,25,Apoxtla,Adan Ortega Carballo,"Tlacuilotepec, Puebla",86.47
18,12,Arroyo Negro,Jordan Orantes Balbuena,"La Concordia, Chiapas",86.44
19,62,Cafetalera Guadalupe Zaju,Cafetalera Guadalupe Zaju S. A. de C.V.,"Motozintla, Chiapas",85.88
20,23,La Virgencita,Julia Ortega Carballo,"Xicotepec De Juarez, Puebla",85.59
