LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Sítio Colinas,36,$19.10/lb,"$45,476.91",Mocoway Specialty Coffee (China)
2,Sítio Vista Alegre,34,$16.80/lb,"$37,778.33","Maruyama Coffee, Saza Coffee, Mikatajuku group, Orsir Coffee (Taiwan)"
3,Sítio Araucária,28,$8.10/lb,"$15,000.23","Invalsa Coffee® (USA) with Moxxee Coffee (USA), Rojo’s Roastery (USA), Electric City Roasting (USA), Roast Inc (USA), Carrboro Coffee (USA) & Campos Coffee (Australia)"
4,Serra das Três Barras,32,$7.80/lb,"$16,508.23",PROUD MARY and Five Senses
5,Sítio Bico de Pato,76,$8.00/lb,"$40,212.32","Dallis Bros (USA), Di Bella Coffee (Australia), Invalsa Coffee® (USA), Electric City Roasting (USA), SleepyFaun’s Roastery (Japan)"
6,Fazenda Cambará,38,$8.00/lb,"$20,106.16","Toa Coffee Co.,Ltd. for Toa Coffee and Arab Coffee"
7,JR (Junqueira Reis),38,$7.80/lb,"$19,603.51",Kaffebrenneriet as
8,Fazenda Rainha,28,$7.56/lb,"$14,000.21",Baristarie
9,Fazenda Recreio,50,$6.10/lb,"$20,172.27",United Coffee UK & Ireland Limited
10,Fazenda Monte Verde,28,$7.60/lb,"$14,074.29","Wataru & Co., Ltd."
11,Fazenda Santa Mariana,34,$8.00/lb,"$17,989.68","Time’s Club for C-COOP, Coffee Libre"
12,Gleba São Francisco (Granja…,28,$7.50/lb,"$13,889.10",Aroma Coffee Roastery Pty Ltd
13,Fazenda Sertãozinho,28,$7.50/lb,"$13,889.10","Wataru & Co., Ltd."
14,Fazenda São Lourenço,38,$7.20/lb,"$18,095.54",Ecom Japan Limited
15,Chácara Sagrado Coração De…,32,$8.00/lb,"$16,931.52","World Coffee Co.,Ltd."
16,Sitio Bela Vista,26,$8.10/lb,"$13,928.76","Wataru & Co., Ltd."
18,Sítio Bela Vista,28,$7.50/lb,"$13,889.10","Lebean Korea (Chun, Jong Nam)"
19,Sítio Limeira,32,$8.15/lb,"$17,248.99","Monmouth Coffee Company, London,UK"
