RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1A,6,FAZENDA CAMOCIM 2017 {ORG /…,HENRIQUE LEIVAS SLOPER DE ARAUJO,"DOMINGOS MARTINS, Espírito Santo",93.6
1B,6,FAZENDA CAMOCIM 2017 {ORG /…,HENRIQUE LEIVAS SLOPER DE ARAUJO,"DOMINGOS MARTINS, Espírito Santo",93.6
2A,7,SÍTIO CAMINHO DA SERRA 2017,PAULO HENRIQUE MIRANDA,"ARAPONGA , MATAS DE MINAS",92.37
2B,7,SÍTIO CAMINHO DA SERRA 2017,PAULO HENRIQUE MIRANDA,"ARAPONGA , MATAS DE MINAS",92.37
3A,6,FAZENDAS KLEM 2017 {RAO / UTZ},FAZENDAS KLEM,"LUISBURGO, MATAS DE MINAS",91.17
3B,6,FAZENDAS KLEM 2017 {RAO / UTZ},FAZENDAS KLEM,"LUISBURGO, MATAS DE MINAS",91.17
4A,14,FAZENDA SÃO SILVESTRE 2017…,ISMAEL JOSÉ DE ANDRADE,"SERRA DO SALITRE, CERRADO MINEIRO",91.03
4B,13,FAZENDA SÃO SILVESTRE 2017…,ISMAEL JOSÉ DE ANDRADE,"SERRA DO SALITRE, CERRADO MINEIRO",91.03
5A,15,SÍTIO CACHOEIRA 2017,JOSÉ BERNARDES SANTANA JUNIOR,"ARAPONGA, MATAS DE MINAS",90.67
5B,15,SÍTIO CACHOEIRA 2017,JOSÉ BERNARDES SANTANA JUNIOR,"ARAPONGA, MATAS DE MINAS",90.67
6,12,FAZENDA SERTÃOZINHO 2017 {UTZ},FAZENDA SERTÃOZINHO LTDA,"BOTELHOS, SUL DE MINAS",89.73
7,11,SÍTIO ESPERANÇA 2017,ALESSANDRO ALVES HERVAZ,"SÃO GONÇALO DO SAPUCAÍ, MANTIQUEIRA DE MINAS",89.56
8,11,FAZENDA SÃO BENTO (GRUPO…,RODRIGO DE CASTRO ANDRADE,"CARMO DO PARANAÍBA, CERRADO MINEIRO",89.5
9,11,MINAMIHARA OURO VERDE 2017,GETULIO MITSUHIRO MINAMIHARA,"CRISTAIS PAULISTA, ALTA MOGIANA",88.93
10,11,SÍTIO VARGEM ALEGRE 2017,CLEVERSON DANIEL DA SILVA,"CRISTINA, MANTIQUEIRA DE MINAS",88.74
11,11,MINAMIHARA PAINEIRAS 2017,ANDERSON MITSUHIRO MINAMIHARA,"FRANCA, ALTA MOGIANA",88.7
12,19,NOSSA SENHORA APARECIDA 2017,RONEY DIAS VILLELA,"CARMO DE MINAS, MANTIQUEIRA DE MINAS",88.67
13,11,FAZENDA BOA VISTA 2017,MARCELO CARVALHO FERRAZ,"DOM VIÇOSO, MANTIQUEIRA DE MINAS",88.65
14,24,SÍTIO SÃO JOAQUIM 2017,JESIMAR DE OLIVEIRA SANDRI,"CONCEIÇÃO DAS PEDRAS, MANTIQUEIRA DE MINAS",88.6
15,10,FAZENDA FORTALEZA 2017,GRASIELA MARIS DE SOUZA,"SÃO GONÇALO DO SAPUCAÍ , MANTIQUEIRA DE MINAS",88.37
16,30,FAZENDA ELDORADO 2017,ELVIS VILHENA FALEIROS,"IBIRACI , SUL DE MINAS",88.2
17,12,FAZENDA RIO BRILHANTE CAFÉ…,INÁCIO CARLOS URBAN,"COROMANDEL, CERRADO MINEIRO",88.07
18,13,SÍTIO BALAIO 2017,JOÃO AUGUSTO SOFFE MEIRELLES,"PEDRALVA , MANTIQUEIRA DE MINAS",88
19,29,FAZENDA ELDORADO 2017,LAERCE FRANCA FALEIROS,"IBIRACI, SUL DE MINAS",87.97
20,12,SÍTIO SERRA PELADA 2017,GABRIEL ANTÔNIO MADEIRA,"NOVA RESENDE, SUL DE MINAS",87.63
21,12,ECOAGRICOLA CAFÉ LTDA 2017…,ECOAGRICOLA CAFÉ LTDA,"FRANCISCO DUMONT, Minas Gerais",87.57
22,11,FAZENDA DO SERTÃO 2017,NAZARETH DIAS PEREIRA,"CARMO DE MINAS, MANTIQUEIRA DE MINAS",87.53
23,29,FAZENDA BOA ESPERANÇA 2017,REJANE FALEIROS DE MORAES,"IBIRACI , SUL DE MINAS",87.47
24,14,FAZENDA SÃO LOURENÇO 2017 {RA…,COMERCIAL MINEIRA SA,"VARJÃO DE MINAS, CERRADO MINEIRO",87.23
25,12,JOSÉ PACELI FERNANDES 2017,JOSÉ PACELI FERNANDES,"PEDRALVA, MANTIQUEIRA DE MINAS",87.17
26,12,JARDIM DAS OLIVEIRAS 2017,SIMONE A. DIAS SAMPAIO SILVA,"ARAPONGA, Minas Gerais",87.03
27,11,FAZENDA BAÚ 2017 {RA / UTZ},TOMIO FUKUDA,"LAGOA FORMOSA , CERRADO MINEIRO",86.82
28,12,FAZENDA CARACOL 2017,CRISTINA DIAS SAMPAIO GEROLIMICH,"ARAPONGA , MATAS DE MINAS",86.73
29,11,SÍTIO SÃO SEBASTIÃO 2017,SEBASTIÃO DANIEL DA SILVA,"CRISTINA, MANTIQUEIRA DE MINAS",86.7
30,12,SÍTIO NOSSA SENHORA DA MATA…,EMERSON AFONSO DA SILVA,"CRISTINA , MANTIQUEIRA DE MINAS",86.53
31,24,FAZENDA CACHOEIRA DA GRAMA…,GABRIEL DE CARVALHO DIAS,"SÃO SEBASTIÃO DA GRAMA, MÉDIA MOGIANA",86.27
32,11,MINAMIHARA SANTA MARIA 2017,CLARA K. T.MINAMIHARA,"CRISTAIS PAULISTA, ALTA MOGIANA",86.2
