RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,10,Fazenda Guariroba,Homero Aguiar Paiva,"Santo Antônio Do Amparo – Mg, Sul De Minas",90.5
1b,9,Fazenda Guariroba,Homero Aguiar Paiva,"Santo Antônio Do Amparo – Mg, Sul De Minas",90.5
2a,6,Sítio Vargem Alegre,Cleverson Daniel Da Silva,"Cristina – Mg, Mantiqueira De Minas",90.34
2b,6,Sítio Vargem Alegre,Cleverson Daniel Da Silva,"Cristina – Mg, Mantiqueira De Minas",90.34
3a,11,Sítio Paraíso-Lote 3 (2016),Cristiana Maria Carneiro Bustamante Figueira,"Conceição Das Pedras – Mg, Mantiqueira De Minas",90.26
3b,10,Sítio Paraíso-Lote 3 (2016),Cristiana Maria Carneiro Bustamante Figueira,"Conceição Das Pedras – Mg, Mantiqueira De Minas",90.26
4a,10,Fazenda Caracol (2016),Cristina Dias Sampaio Gerolimich,"Araponga – Mg, Matas De Minas",90.03
4b,9,Fazenda Caracol (2016),Cristina Dias Sampaio Gerolimich,"Araponga – Mg, Matas De Minas",90.03
5,14,Chácara São Severino,Salvador Da Paixão Mesquita,"Piatã – Ba, Chapada Diamantina",89.82
6,11,Fazenda Santa Lucia,Alexandre Alvarenga Garcia,"Varginha – Mg, Sul De Minas",89.53
7,11,Sitio Armadillo,Pedro Brás,"Vargem Bonita – Mg, Sul De Minas",89.26
8,22,Fazenda Nossa S Aparecida,Roney Dias Villela,"Carmo De Minas – Mg, Mantiqueira De Minas",88.95
9,14,Sitio Sao Sebastiao,Sebastiao Daniel Da Silva,"Cristina – Mg, Mantiqueira De Minas",88.42
10,29,Sitio Mangueira (2016),Janise Maria Santana Carvalho,"Araponga – Mg, Matas De Minas",87.61
11,29,Fazenda Barinas,Marcio Borges Castro Alves,"Araxá – Mg, Cerrado Mineiro",87.58
12,17,Sítio Leite,Edilaine Zaneti Morais,"Poços De Caldas – Mg, Sul De Minas",87.55
13,11,Fazenda Vargem Grande,Edson Tamekuni,"Campos Altos – Mg, Cerrado Mineiro",86.97
14,29,Fazenda Pedra Redonda (2016),José Bernardes Santana,"Araponga – Mg, Matas De Minas",86.95
15,12,Sitio Serra,Marcelo Morais,"Poços De Caldas – Mg, Sul De Minas",86.55
16,29,Fazenda Eldorado,Elvis Vilhena Faleiros,"Ibiraci – Mg, Sul De Minas",86.45
17,21,Fazenda Capim Branco,Ismael José De Andrade,"Carmo Do Paranaíba – Mg, Cerrado Mineiro",86.34
18,20,Sitio Posses,Jose Edvaldo Pinto,"Pedralva – Mg, Mantiqueira De Minas",86.24
19,11,Fazenda Terra Preta,Fernanda Silveira Maciel Raucci,"Pedregulho – Sp, Alta Mogiana",86.05
