RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,28,Nossa Senhora Aparecida,Cinthia Dias Villela,"Carmo de Minas, MG",92.22
2,36,Fazenda Paraíso,Antônio Fortes Bustamante,"Conceição das Pedras, MG",90.25
3,26,Sítio da Serra,Márcio de Souza Franqueir,"Carmo de Minas, MG",90.19
4,30,Sitio São Francisco de Assis,Marisa Coli Noronha,"Carmo de Minas, MG",89.94
5,32,Gleba Da Chacara,Carolina Coli Garcia,"Carmo de Minas, MG",89.69
6,28,Sítio Santa Terezinha,Edson Rosa Garcia,"Carmo de Minas, MG",89.38
7,22,Fazenda Recreio,Homero Teixeira de Macedo Júnior,"São Sebastião da Grama, SP",89.06
8,24,Sítio São Sebastião,Marlise Pereira Junqueira,"Cristina, MG",88.91
9,22,Sitio Dois Irmãos,Guy Junqueira Villela,"São Lourenço, MG",88.59
10,24,Serra das Três Barras,José Wagner Ribeiro Junqueira,"Carmo de Minas, MG",88.19
11,28,Sitio Santo Antonio,Josdair Vicente Sandi,"Dom Viçoso, MG",86.78
12,26,Sítio Bela Vista,Márcio Heleno de Carvalho Junqueira,"Dom Viçoso, MG",86.75
13,22,Fazenda Rainha,Fazenda Sertãozinho LTDA,"São Sebastião da Grama, SP",86.66
14a,22,Sitio Caparaó,José Carlos Pereira,"Araponga, MG",86.63
14b,30,Fazenda da Pedra,Renata Guerra de Castro,"Carmo de Minas, MG",86.63
15,22,Pedra II,Lilian Ribeiro Matuck,"Soledade de Minas, MG",86.22
16,38,Sítio Neneias,Manoel Sebastião de Lima,"Araponga, MG",86.16
17a,26,Fazenda Sertãozinho,Café Orfeu,"Botelhos, MG",86.06
17b,22,Faz dos Tachos,Adelino R B Semboloni,"Varginha, MG",86.06
18,36,Sitio Sao Bento dos Tachos,Marvan Rabelo de Rezende,"Varginha, MG",85.91
19,50,Chapadao de Ferro,Ruvaldo Delarisse,"Patrocinio, MG",85.78
20,44,Sitio Nossa S. Carmo,Severino Breno Pereira Junqueira,"Carmo de Minas, MG",85.56
21,38,Sítio Rocinha,Demétrio Flaviano de Oliveira,"Pedralva, MG",85.5
