RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,42,Sítio São Joaquim,Jesimar de Oliveira Sandi,"Conceição das Pedras, Sul de Minas",92.13
2,56,São José,Amauri Dias de Castro,"Jesuânia, Sul de Minas",90.3
3,38,JR (Junqueira Reis),José Flávio Ferraz Reis,"Carmo de Minas, MG",90.2
4,52,Sítio Água Limpa,Luiz Roberto Moreira Ribeiro,"Virginia, Sul de Minas",89.63
5,34,Sitio da Torre,Álvaro Antônio Pereira Coli,"Carmo de Minas, MG",89.5
6,46,Sítio da Serra,Márcio de Souza Franqueir,"Carmo de Minas, MG",88.73
7,40,Sítio Limeira,Sebastião Raimundo Pereira,"Cristina, Sul de Minas – Brasil",88.33
8a,50,Serra das Três Barras,José Wagner Ribeiro Junqueira,"Carmo de Minas, MG",88.2
8b,50,Sítio Santo Expedito,Murilo Neiva Junqueira,"Carmo de Minas, Sul de Minas",88.2
10,46,Sítio Nossa Senhora Aparecida,Maurilio Braz Borges,"Campanha, Sul de Minas",87.93
11,36,Fazenda Cachoeira,Leonio Carlos Filho,"Sericita, Matas de Minas",86.9
12,78,Faz Chapadao de Ferro…,Amelia Ferracioli Delarisse,"Patrocínio, Cerrado Mineiro",86.73
13,52,Granja São Francisco,Maria José Junqueira Ceglia,"Carmo de Minas, Sul de Minas",86.47
14,48,Gleba Flamengo,Luis Eduardo Junqueira Ceglia,"Carmo De Minas, Sul De Minas",86.33
15,38,Fazenda Lages,Erika Cristina Pires Ruiz,"COROMANDEL, Cerrado Mineiro",86.27
16,38,"Fazenda Esmeril Maringa, S/N",Mario Pornaro,"Patrocínio, Cerrado Mineiro",85.93
17,32,Fazenda Elmar,Marcio Bicciatto,"SÃO GONÇALO DO SAPUCAI, Sul de Minas",85.87
18,56,Rancho Alegre,José Aloisio de Carlos,"Carmo de Minas, Sul de Minas",85.77
19,30,Sítio Cruzeiro,Helenita Junqueira Pereira,"Cristina, Sul de Minas",85.67
20,50,Sítio Brejinho,Antônio Gabriel de C. Pereira,"Carmo de Minas, Sul de Minas",85.6
21,40,Sitio Boa Vista,Osvaldina Alves Dutra,"Caputira, Matas de Minas",85.37
22,36,Sitio do Rochedo,Vanderley Paulo Martins,"Araponga, Matas de Minas",85.03
