RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,18,Kilimanjaro,Everest S. A. de C. V.,"Santa Ana, Santa Ana",91.66
2,23,Malacara Lote A,Alvarez Prunera y Compañía,"Santa Ana, Santa Ana",90.73
3,22,Malacara Lote C,Francisco Arturo Alvarez Meza,"Santa Ana, Santa Ana",90.32
4,15,Las Nubes,Guillermo Federico Batlle Castillo,"Santa Ana, Santa Ana",88.43
5,23,Santa Elena II,Julia Rosa Mena de Lima,"Santa Ana, Santa Ana",87.7
6,28,Himalaya,Alex Alfonso Salaverría Lagos,"Apaneca, Ahuachapán",87.45
7,15,Las Nubes,Ernesto Lima Mena,"Nahuizalco, Sonsonate",87.16
8,23,Las Delicias,Luis Ricardo González Giner,"Santa Ana, Santa Ana",86.59
9,21,San Francisco,Juan Francisco Rodríguez Guevara,"Chalchuapa, Santa Ana",86.43
10,17,Marina,María Elena Chiurato Lima,"Jayaque, La Libertad",86.34
11,35,San Juan,Clara Aguiluz de Schonenberg,"Alegría, Usulután",83.95
12,27,Shangrilá,"Montelar, S.A. de C.V.","Juayúa, Sonsonate",83.82
13,16,Apeninos,Julio Eduardo Guillén Chacón,"Ahuachapán, Ahuachapán",83.19
14,16,San Rafael,Ana María Dina García Rossi,"Santa Ana, Santa Ana",83.14
15,10,Los Planes,Sergio E. Ticas Reyes,"Citalá, Chalatenango",82.95
16,17,Los Alpes,Everest S. A. de C. V.,"Santa Ana, Santa Ana",82.83
17,19,Santa Sofía,"Pacvil, S.A.de C.V.","Santa Ana, Santa Ana",82.83
18,32,Panorama,Manuel Vicente Hernández Gutiérrez,"Chalchuapa, Santa Ana",82.64
19,16,San Pedro,Pedro Miguel Arévalo Alfaro,"Juayúa, Sonsonate",82.64
20,21,Santa Damiana,Ana Gladys Escalón de Guillén,"Santa Ana, Santa Ana",82.55
21,22,El Retiro,Juan Miguel Cukier,"Santa Ana, Santa Ana",82.5
22,56,San Juan,Horacio Enrique Magaña Cornejo,"Ahuachapán, Ahuachapán",82.32
23,14,El Porvenir,"Valo, S.A. de C.V.","Metapán, Santa Ana",82.14
24,19,Pacamaral,Eduardo Francisco de Jesús Castro Magaña,"Apaneca, Ahuachapán, Apaneca-Ilamatepec Mountain Range",81.79
25,24,El Madriado-Batres,"Marco A. Batres, Teresa B. Giamattei y Cía.","Ahuachapán, Ahuachapán",81.74
26,31,La Razón,Compañía Timanfaya S. A. de C. V.,"Santa Ana, Santa Ana",81.64
27,17,La Esmeralda,"Mecafé, S.A. de C.V.","Nueva San Salvador, La Libertad",81.33
28,41,San Blas,Asoc. Coop. de Prod. Agrop. Ataisi de R. L.,"El Congo, Santa Ana",81.19
29,24,Santa Rita,Agroforestal Santa Rita S. A. de C. V.,"Juayúa, Sonsonate",81.09
30,26,La Gloria,Graciela Cáceres Martínez,"Nueva San Salvador, La Libertad",80.64
31,17,Matalapa,Vickie Ann Dalton de Díaz,"Jayaque, La Libertad",80.62
