RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,24,San Roberto,Luis Rafael Perez,"Santa Ana, Chalchuapa",90.47
2,31,La Montañita,Antonio Rene Aguilar Lemus,"La Palma, Chalatenango",88.97
3,16,El Guachipilin,"H.U.S.A. Hermanas Urrutia, S.A.","Santa Ana, Chalchuapa",88.35
4,17,La Fany,"Inversiones Cafetaleras De Occidente, S.A. De C.V.","Ahuachapán, Apaneca",88.21
5,21,La Montaña 2,Francisco Alexander Ochoa Romero,"Chalatenango, La Palma",88.18
6,21,Siberia,Rafael Enrique Silva Hoff,"Santa Ana, Chalchuapa",87.74
7,18,Pacamaral,Eduardo Francisco de Jesús Castro Magaña,"Apaneca, Ahuachapán, Apaneca-Ilamatepec Mountain Range",87.56
8,23,San Joaquin,F.A. Pacas Y Cia,"Santa Ana, Apaneca-Ilamatepec",87.5
9,20,Santa Sofia,"Pacvil, S.A. De C.V.","Santa Ana, Santa Ana",87.47
10,21,El Salvador,Salvador Rodolfo Alessandro Ruffatti Paz,"Santa Ana, Chalchuapa",87.26
11,19,Monte Nevado,Regina Del Carmen Meardi Zuniga De Papini,"Usulután, Alegría",86.29
12,15,Helvetia,Carmen Elena Calderon Sol De Escalon,"Concepción de Ataco, Ahuachapan",84.75
13,31,La Esperanza,"Cosanje, Soc. Coop. De R.L.","Ahuachapán, Apaneca",84.64
14,55,Sitio de Mar¡a,Roque Abel Rios Canana,"Santa Ana, Chalchuapa",84.44
15,16,El Cerro,Marina Estela Alvarez Perez,"Santa Ana, Santa Ana",84.33
16,19,Santa Julia,Sociedad Haydee De Alvarez E Hijos,"Santa Ana, Santa Ana",84.31
17,45,Las Pampas,Horacio Enrique Magaña Cornejo,"Ahuachapán, Apaneca",84.14
