RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,18,Positos de San Ignacio,Ignacio Gutierrez Solis,"Chalatenango, San Ignacio",92.06
2,20,La Nueva Esperanza,Jose Francisco Recinos Rodriguez,"Chalatenango, Tejutla",91.59
3,30,Las Ventanas,Elisa Beatriz Aguilar Landaverde,"Chalatenango, La Palma",91.44
4,29,El Topazio,Maria Elena Avila de Muyshondt,"Sonsonate, Juayua",89.15
5,36,Himalaya – Divisadero,Mauricio Arturo Salaverria Caceres,"Ahuachapan, Apaneca",89.03
6,30,Cruz Gorda,Mauricio Arturo Salaverria Caceres,"Ahuachapan, Concepcion de Ataco",88.97
7,24,Villagalicia,Mauricio Arturo Salaverria Caceres,"Sonsonate, Juayua",88.74
8,11,Santa Rosa 1,J. Raul Rivera S.A. de C.V.,"Chalatenango, La Palma",88.32
9,32,Bella Vista (2015),Jose Figueroa Arbizu y Cia.,"Santa Ana, Santa Ana",87.91
10,19,El Jocotillo,Anna Elaine del Carmen Rivas de Vega,"Santa Ana, Chalchuapa",87.35
11,19,Milagro el Cerro,Atilio Zepeda Magaña,"Ahuachapan, Apaneca",87.21
12,32,Peña Redonda (2015),Carlos Mauricio Lemus Landaverde,"Chalatenango, La Palma",87.09
13,28,Miravalle (2015),Jaime Ernesto Riera Menendez,"Santa Ana, Santa Ana",87.06
14,31,Cerro Negro,Blanca Marina Peraza de Portillo,"Chalatenango, La Palma",87.03
15a,34,El Manzano,Jose Maria Lemus Aguilar,"Chalatenango, La Palma",87
15b,31,La Montañita (2015),Antonio Rene Aguilar Lemus,"Chalatenango, La Palma",87
17,20,Los Apeninos,"Cafino, S.A. de C.V.","Santa Ana, Santa Ana",86.91
18,33,El Conrrodal,Jose Armando Portillo Peraza,"Chalatenango, La Palma",86.47
19,16,Nejapa 1 – El Recuerdo,Juan Carlos Gregg Meza,"Ahuachapan, Ahuachapan",86.38
20,19,La Batalla 1,Vera Pastora Magaña de Velasquez,"Santa Ana, Metapan",86.32
21,30,Santa Josefita (2015),Lima y Socios,"Ahuachapan, Concepcion de Ataco",86.26
22,33,San Luis (2015),Jose Figueroa Arbizu y Cia.,"Santa Ana, Santa Ana",86
23,18,Fatima (2015),Carmen Duch Martinez,"Santa Ana, San Sebastian Salitrillo",85.97
24,13,Las Brumas Tablon La Montaña,Juan Jose Ernesto Menendez Arguello,"Sonsonate, Izalco",85.91
25,34,Buenos Aires,"Chicabal, S.A. de C.V.","Santa Ana, El Congo",85.65
26,21,La Dalia,Carlos Roberto Jesus de Praga Guillen Chacon,"Ahuachapan, Ahuachapan",85.41
27,16,Shangrila (2015),Juan Carlos Gregg Meza,"Ahuachapan, Ahuachapan",85.24
