RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,16,Las Mercedes,"Ortiz Barriere, S.A. de C.V.","Usulután, Santiago de María",94
2,20,Los Planes,Sergio Edmundo Ticas Reyes,"Chalatenango, Citala",93.52
3,25,La Montaña – La Hondurita,Raúl Ochoa – José Arnulfo Montiel,"Chalatenango, La Palma – San Fernando",91.46
4,26,Santa Sofia,"Pacvil, S.A. De C.V.","Santa Ana, Santa Ana",91.2
5,13,Montenegro,Oscar Magaña,"Metapán, Santa Ana",91.13
6,35,El Angel,Patricia Molina de Vivas,"Santa Ana, Santa Ana",90.2
7,25,Santa María,Himalaya S.A. de C.V.,"Ahuachapán, Apaneca",89.72
8,15,Santa Julia I,"Agroinversiones Salba, S.A. de C.V.","Santa Ana, Chalchuapa",89.39
9,14,Santa Julia II,"Agroinversiones Salba, S.A. de C.V.","Santa Ana, Chalchuapa",89.02
10,13,Santa Elena,"Agroinversiones Salba, S.A. De C.V.","La Libertad, Jayaque",88.48
11,43,El Carmen,Juan Duch Martinez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",88.26
12,17,El Zapote,Gustavo E. Urrutia Polanco y Cía.,"Ahuachapán, Ahuachapán",86.94
13,29,Malacara Lote B,"Chantuc, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",86.57
14,28,La Montañita,Antonio Rene Aguilar Lemus,"La Palma, Chalatenango",86.54
15,64,El Retiro,F.A. Pacas y Cía.,"Santa Ana, Chalchuapa",86.22
16,40,Fatima,Carmen Duch Martinez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",86.22
17,39,La Guerra (Tablón la Guerra 1),Gustavo Enrique Magaña Della Torre,"Ahuachapán, Ataco",85.63
18,18,Las Mercedes,Rosa Mercedes de Rodríguez,"Santa Ana, Chalchuapa",85.63
19,16,Las Victorias,"Operaciones Múltiples, S.A. de C.V.","Ahuachapán, Ahuachapán",85.59
20,15,El Trapiche,Carlos Roberto Salinas Magaña,"Ahuachapán, Apaneca",85.54
21,30,El Cashal,María Alicia Castillo de Magaña,"Ahuachapán, Ahuachapán",85.46
22,15,Monte Sión,Liliana Herrera de Urrutia,"Ahuachapán, Atiquizaya",85.24
23,14,El Manzano,Margarita Lucia Díaz de López,"Santa Ana, Chalchuapa",84.83
