RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,39,Las Brumas 1,Juan Jose Ernesto Menendez Arguello,"Izalco, Sonsonate",90.82
2,48,La Laguna,Gonzalo Antonio Ticas Reyes,"Citalá, Chalatenango",90.12
3,47,El Porvenir,Adilia Encarnacion Aguilar Murillo De Pullinger,"Chinameca, San Miguel",89.06
4,39,El Optimismo,Lucia Martinez De Zepeda,"Alegría, Usulutan",88.97
5,43,Los Pirineos,Los Pirineos S.A. De C.V.,"Berlín, Usulutan",88.79
6,52,La Montañita,Antonio Rene Aguilar Lemus,"La Palma, Chalatenango",88.44
7,39,Llano Grande,"Sicafe, S.A. De C.V.","Apeneca, Ahuachapan",88.44
8,46,Miravalle (2012),Jaime Ernesto Riera Menendez,"Santa Ana, Santa Ana",88.32
9,42,Fatima,Carmen Duch Martinez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",87.65
10,44,Peña Redonda,Carlos Mauricio Lemus Landaverde,"La Palma, Chalatenango",86.62
11,47,Nazareth,Andreas F Giron Dalmas,"Ahuachapán, Ahuachapan",86.56
12,42,Las Delicias,"Casal, S.A. De C.V.","Ahuachapán, Ahuachapan",86.29
13,47,Helvetia,Carmen Elena Calderon Sol De Escalon,"Concepción de Ataco, Ahuachapan",85.91
14,57,Las Mercedes 2,Juan Carlos Rodriguez Garcia,"Chalchuapa, Santa Ana",85.91
15,44,La Nueva,Rafael Duch Martinez,"Santa Ana, Santa Ana",85.85
16,47,El Rodeo,Julio Cesar Salaverria Caceres,"Juayúa, Sonsonate",85.79
17,53,Santa Isabel,"La Gloria ,S.A. De C.V.","Nejapa, San Salvador",85.79
18,55,El Zarzal,Benjamin Anthony Argueta,"Tepetitán, San Vicente",85.68
19,56,San Jose 2,Oto Salvador Carcamo Rodriguez,"Atiquizaya, Ahuachapan",85.59
20,41,La Siberia,Rafael Enrique Silva Hoff,"Chalchuapa, Santa Ana",85.53
21,40,San Blas 1,"Monte San Blas, S.A. De C.V.","Santa Ana, Santa Ana",85.5
22,46,Montes Everest,Gustavo Ernesto Urrutia Polanco,"Ahuachapán, Ahuachapan",85.5
23,45,La Esperanza,"Cafescal, S.A. De C.V.","Tacuba, Ahuachapan",85.5
24,48,El Conrradul,Jose Armando Portillo Peraza,"La Palma, Ahuachapan",85.32
25,34,Tizapa,Graciela Haydee Magaña De Fortin-Magaña,"Apeneca, Ahuachapan",85.32
26,44,Santa Alicia,Quiñonez Caminos Y Compañia,"Santa Tecla, La Libertad",85.29
27,45,La Cumbre,Los Pirineos S.A. De C.V.,"Berlín, Usulutan",85.29
28,58,Las Mercedes,Giron Salazar Hijos Y Cia Francisco,"Chalchuapa, Santa Ana",85.09
