RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,5,SANTA ROSA 2017,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, SAN IGNACIO",91.28
1b,6,SANTA ROSA 2017,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, SAN IGNACIO",91.28
2a,6,AUSOL 2017,MARIA ELENA AVILA DE MUYSHONDT,"SONSONATE, JUAYUA",90
2b,7,AUSOL 2017,MARIA ELENA AVILA DE MUYSHONDT,"SONSONATE, JUAYUA",90
3,12,HAMBURGO / NEJAPA 2017,GLORIA MERCEDES RODRIGUEZ FONTAN,"AHUACHAPAN, APANECA",89.96
4,15,LAS DELICIAS 2017,"CAFINO, S.A. DE C.V.","SANTA ANA, SANTA ANA",89.67
5,15,EL PORVENIR 2017,"VALO, S.A. DE C.V.","SANTA ANA, METAPAN",89.46
6,18,BUENA FE 2017,JORGE ALBERTO RECINOS RODRIGUEZ,"CHALATENANGO, TEJUTLA",89.14
7,16,EL IZOTE 2017,OSCAR ERNESTO AGUILAR JOVEL,"CHALATENANGO, LA PALMA",88.64
8,16,TOPACIO 2017,MARIA ELENA AVILA DE MUYSHONDT,"SONSONATE, JUAYUA",88.42
9,18,PEÑA REDONDA 2017,CARLOS MAURICIO LEMUS LANDAVERDE,"CHALATENANGO, LA PALMA",88.32
10,27,CERRO NEGRO 2017,BLANCA MARINA PERAZA DE PORTILLO,"CHALATENANGO, LA PALMA",88.28
11,14,LOS PIRINEOS 2017,"AGRICAFE, S.A. DE C.V.","USULUTAN, BERLIN",88
12,13,LAS PALMAS 2017,"AGRICAFE, S.A. DE C.V.","USULUTAN, BERLIN",87.67
13,10,LA ESMERALDA 1 2017,OSCAR ROBERTO MURGAS LINARES,"AHUACHAPAN, AHUACHAPAN",87.46
14,15,POSITOS DE SAN IGNACIO 2017,IGNACIO GUTIERREZ SOLIS,"CHALATENANGO, SAN IGNACIO",87.4
15,9,LA FINCONA (LA ESPERANZA) 2017,J. RAUL RIVERA S.A. DE C.V.,"CHALATENANGO, LA PALMA",87.39
16,19,DON JAIME 2017,JAIME RICARDO GUEVARA CHAVEZ,"CHALATENANGO, SAN IGNACIO",87.28
17,14,EL AGUACATE 2017,JOSE ANGEL RIVERA REINA,"CHALATENANGO, LA PALMA",87.25
18,20,GUACHIPILIN 2017,RENATO DIAZ DIAZ,"CHALATENANGO, LA PALMA",87.21
19,30,LAS VENTANAS 2017,ELISA BEATRIZ AGUILAR LANDAVERDE,"CHALATENANGO, LA PALMA",86.92
20,18,EL VALLE DEL SOL 2017,JOSE FRANCISCO RECINOS RODRIGUEZ,"CHALATENANGO, SAN FERNANDO",86.78
21,12,LORENA 2017,RENATO ARTURO ROMERO SILVA,"SANTA ANA, CHALCHUAPA",86.67
22,33,LA MONTAÑITA 2017,ANTONIO RENE AGUILAR LEMUS,"CHALATENANGO, LA PALMA",86.42
23,25,MILEYDI 2017,EVER LEONEL DIAZ PEREZ,"CHALATENANGO, LA PALMA",86.32
24,12,LAS TINIEBLAS 2017,"PROPIEDADES, S.A. DE C.V.","LA LIBERTAD, JAYAQUE",86.1
Bolivia,,,,,
