RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,28,San Nicolas A,Jose Edgardo Gutierrez Diaz,"La Palma, Chalatenango",90.37
2,24,Tablon El Copo,Mauricio Arturo Salaverria Caceres,"Juayua, Sonsonate",89.8
3,34,Suiza,Julia Margarita Martinez Molina,"Santa Ana, Apaneca-Ilamatepec",89.1
4,37,Peña Redonda,Carlos Mauricio Lemus Landaverde,"La Palma, Chalatenango",88.8
5a,18,Andalucia – {O},Sociedad Lima Y Hermanos,"Ahuachapan, Apaneca-Ilamatepec",88.3
5b,29,Divina Providencia,Roberto Samuel Ulloa Vilanova,"Santa Ana, Apaneca-Ilamatepec",88.3
6,19,Santa Elena – {O},Julia Rosa Mena de Lima,"Santa Ana, Santa Ana",87.63
7,39,La Gloria,Graciela Cáceres Martínez,"Nueva San Salvador, La Libertad",87.6
8,43,Malacara Lote B,"Chantuc, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",87.3
9,47,Santa Julia,Ricardo Alonso Escobar Vasquez,"Chalchuapa, Santa Ana",87.17
10,52,El Optimismo,Lucia Martinez De Zepeda,"Alegría, Usulutan",86.87
11,44,La Montañita,Antonio Rene Aguilar Lemus,"La Palma, Chalatenango",86.8
12,36,Miravalle (2013),Jaime Ernesto Riera Menendez,"Chalchuapa, Santa Ana",86.33
13,37,San Francisco,Juan Carlos Rodriguez Garcia,"Chalchuapa, Santa Ana",86.17
14,36,Fatima,Carmen Duch Martinez,"Santa Ana, Santa Ana, Apaneca-Ilamatepec",86.13
15,23,Caballeros B,Alfonso Posada Ochoa,"La Palma, Chalatenango",86.03
16,20,El Corozo 1,Lima y Socios,"Santa Ana, Santa Ana",86
17,40,San Nicolas B,Jose Edgardo Gutierrez Diaz,"La Palma, Chalatenango",85.97
18,48,Pacamaral,Eduardo Francisco de Jesús Castro Magaña,"Apaneca, Ahuachapán, Apaneca-Ilamatepec Mountain Range",85.83
19,56,La Begona,Oscar Ernesto Aguilar Jovel,"La Palma, Chalatenango",85.8
20,58,Santa Rosa,J. Raul Rivera S.A. de C.V.,"Chalatenango, Alotepec-Metapán",85.77
21,44,Luz Estela,Custodio S.A. de S.V.,"Santa Ana, Santa Ana",85.67
22,19,Las Brumas,Juan Jose Ernesto Menendez Arguello,"Sonsonate, Apaneca-Ilamatepec",85.53
23,18,La Lagunita,Gloria Mercedes Rodriguez Fontan,"Apaneca, Ahuachapan",85.47
24,22,Himalaya – Tablon Divisadero,Mauricio Arturo Salaverria Caceres,"Apaneca, Ahuachapan",85.43
25,34,Bello Horizonte,Jose Thomas Calderon Sol,"Santa Tecla, La Libertad",85.3
