RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,42,Roxanita,Ignacio Gutierrez Solis,"Chalatenango, Alotepec-Metapán",93.19
2,52,El Porvenir,Adilia Encarnación Aguilar de Pullinger,"San Miguel, Tecapa-Chinameca",92.56
3,42,La Reforma,"Fincal, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",91.72
4,41,Malacara Lote B,"Chantuc, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",90.83
5,46,Santa Rosa,J. Raul Rivera S.A. de C.V.,"Chalatenango, Alotepec-Metapán",90.69
6,66,Los Planes,Sergio Edmundo Ticas Reyes,"Chalatenango, Citala",90.06
7,47,Las Delicias,Compañia Agropecuaria Salvadoreña S.A. De C.V.,"Ahuachapan, Apaneca-Ilamatepec",89.22
8,50,Miravalle (2012),Jaime Ernesto Riera Menendez,"Santa Ana, Santa Ana",88.89
9,55,Santa Josefita,Lima Y Socios,"Ahuachapan, Apaneca-Ilamatepec",88.78
10,46,Sagrado Corazon,Anna Elaine Del Carmen Rivas De Vega,"Santa Ana, Apaneca-Ilamatepec",88.64
11,56,Nombre De Dios,Maria Elena Dominguez De Botto Isassi,"Santa Ana, Alotepec-Metapán",88.44
12,64,El Optimismo,Lucia Conocida Por Socorro Martinez De Zepeda,"Usulutan, Tecapa-Chinameca",88.08
13,43,El Pinar,Ana Eugenia Matilde Dominguez De Bauza,"Santa Ana, Alotepec-Metapán",88.06
14,52,Cerro Negro,Blanca Marina Peraza De Portillo,"Chalatenango, Alotepec-Metapán",88.03
15,65,San Carlos,Marta Dolores Menendez De Riera,"Santa Ana, Apaneca-Ilamatepec",87.69
16,40,Monte Everesth,Gustavo Ernesto Urrutia Polanco,"Ahuachapan, Apaneca-Ilamatepec",87.47
17,41,Los Pirineos,Los Pirineos S.A. De C.V.,"Berlín, Usulutan",87.36
18,41,La Nueva,Rafael Duch Martinez,"Santa Ana, Santa Ana",87.28
19,48,El Rosario,"Compañia Agropecuaria De Exportacion Centroamericana, S.A. De C.V.","Ahuachapan, Apaneca-Ilamatepec",87.22
20,49,Santa Elena,Ernesto Ramon Lima Rivera,"Santa Ana, Apaneca-Ilamatepec",87.17
21,72,Nazareth,Mario Ernesto Acosta Oertel,"Ahuachapan, Apaneca-Ilamatepec",87.08
22,43,Santa Rosa,Los Pirineos S.A. De C.V.,"Usulutan, Tecapa-Chinameca",87.06
23,42,Las Brumas,Juan Jose Ernesto Menendez Arguello,"Sonsonate, Apaneca-Ilamatepec",86.81
24,68,Graciela,"Rioduero, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",86.58
25,68,San Isidro,Bessie Batres Smith De Giron,"Ahuachapán, Apaneca-Ilamatepec",86.47
26,51,Santa Sofia,"Pacvil, S.A. De C.V.","Santa Ana, Santa Ana",86.33
27,39,Miralvalle (El Zapote),Gustavo E. Urrutia Polanco Y Cia.,"Ahuachapan, Apaneca-Ilamatepec",86.22
28,53,Las Palmas,Los Pirineos S.A. De C.V.,"Usulutan, Tecapa-Chinameca",86.14
29,36,Nicolas Mountain,"Marco Antonio Batres, Teresa Eugenia Giamattei Y Cia.","Ahuachapan, Apaneca-Ilamatepec",86.11
30,35,Montserrat,Maria De Los Angeles Arevalo Hernandez De Oporto,"Sonsonate, Apaneca-Ilamatepec",86.03
31,46,La Esperanza,"Inversiones Santonano, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",85.86
32,49,Nejapa I,Juan Carlos Gregg Meza,"Ahuachapan, Apaneca-Ilamatepec",85.81
33,41,La Lagunita/La Gloria,Gloria Rodriguez/Maria Jose Rodriguez,"Ahuachapan, Apaneca-Ilamatepec",85.75
34,48,Andalucia – {O},Sociedad Lima Y Hermanos,"Ahuachapan, Apaneca-Ilamatepec",85.72
35,51,El Islahuat,Victor Hugo Mata Tobar,"Ahuachapan, Apaneca-Ilamatepec",85.72
36,46,Finca Tizapa Tablon Cajete,Graciela Haydee Magaña De Fortin Magaña,"Ahuachapan, Apaneca-Ilamatepec",85.58
37,53,Las Mercedes,Juan Carlos Rodriguez Garcia,"Santa Ana, Apaneca-Ilamatepec",85.31
38,47,Tablon Divisadero,Mauricio Arturo Salaverria Caceres,"Ahuachapan, Apaneca-Ilamatepec",85.17
39,52,Santa Maria,"Himalaya, S.A. De C.V.","Ahuachapan, Apaneca-Ilamatepec",85.11
40,41,El Topacio,Maria Elena Avila Magaña De Muyshondt,"Juayúa, Sonsonate, Apaneca-Ilamatepec",85.06
41,42,La Esmeralda,Oscar Roberto Murgas Linares,"Ahuachapan, Apaneca-Ilamatepec",84.92
42,45,El Jocotillo,Anna Elaine Del Carmen Rivas De Vega,"Santa Ana, Apaneca-Ilamatepec",84.14
