RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,36,Suiza,Julia Margarita Martinez Molina,"Santa Ana, Apaneca-Ilamatepec",91.05
2,35,El Ausol,Maria Elena Avila Magaña De Muyshondt,"Ahuachapán, Apaneca-Ilamatepec",90.48
3,60,La Montañita,Antonio Rene Aguilar Lemus,"La Palma, Chalatenango",90.45
4,76,San Isidro,Bessie Batres Smith De Giron,"Ahuachapán, Apaneca-Ilamatepec",89.25
5,40,Los Andes,Juan José Ernesto Menéndez Argüello,"Santa Ana, Apaneca-Ilamatepec",89.16
6,46,San Joaquin,F.A. Pacas Y Cia,"Santa Ana, Apaneca-Ilamatepec",88.86
7,41,Los Pirineos,Los Pirineos S.A. De C.V.,"Berlín, Usulutan",88.84
8,39,La Batalla #1,Guillermo Magaña Flores,"Santa Ana, Alotepec-Metap N",88.84
9,40,Las Mercedes,Francisco Giron Salazar Hijos Y Cia.,"Santa Ana, Apaneca-Ilamatepec",88.7
10,40,Llano Grande,"Proyectos De Venta Y Compra, S.A. De C.V.","Ahuachapán, Apaneca-Ilamatepec",88.18
11,54,La Pinera,Luis Alonso Araujo Padilla,"San Miguel, Cacahuatique",86.5
12,52,El Porvenir,Adilia Encarnación Aguilar de Pullinger,"San Miguel, Tecapa-Chinameca",86.3
13,45,Agabo,Adda Mercedes Serarols Diaz,"Ahuachapán, Apaneca-Ilamatepec",86.07
14,44,San Carlos,Carlos Alfredo Méndez Florez,"Ahuachapán, Apaneca-Ilamatepec",86.05
15,42,Cerro Negro,Jose Armando Portillo Peraza,"La Palma, Chalatenango",85.95
16,43,La Gloria/Nueva Granada,"Majo, Gloria and Luis Rodríguez","Ahuachapán, Apaneca-Ilamatepec",85.91
17,39,Santa Teresa I,"Marco Antonio Batres, Teresa Eugenia Giamattei Y C","Ahuachapán, Apaneca-Ilamatepec",85.7
18,53,Casa De Zinc,"Casa De Zinc, S.A. De C.V.","Ahuachapán, Apaneca-Ilamatepec",85.18
19,46,La Campánula,Sociadad Lima Y Socios,"Santa Ana, Apaneca-Ilamatepec",85.07
20,51,Pinares 2,Héctor Manuel Velásquez Guzmán,"La Libertad, El Balsamo-Quetzaltepec",85.05
21,54,Los Amates – Tablon Los…,"Finca Los Amates, S.A. De C.V.","Ahuachapán, Apaneca-Ilamatepec",85.05
22,54,Divina Providencia,Roberto Samuel Ulloa Vilanova,"Santa Ana, Apaneca-Ilamatepec",85.05
23,46,Villa Galicia – Lote…,"Pretoria, S.A. De C.V.","Ahuachapán, Apaneca-Ilamatepec",84.73
24,145,Opalo,Daniel Ernesto Aguilar Zarco,"Ahuachapán, Apaneca-Ilamatepec",84.68
25,48,El Jocotillo,Anna Elaine Del Carmen Rivas De Vega,"Santa Ana, Apaneca-Ilamatepec",84.55
26,50,Santa Barbara,"COEXCA, S.A. De C.V.","Santa Ana, Apaneca-Ilamatepec",84.45
27,50,Las Nubes I,Ernesto Lima Mena,"Sonsonate, Apaneca-Ilamatepec",84.39
28,51,El Milenio,Kristal S.A. De C.V.,"Ahuachapán, Apaneca-Ilamatepec",84.36
29,52,Miralvalle,Marta Dolores Menéndez De Riera,"Santa Ana, Apaneca-Ilamatepec",84.23
30,44,Las Palmas,Los Pirineos S.A. De C.V.,"Usulutan, Tecapa-Chinameca",84.11
