LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,El Topacio,41,$22.25/lb,"$69,108.50",Wataru for C & C
2,El Jocotillo Lote A,45,$8.30/lb,"$28,087.20","Maruyama Coffee for Mikatajuku group, Haneda Coffee – Pon Pon, Itoya Coffee, Orsir Coffee"
3,Fatima,39,$8.55/lb,"$24,820.65","Time’s Club for C-COOP, Hisashi Yamamoto coffee"
4,Buenos Aires,37,$5.75/lb,"$16,077.00",Kaffebrenneriet as
5,La Batalla,55,$9.00/lb,"$37,233.00",Solberg & Hansen AS
6,La Avila,47,$4.20/lb,"$14,708.40","Toa Coffee Co., Ltd"
7,La Nueva,38,$6.05/lb,"$17,284.85","KAFFA as, Oslo – Norway"
8,Santa Teresa I,33,$6.05/lb,"$14,852.75","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
9,Santa Teresa IV -“Nicolas…,31,$5.00/lb,"$11,450.00",Lofbergs Lila AB
10,San Isidro,43,$3.55/lb,"$11,505.55","Bontain Coffee co.,Ltd."
11,El Carmen,39,$3.20/lb,"$9,292.80","Coffeeplant, Momos Coffee, Song Hoon, Steven Kil"
12,Los Amates,43,$3.20/lb,"$10,409.60","Has Bean Coffee, United Kingdom"
13,Villa España,67,$3.05/lb,"$15,469.60","Ricardo Espitia Associates*- Sweet Maria’s, Ritual Coffee Roasters, Tony’s Coffee)- *Projected Profits Of $10,144 To Be Donated June 5th For The Speedy Recovery Of Ricardo Espitia"
14,El Torogoz,42,$3.55/lb,"$11,147.00","Wataru & Co., Ltd."
15,San Jose / Shangrila,42,$3.30/lb,"$10,315.80","Mercanta The Coffee Hunters for Andronicas World of Coffee at Harrods UK, Inoue / Voila Coffee Japan, Has Bean Coffee UK, Melbourne Coffee Merchants Australia, Transcend Coffee Canada"
16,Monte Nevado,63,$2.70/lb,"$12,822.30",honuKATOCOFFEE Inc.
17,El Optimismo,69,$3.15/lb,"$16,483.95","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
18,San Jose,37,$2.95/lb,"$8,186.25","Wataru & Co., Ltd."
19,Altamira I,31,$3.10/lb,"$7,300.50","T.A.N. Coffee, gimme!coffee, No Quarter Coffee"
20,Malacara Lote A,45,$6.00/lb,"$20,334.00","Wataru & Co., Ltd., Intelligentsia"
21,La Trinidad,40,$2.65/lb,"$7,971.20","T.A.N. Coffee, No Quarter Coffee"
22,Buena Vista,42,$3.45/lb,"$10,839.90",Kaffebrenneriet as
23,Nombre De Dios San Juan,56,$2.85/lb,"$11,975.70",honuKATOCOFFEE Inc.
24,San Jose La Cumbre,42,$2.80/lb,"$8,895.60","Wataru & Co., Ltd."
25,Altamira III – “Andres Peak”,33,$2.80/lb,"$6,879.60","T.A.N. Coffee, Canada; Invalsa Coffee®, Boston, US"
26,El Cashal,75,$2.80/lb,"$15,940.40",honuKATOCOFFEE Inc.
27,La Montañita,39,$3.40/lb,"$10,050.40","Sweet Maria’s, Barefoot Coffee"
28,Santa Sofia,41,$2.90/lb,"$8,827.60","Wataru & Co., Ltd."
29,Nejapa – Tablon Roma,50,$2.65/lb,"$10,054.10","Nippon Coffee Trading Co.,Ltd for Doi Coffee"
30,Los Planes – Lote La Lagunita,54,$3.50/lb,"$14,112.00","Mercanta The Coffee Hunters for Has Bean Coffee UK, Cartel Coffee USA, Inoue / Voila Coffee Japan, Kontra Coffee Denmark, Melbourne Coffee Merchants Australia, Rocket Coffee New Zealand, Kaffeespezialitat Austria, The Conservatory Coffee USA, New Orleans"
31,Helvetia,41,$2.65/lb,"$8,079.85",Kyokuto Fadie Corporation
32,Malacara Lote B,45,$2.75/lb,"$9,333.50",Arvid Nordquist HAB
33,San Carlos,77,$2.80/lb,"$16,371.60",honuKATOCOFFEE Inc.
