RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,20,La Montaña,Raúl Ochoa Hernández,"La Palma, Chalatenango",92.8
2,22,Suiza,Julia Margarita Martinez Molina,"Santa Ana, Apaneca-Ilamatepec",92.13
3,13,Cerro Negro,Jose Armando Portillo Peraza,"La Palma, Chalatenango",91.57
4,19,La Hondurita,José Arnulfo Montiel Recinos,"Tejutla, Chalatenango",90.65
5,23,Nombre de Dios,Maria Elena Domínguez de Botto,"Metapán, Santa Ana",88.96
6,22,Himalaya,Sonia de Salaverría (Himalaya S.A. de C.V.),"Apaneca, Ahuachapán",88.13
7,18,Croacia,Gustavo Magaña Della Torre,"Apaneca, Ahuachapán",88.04
8,21,Alaska,Juan José Ernesto Menéndez Arguello,"Santa Ana, Santa Ana",88.02
9,20,Bella Vista,Rafael Antonio Salguero Chacón,"La Palma, Chalatenango",87.48
10,16,San José,Gloria Mercedes Rodríguez Fontan de Huezo,"Apaneca, Ahuachapán",86.33
11,12,Divina Providencia,Roberto Samuel Ulloa Vilanova,"Santa Ana, Apaneca-Ilamatepec",86.33
12,15,El Optimismo,Lucía Martínez de Zepeda,"Alegría, Usulután",86.18
13,19,Monte Rey,José Arenivar Sibrian (San Carlos S.A.),"Nahuizalco, Sonsonate",86.15
14,39,Los Alpes,Luis Alonso Araujo,"Ciudad Barrios, San Miguel",86.05
15,16,Shangrilá,Juan Carlos Gregg Meza,"Apaneca, Ahuachapán",85.73
16,18,Altamira,Raúl Francisco Garciaprieto Urrutia,"Nahuizalco, Sonsonate",85.73
17,16,La Batalla,Guillermo Magaña Flores,"Metapán, Santa Ana, Alotepec-Metapán",85.48
18,17,Aconcagua,Tom Hawk (Chantuc S.A. de C.V.),"Tacuba, Ahuachapán",85.33
19,23,El Porvenir,Adilia Encarnación Aguilar de Pullinger,"Chinameca, San Miguel",85.18
20,14,Malacara B,Roberto Dumont Álvarez (Chatuc S.A. de C.V.),"Santa Ana, Santa Ana",84.95
21,15,Miralvalle,Gustavo Enrique Urrutia Polanco,"Ahuachapán, Ahuachapán",84.2
22,24,Santa Josefita,Ernesto Ramón Lima,"Ataco, Ahuachapán",84.03
23,15,Siberia,Rafael Enrique Silva Hoff,"Santa Ana, Chalchuapa",84.03
