LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Positos de San Ignacio,18,$23.50/lb,"$27,847.50","UCC Ueshima Coffee Co., Ltd."
2,La Nueva Esperanza,20,$23.10/lb,"$30,561.30","Maruyama Coffee, Coffee a Go-Go (JAPAN) // Mesh Coffee (KOREA) // Orsir Coffee (TAIWAN)"
3,Las Ventanas,30,$13.00/lb,"$26,221.00","Kyokuto Fadie Corporation, Time’s Club, Tashiro Coffee, TOA Coffee (JAPAN) // Coffee Libre (KOREA)"
4,El Topazio,29,$9.20/lb,"$17,342.00","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa"
5,Himalaya – Divisadero,36,$9.70/lb,"$23,415.80","Almacielo, De Ballon"
6,Cruz Gorda,30,$9.20/lb,"$18,556.40",Campos Coffee
7,Villagalicia,24,$9.15/lb,"$14,521.05",M.I. COFFEE CORPORATION
8,Santa Rosa 1,11,$14.95/lb,"$11,362.00",WATARU for coffee beans ROCOCO
9,Bella Vista (2015),32,$9.10/lb,"$19,255.60",TERAROSA (HAKSAN Co.Ltd)
10,El Jocotillo,19,$8.30/lb,"$10,433.10",Momos Coffee
11,Milagro el Cerro,19,$8.00/lb,"$10,056.00","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
12,Peña Redonda (2015),32,$8.30/lb,"$17,288.90","Mercanta The Coffee Hunters, Has Bean Coffee (UK) // Artisan Coffee Roasters (SCOTLAND) // Melbourne Coffee Merchants, Double Roasters, Monk Bodhi Dharma, Humblebee Coffee Roasters, Patio Coffee Roasters, Villere Coffee, Code Black Coffee, Market Lane Coffee, Ministry Grounds Coffee (AUSTRALIA)"
13,Miravalle (2015),28,$8.10/lb,"$15,001.20","32cup (BELGIUM) // Cantata, Dutch Barista, Viva Sara, Kaffitar, 24GRAD, Balirny, Knopes, Food Service // Torr. Caffe Gourmet (ITALY)"
14,Cerro Negro,31,$8.10/lb,"$16,605.00","Wataru & Co., Ltd."
15a,El Manzano,34,$9.05/lb,"$20,652.10",SPC for COFFEE@WORKS
15b,La Montañita (2015),31,$8.80/lb,"$18,040.00",Kyokuto Fadie Corporation
17,Los Apeninos,20,$8.11/lb,"$10,729.53","Wataru & Co., Ltd."
18,El Conrrodal,33,$7.50/lb,"$16,372.50",M.I. COFFEE CORPORATION
19,Nejapa 1 – El Recuerdo,16,$8.01/lb,"$8,474.58","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
20,La Batalla 1,19,$7.50/lb,"$9,180.00",Blooms Roastery & Craft Tea
21,Santa Josefita (2015),30,$7.53/lb,"$14,939.52",Kaffebrenneriet as
22,San Luis (2015),33,$7.43/lb,"$15,967.07",32cup NV
23,Fatima (2015),18,$7.50/lb,"$8,850.00","TASHIRO COFFEE Co.,Ltd"
24,Las Brumas Tablon La Montaña,13,$8.45/lb,"$7,452.90",MOKKA SPECIALITY COFFEE
25,Buenos Aires,34,$7.20/lb,"$16,192.80","Wataru & Co., Ltd."
26,La Dalia,21,$7.40/lb,"$10,271.20",honuKATOCOFFEE Inc.
27,Shangrila (2015),16,$7.40/lb,"$7,992.00",Latorre & Dutch Coffee Traders
