RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,13,El Injerto 1,"El Injerto, S. A.","La Libertad, Huehuetenango",92.57
2,20,La Merced,"Finca La Merced, S. A.","San Martín Jilotepeque, Chimaltenango",91.07
3,11,Asturias,"Plant. Asturias, S. A.","Pueblo Nuevo, Suchitepequez",90.45
4,18,La Perla Y Anexos,"Finca La Perla Y Anexos, S. A.","Chajúl, El Quiche",90.43
5,11,Las Nubes,"Diez De Mayo, S. A.","San Francisco Zapotitlán, Suchitepequez",90.19
6,13,Carmona,"Carmona, S. A.","Antigua Guatemala, Sacatepéquez, Antigua",89.8
7,13,El Potrerito,"Lima Rosales, Elmer","Acatenango, Chimaltenango",89.32
8,15,La Soledad Y Anexo,"Perez Melendez, Enio Raul","Acatenango, Chimaltenango",89.18
9,13,Carlos,"Morales Alvarado, Carlos","Mataquescuintla, Jalapa",88.55
10,15,Valparaiso,"Perez Lima, Ernesto","Acatenango, Chimaltenango",85.45
11,13,Los Quequezques,"Agroind. Magna, S. A.","San Juan Sacatepéquez, Guatemala",87.09
12,21,Viviano,"Gutierrez Vasquez, Viviano","Jalapa, Jalapa",86.91
13,13,Pachujul,"Ramirez Yataz, Jose","Santiago Atitlán, Solola",86.27
14,13,San Gerardo,"Inversiones Estrategicas, S. A.","Amatitlán, Guatemala",85.36
15,17,La Labor Y Anexo,"Empresa Rancho Dulce, S. A.","Guatemala, Guatemala",85.34
16,13,Chichupac,Asociacion C. De Estudios E Inv. P. El D. Y La Paz,"Rabinal, Baja Verapaz",85.3
17,13,El Platanar Y Anexo,"De La Roca Perez, Hector","Acatenango, Chimaltenango",85.23
18,13,Daniel,"Morales Alvarado, Daniel","Mataquescuintla, Jalapa",85.11
19,13,Santa Isabel Y Anexos,"Jinaya, S. A.","Pueblo Nuevo Viñas, Santa Rosa",85.07
20,13,Asoc. De Caficultores De San…,Actasa,"San Cristobal Verapaz, Alta Verapaz",84.5
21,13,Retana Y Anexos,"Finca Retana Y Anexos, S. A.","Antigua Guatemala, Sacatepequez",84.45
22,21,San Jorge,"Lemus Pineda, Tulio","Palencia, Guatemala",84.41
23,19,El Retiro,"Finca El Retiro Del Quisaya, S. A.","San Martín Jilotepéque, Chimaltenango",84.11
24,13,San Rafael Urias Valdes,"Valdes Salvatierra, Hnos.","Ciudad Vieja, Sacatepequez",84.09
25,13,El Bosque Y Anexo,"Diaz Schwarz, Roberto","Amatitlán, Guatemala",84.09
