RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,41,El Socorro Y Anexos,"Cercol, S. A. / Juan Diego de la Cerda","Palencia, Guatemala",91.53
2,41,La Esperanza,"Villatoro Lopez, Eleodoro","La Libertad, Huehuetenango",90.92
3,30,El Injerto I,"El Injerto, S. A.","La Libertad, Huehuetenango",89.58
4,39,San Sebastian,"Agropecuaria Salfar, S. A.","San Miguel Dueñas, Sacatepequez",89.03
5,25,Las Macadamias,"Las Macadamias, S. A.","La Libertad, Huehuetenango",88.72
6,27,Los Cuxinales Y Anexos,"Agropecuaria Poyo, S. A.","Ciudad Vieja, Sacatepequez",88.58
7,53,Trinidad,"Melgar Moreno, Jose","Santa Rosa de Lima, Santa Rosa",88.39
8,30,Santa Isabel,"Agricola Valmar, S. A.","San Cristobal Verapaz, Alta Verapaz",87.69
9,35,La Perla Y Anexos,"Finca La Perla Y Anexos, S. A.","Chajúl, El Quiche",87.61
10,42,Aragon,"Zelaya Andrade, Alejandro","Antigua Guatemala, Sacatepequez",86.97
11,35,Bella Vista,"Entre Caminos, S. A.","Ciudad Vieja, Sacatepequez",86.31
12,27,La Maravilla,"Rosales Vasquez, Mauricio","La Libertad, Huehuetenango",85.89
13,38,San Bernardo,"Corpor. San Bernardo Del Cerrito, S. A.","Fraijanes, Guatemala",85.86
14,48,San Jose La Travesia,"Agricola Travesia, S. A.","San Miguel Dueñas, Sacatepequez",85.61
15,37,Manila Y Anexos,"Cafe De Manila, S. A.","Nuevo Progreso, San Marcos",85.5
16,38,Linda Vista,"Castillo Herrarte, Mario Enrique","Pueblo Nuevo Viñas, Santa Rosa",85.36
17,52,San Rafael Urias Valdes,Finca San Rafael Urias,"Ciudad Vieja, Sacatepequez",85.31
18,43,San Julián,"Inversiones Mimosa, S. A.","Palencia, Guatemala",85.25
19,38,Santa Barbara,"Agropecuaria Rabanales, S. A.","Fraijanes, Guatemala",85.22
20,25,Concepcion Pixcaya,"Concepcion Pixcaya, S. A.","San Juan Sacatepéquez, Guatemala",84.94
21,37,Cabrejo,"Hegel De Guise, Emilia Margarita Graciela Coralia","Antigua Guatemala, Sacatepequez",84.75
22,64,Teanzul,"Compañia Agricola Tierra Alta, S. A.","Barberena, Santa Rosa",84.72
23,59,Alotepeque,"Mario Jordan Duarte , Comercializadora Yardenit","Concepción Las Minas, Chiquimula",84.72
24,43,San Jose El Valenton,"Agropecuaria Punto Verde, S. A.","Villa Canales, Guatemala",84.67
25,36,Pavon Y Anexos,"Duran Pellecer, Marina Lucrecia","Antigua Guatemala, Sacatepequez",84.47
26,58,Retana Y Anexos,"Finca Retana Y Anexos, S. A.","Antigua Guatemala, Sacatepequez",84.39
27,43,Santa Elisa Pachup,"Proyectos Del Pacifico, S. A.","Yepocapa, Chimaltenango",84.39
28,49,Capetillo Y Anexos,"Capetillo, S. A.","Alotenango, Sacatepequez",84.33
29,34,Los Caballitos,"Finca Los Caballitos, S. A.","Chajúl, El Quiche",84.25
