RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,15,El Socorro Y Anexos,"Cercol, S. A. / Juan Diego de la Cerda","Palencia, Guatemala",93.6
2,40,San Jose Ocaña,Carlos Roberto Sanchez Lazo Y Cdños.,"San Juan Sacatepéquez, Guatemala",91.5
3,16,San Jose El Yalu,"Agropecuaria Los Pinos, S. A.","Sumpango, Sacatepequez",89.6
4,15,Asoc. De Caf. De San…,Actasa,"San Cristobal Verapaz, Alta Verapaz",89.53
5,19,Santa Elisa Pachup,"Proyectos Del Pacifico, S. A.","Yepocapa, Chimaltenango",88.48
6,16,El Injerto I,"El Injerto, S. A.","La Libertad, Huehuetenango",88.28
7,29,Teanzul,"Compañia Agricola Tierra Alta, S. A.","Barberena, Santa Rosa",87.75
8,16,Vista Hermosa,"Martinez Pineda, Edwin","San Pedro Necta, Huehuetenango",87.53
9,24,San Rafael Pacun,"Cafetalera Cataluña, S. A.","Acatenango, Chimaltenango",87.45
10,25,Santa Ana Y Anexos,Servicios Polasek Alzamora Diaz M. S A,"Pueblo Nuevo Viñas, Santa Rosa",86.15
11,19,El Porvenir,"Soto Figueroa, Irma","Amatitlán, Guatemala",85.95
12,21,Viviano,"Gutierrez Vasquez, Bibiano","Jalapa, Jalapa",85.25
13,23,Daniel,"Morales Alvarado, Daniel","Mataquescuintla, Jalapa",85.03
14,16,El Platanar Y Anexos,"De La Roca Perez, Hector","Acatenango, Chimaltenango",85
15,16,Dos Marias,"Finca Dos Marias, S. A.","La Reforma, San Marcos",84.88
16,18,Idolia,"Diaz Marroquin, Roberto","Pueblo Nuevo Viñas, Santa Rosa",84.75
17,28,Candelaria,"Soto Figueroa, Irma","Amatitlán, Guatemala",84.65
18,22,La Merced,"Finca La Merced, S. A.","San Martín Jilotepeque, Chimaltenango",84.25
19,16,San Sebastian,"Agropecuaria Salfar, S. A.","San Miguel Dueñas, Sacatepequez",84.25
