RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,6,El Paraxaj 2017,Ana Lucia Meneses Hernandez,"Chimaltenango, Acatenango",$90.36
1b,5,El Paraxaj 2017,Ana Lucia Meneses Hernandez,"Chimaltenango, Acatenango",$90.36
2a,9,El Injerto I 2017,Arturo de Jesus Aguirre Escobar,"La Libertad, Huehuetenango",$90.19
2b,8,El Injerto I 2017,Arturo de Jesus Aguirre Escobar,"La Libertad, Huehuetenango",$90.19
3,20,Las Macadamias 2017,Arturo Manuel Aguirre Saenz,"La Libertad, Huehuetenango",$89.69
4,16,El Morito I 2017,Jose Roberto Monterroso Pineda,"Jalapa, Mataquescuintla",$89.67
5,16,San Guayaba 2017,Juan Diego de la Cerda,"Palencia, Guatemala",$89.42
6,32,Kalibus La Sierra 2017,Pompeyo Castillo Cerezo,"San Cristobal Acasaguastlán, El Progreso",$88.75
7,18,Las Rosas 2017,Rolando Belarmino Villatoro Villatoro,"San Pedro Necta, Huehuetenango",$88.47
8,8,Santa Felisa 2017,Ana Lucia Meneses Hernandez,"Chimaltenango, Acatenango",$88.36
9,52,San Antonio de Esquipulas y…,Jorge Sergio Tulio Ovalle Alvarado,"La Democracia, Huehetenango",$88.00
10,14,La Soledad y Anexo 2017,Henio Raul Perez Melendez,"Acatenango, Chimaltenango",$87.97
11,18,Isnul 2017,Guillermo Javier Perez Anzueto,"La Democracia, Huehuetenango",$87.17
12,16,El Morito II 2017,Jose Roberto Monterroso Pineda,"Jalapa, Mataquescuintla",$87.11
13,15,Rio Dorado 2017,Jose Roberto Monterroso Pineda,"Jalapa, Mataquescuintla",$87.00
14,19,Rio Arriba 2017,Juan Diego de la Cerda,"Palencia, Guatemala",$86.89
15,28,La Bella 2017,Teodoro Enrique Engelhardt Ortega,"San Agustín Acasaguastlán, El Progreso",$86.86
16,20,El Centro 2017,Inmer Abel Valladares Rodriguez,"Monjas, Jalapa",$86.81
17,17,La Esperanza 2017,Pedro Villatoro Castillo,"La Libertad, Huehuetenango",$86.67
18,26,La Florida 2017,Teodoro Enrique Engelhardt Ortega,"El Progreso, San Cristobal Acasaguastlán",$86.64
19,18,Lo de Morales 2017,Jose Roberto Monterroso Pineda,"Jalapa, Mataquescuintla",$86.58
20,33,San Antonio El Bosque 2017,Mario Marinelli Perez,"Santa Rosa, Santa Rosa de Lima",$86.56
21,16,Carmona 2017,Maria del Socorro Ester Zelaya Aguirre,"Antigua Guatemala, Sacatepequez",$86.56
22,15,Corral Viejo y Anexo 2017,Antonio Colom Caballeros,"Guatemala, Palencia",$86.50
23,16,El Socorro 2017,Juan Diego de la Cerda,"Palencia, Guatemala",$86.39
24,16,Concepcion Pixcaya 2017,Manuel Guillermo Zaghi Miron,"San Juan Sacatepequez, Guatemala",$86.33
25,41,El Tambor 2017,Maria Floridalma Solano Figueroa,"Palencia, Guatemala",$86.28
26,21,Bella Elizabeth 2017,Erwin Humberto Argueta Herrera,"San Pedro Necta, Huehuetenango",$86.17
27,29,Alotepeque 2017,Mario Jordan Duarte,"Concepcion Las Minas, Chiquimula",$86.14
28,48,La Tormenta 2017,Maria del Carmen Vela Ruiz,"El Progreso, San Agustín Acasaguastlán",$86.00
