RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,24,Kalibus La Sierra,"Castillo Cerezo, Pompeyo","San Cristobal Acasaguastlan, El Progreso",91.47
2,37,El Injerto I – 14,"El Injerto, S.A.","La Libertad, Huehuetenango",90.08
3,35,El Morito I,"Monterroso Pineda, José Roberto","Mataquescuintla, Jalapa",89.11
4,32,La Florida,"Xilate, S.A.","San Agustin Aguascatlan, El Progreso",88.08
5,33,Santa Clara,AGRISAR,"Acatenango, Chimaltenango",87.69
6,66,La Joya,"Agrícola Santa Calatina, S.A.","San Miguel Dueñas, Sacatepequez",87.47
7,33,Las Macadamias – 14,"Las Macadamias, S.A.","La Libertad, Huehuetenango",87.22
8,38,Rosma – 14,"Morales Mérida, Fredy Milton","San Pedro Necta, Huehuetenango",87.14
9,40,La Maravilla – 14,"Rosales Vásquez, Mauricio","La Libertad, Huehuetenango",87.08
10,29,Montecristo,"Villatoro Gómez, Jorge Heberto","La Libertad, Huehuetenango",86.97
11,35,El Morito II,"Monterroso Pineda, José Roberto","Mataquescuintla, Jalapa",86.14
12,36,Santa Ileana,"Agropecuaria Aguapica, S.A.","Pueblo Nuevo Viñas, Santa Rosa",86.11
13,33,Pacamaral,"Inmobiliaria SMA, S.A.","Pueblo Nuevo Viñas, Santa Rosa",85.72
14,30,Antigua Buena Vista y Anexos,Entre Caminos,"Jocotenango, Sacatepequez",85.64
15a,45,El Carmen,"Mejía García, Juan José","Acatenango, Chimaltenango",85.5
15b,37,El Limonar,"Ovalle Mont, Rosa María","La Libertad, Huehuetenango",85.5
16,44,San Florencio,"Herrera San Juan, Olga Victoria","San Juan Ostuncalco, Quetzaltenango",85.44
17,37,Guatalon,"Juarez Solares, Guillermo Antonio","Santa Rosa de Lima, Santa Rosa",85.42
18,30,San Agustin Las Cañas,"Operadora Santa Clara, S.A.","Antigua, Sacatepequez",85.31
19,35,Idolia,"Azúcar y Café, S.A.","Pueblo Nuevo Viñas, Santa Rosa",85.28
20a,42,Villaure,"Villatoro Castillo, Aurelio","Cuilco, Huehuetenango",85.22
20b,41,La Colina,Emilio Medina,"San Martin Jilotepeque, Chimaltenango",85.22
21,31,Miralvalle,Jorge Villatoro,"San Pedro Necta, Huehuetenango",85.17
22,34,San Jose Ocaña,"Inmobiliaria Giarfe, S.A.","San Juan Sacatepequez, Guatemala",85.08
