RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,35,El Injerto 1,"El Injerto, S. A. / Arturo Aguirre","La Libertad, Huehuetenango",93.14
2,32,El Morito,José Roberto Monterroso / Café Molido,"Jalapa, Mataquescuintla",91.11
3,30,El Socorro y Anexos,"Cercol, S. A. / Juan Diego de la Cerda","Palencia, Guatemala",90.19
4,42,San Guayaba,"Cercol, S. A. / Juan de la Cerda","Palencia, Guatemala",89.86
5,40,Miralvalle,Jorge Heberto Villatoro Gómez,"San Pedro Necta, Huehuetenango",89.72
6,39,La Esperanza,Eleodoro De Jesús Villatoro,"La Libertad, Huehuetenango",89.33
7,36,El Limonar,Rosa María Ovalle Monts y Cdñs.,"La Libertad, Huehuetenango",89.19
8,37,Las Macadamias,"Las Macadamias, S. A.","La Libertad, Huehuetenango",88.94
9,34,El Carmen,Juan José Mejía García,"Acatenango, Chimaltenango",88.44
10,41,Huitz Matig,"Huitz Matig, S. A.","La Democracia, Huehuetenango",88.25
11a,40,Monte de Oro III,Mario René Alarcón Aguilar,"Acatenango, Chimaltenango",86.28
11b,31,Santa Rosa Buenos Aires,"Hacienda Santa Rosa Buenos Aires, S. A.","La Democracia, Huehuetenango",86.28
12a,42,La Hermosa,Max Perez / Adonay Perez,"Acatenango, Chimaltenango",86.22
12b,47,Rosma,"Morales Merida, Fredy Milton","San Pedro Necta, Huehuetenango",86.22
13,31,La Bella y Anexo,"Xilate, S. A.","San Agustín Acasaguastlán, El Progreso",86.19
14,38,Antigua Buena Vista y Anexos,"Entre Caminos, S. A. / Luis Pedro Zelaya","Jocotenango, Sacatepéquez",86.17
15,31,El Guisquilar,"Corporación Mil, S. A.","La Democracia, Huehuetenango",86.11
16,43,San Agustin Las Cañas,"Operadora Santa Clara, S. A.","Antigua Guatemala, Sacatepequez",85.86
17,42,La Maravilla,"Rosales Vasquez, Mauricio","La Libertad, Huehuetenango",85.83
18,40,Chalabal Estrella,"Jarras, S. A.","Acatenango, Chimaltenango",85.72
19a,69,Alotepeque,"Mario Jordan Duarte , Comercializadora Yardenit","Concepción Las Minas, Chiquimula",85.67
19b,41,La Pila,"Ciga, S. A.","Fraijanes, Guatemala",85.67
20,45,Villaure,Aurelio Villatoro Castillo,"Cuilco, Huehuetenango",85.44
