RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,36,El Injerto I,"El Injerto, S. A.","La Libertad, Huehuetenango",91.98
2,32,Monte Cristo,Benjamin Villatoro,"La Libertad, Huehuetenango, Huehuetenango",90.58
3,42,Las Macadamias,"Las Macadamias, S. A.","La Libertad, Huehuetenango",89.33
4,40,Alotepeque,Mario Jordan,"Concepción las minas, Chiquimula, New Oriente",89.25
5,29,La Esperanza,Heleodoro Villatoro,"La Libertad, Huehuetenango, Huehuetenango",89.25
6,37,Asuvim,Asociación Integral Unidos para Vivir Mejor,"Santa Clara la Laguna, Sololá, Atitlán",89.05
7,35,Puerta Verde,"Puerta Verde, S. A.","Ciudad Vieja, Sacatepéquez, Antigua",88.4
8,32,La Providencia II,Alfonso Anzueto,"San Pedro Necta, Huehuetenango, Huehuetenango",88.35
9,36,Carmona,"Carmona, S. A.","Antigua Guatemala, Sacatepéquez, Antigua",88.28
10,32,El Socorro Y Anexos,"Cercol, S. A. / Juan Diego de la Cerda","Palencia, Guatemala",88.08
11,31,San Antonio De Esquipulas Y…,Francisco Ovalle,"La Democracia, Huehuetenanto, Huehuetenango",86.58
12,33,El Libano,Herbert Pérez,"Acatenango, Chimaltenango, Acatenango",85.83
13,30,Isnul,Alfonso Anzueto,"La Democracia, Huehuetenanto, Huehuetenango",85.43
14,36,El Mirador,Nestor Salazar del Aguila,"Villa Canales, Guatemala, Fraijanes",85.38
15,32,Santa Ana,"Guadamur, S. A.","Pueblo Nuevo Viñas, Santa Rosa",85.25
16,34,Granja El Tempixque,"Entre Volcanes, S. A.","San Miguel Dueñas, Sacatepequez",85.18
17,51,Claima,Agrícola Mercantil Claima,"La Democracia, Huehuetenanto, Huehuetenango",85.15
18,36,El Volcan Raspado,Eulogio Guerra García,"Esquipulas, Chiquimula, New Oriente",85.1
19,31,San Julián,"Inversiones Mimosa, S. A.","Palencia, Guatemala",85.08
20,36,La Soledad Y Anexos,Henio Pérez,"Acatenango, Chimaltenango, Acatenango",84.95
21,37,Santa Clara Y Anexos,"Operadora Santa Clara, S.A","Pastores, Sacatepequez, Antigua",84.95
22,32,Santa Delfina Y Anexos,Finca La Perla y Anexos,"Chajúl, El Quiche, Not Available",84.95
23,34,Florencia Y Anexos,Juan Ramón Flores,"Villa Canales, Guatemala, Fraijanes",84.43
