RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,44,El Injerto I,"El Injerto, S. A.","La Libertad, Huehuetenango",92.47
2,39,El Socorro Y Anexos,"Cercol, S. A. / Juan Diego de la Cerda","Palencia, Guatemala",89.06
3,33,Santa Isabel,"Agricola Valmar, S. A.","San Cristobal Verapaz, Alta Verapaz",88.66
4,22,Santa Rosa Buenos Aires,"Hacienda Santa Rosa Buenos Aires, S. A.","La Democracia, Huehuetenango",88.41
5,38,Las Macadamias,"Las Macadamias, S. A.","La Libertad, Huehuetenango",88.28
6,45,Santa Clara y Anexos,"Operadora Santa Clara, S. A.","Antigua Guatemala, Sacatepequez",88.22
7,38,La Esperanza,Eleodoro De Jesús Villatoro,"La Libertad, Huehuetenango",87.66
8,26,Vinaros,"Agricola Vinaros, S. A.","San Miguel Tucurú, Alta Verapaz",87.66
9,24,Santa Ana,"Guadamur, S. A.","Pueblo Nuevo Viñas, Santa Rosa",87.16
10,32,Concepcion Pixcaya,"Concepcion Pixcaya, S. A.","San Juan Sacatepéquez, Guatemala",86.26
11,29,San José Ocaña,"Inmobiliaria Giarfe, S. A.","San Juan Sacatepéquez, Guatemala",86.22
12,36,San Antonio de Esquipulas y…,"Ovalle Mendez, Francisco Edgardo","La Democracia, Huehuetenango",86.18
13,25,Rosma,"Morales Merida, Fredy Milton","San Pedro Necta, Huehuetenango",86.06
14,36,Chalabal,"Garcia Soto, Julio Jose","Acatenango, Chimaltenango",85.97
15,20,Isnul,"Anzueto De Leon, Alfonso Augusto","La Democracia, Huehuetenango",85.91
16,25,San Julián,"Inversiones Mimosa, S. A.","Palencia, Guatemala",85.85
17,34,La Tacita,"Agricola La Tacita, S. A.","San Miguel Dueñas, Sacatepequez",85.85
18,38,Pacaybal y Anexos,Agropecuaria Pacaybal S. A.,"San Juan La Laguna, Sololá",85.85
19,27,La Merced,"Finca La Merced, S. A.","San Martín Jilotepeque, Chimaltenango",85.71
20,37,La Soledad,"Comercial Agricola Karrichel, S. A.","Antigua Guatemala, Sacatepéquez",85.47
21,56,El Pintado y Anexo,"El Pintado, S. A.","Antigua Guatemala, Sacatepéquez",85.21
22,42,Catalán de las Mercedes,Ruth Martinez ; Nicolas Hammond Martinez,"San Martín Jilotepéque, Chimaltenango",85.18
23,45,Carmona,"Carmona, S. A.","Antigua Guatemala, Sacatepéquez, Antigua",85
