RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,23,La Mesa,Luis Enrique Navarro Granados,"La Bandera de Dota , Tarrazú",92.67
2,23,El Alto,Josúe Navarro Porras,"La Bandera de Dota, Tarrazú",90.03
3,56,Bajo de Celia,Alberto Camacho Morera,"Sirrí, Valle Occidental",89.9
4,32,El Halcón,Luis Enrique Navarro Porras,"La Bandera de Dota , Tarrazú",89.83
5,35,Nuestra Herencia,Guiselle Porras Vega,"La Bandera de Dota , Tarrazú",89.63
6,23,El Llano,Hector Bonilla Cruz,"Llano Bonito de León Cortez , Tarrazú",89.6
7,23,El Diamante,Café de Altura de San Ramón,"San Rafael San Ramón , Valle Occidental",88.8
8,35,Vara Blanca de Dota,Marco Chacón Madrigal,"Dota, Santa María , Tarrazú",88.77
9,35,La Granadilla,Luis Ricardo Calderón Madrigal,"Dota, Santa María , Tarrazú",88.67
10a,34,El Beneficio,Juan Ramón Alvarado,"San Francisco , Valle Central",87.6
10b,23,Santa Lucía La Casa,Marlene Mayela Brenes Morera,"Lourdes de Cirrí de Naranjo , Valle Occidental",87.6
10c,23,La Entrada,La Pira de Dota,"Dota, Santa María , Tarrazú",87.6
11,23,La Vuelta,Alejandro Solís Blanco,"San Marcos , Tarrazú",87.5
12,23,Ortiz 1700,Omar Calderón Madrigal,"Dota, Santa María , Tarrazú",87.37
13,23,El Cocobolo,La Pira de Dota,"Dota, Santa María , Tarrazú",87.27
14,23,Finca Macho – 14,Efrain Naranjo Blanco,"León Cortez-Llano Bonito , Tarrazú",87.23
15,23,La Trinidad,Luis Alberto Monge Ureña,"San Isidro de León Cortéz , Tarrazú",87.07
16,28,Divino Niño,Mauricio Vindas Vargas,"San Pablo de León Cortez, Tarrazú",86.97
17,41,Farami Juan Luis,Juan Luis Fallas Mata,"Dota, Santa María , Tarrazú",86.93
18,34,La Nena,Juan José Alvarado,"San Francisco , Valle Central",86.87
19,23,El Dragón,Oscar Adolfo Monge Ureña,"Parritilla la Legua de Aserrí , Tarrazú",86.83
20,35,Santa Lucía – {O},Ricardo Peréz Barrantes,"Llano bonito de Naranjo , Valle Occidental",86.17
21,23,El Aguacate,Alejandro Solís Blanco,"San Marcos , Tarrazú",85.87
22,23,La Plaza,Gelbert Naranjo Vargas,"León Cortez-Llano Bonito , Tarrazú",85.57
23,35,El Beneficio – 14,María Cecilia Solís Moreno,"Tarrazú El Rodeo , Tarrazú",85.43
