RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,12,Cerro Paldo,Ronald Monge Valverde,"Aserrí, Los Santos",92.42
2,19,Guarumal,Carlos Luis Rojas Salas,"Naranjo, Alajuela",91.53
3,28,Helsar de Zarcero,Ricardo Pérez Barrantes,"Naranjo, Alajuela",91.37
4,13,Finca de Licho,Felipe Aguilera González,"Naranjo, Alajuela",90.95
5,24,Finca Carrizal,Rodolfo Boillat Silva,"Carrizal de Alajuela, Barva Volcanoe",89.34
6,25,La Unión,María Elena Camacho Morales,"San Rafael, Heredia",89.08
7,19,Hacienda Alsacia,Alfredo Robert,"Alajuela, Alajuela",89.03
8,16,El Cerro y Angeles Norte,"Carlos Fernández Morera, Andonay Rojas Bolaños","San Ramón, Alajuela",89
9,16,La Rosa,Fernando Vindas González,"San Rafael, Heredia",87.89
10,14,La Garita,"Alvaro Chanto Ureña, Miguel Badilla Ureña, Alexis Madrigal Monges","Dota, San Jose",87.87
11,36,El Cedral,"Randal Gamboa Rojas , José A. Cordero Jiménez, Antonio Mata Valverde","Tarrazú y Dota, San Jose",87.53
12,27,Finca Santander **,Ileana Guerra Gómez,"Palmares, Alajuela",86.55
13,14,Cafés Sin Limites,"Maribel Barrantes Zuñiga, Kattia Barrantes Zuñiga, José Jaime Cárdenas R.","Naranjo, Alajuela",86.5
14,22,Beneficiadora Santa Elena S.A.,Luz Marina Trujillo Arango,"Cartago, Cartago",86.37
15,19,Rio Grande,Carlos Luis Rojas Salas,"Palmares, Alajuela",86.34
16,13,"Santa Lucia, Génesis, Los…","Ricardo Pérez Barrantes, Oscar Méndez Acuña, Marvin Rodriguez Villalobos","Naranjo y Zarcero, Alajuela",86
17,10,La Esperanza,Liliana Rodriguez,"Tarrazú, San Jose",85.76
18,17,Lote Randall,Alfredo Ruíz Núñez,"Barva, Heredia",85.26
19,22,Libano,Coopeatenas,"Atenas, Alajuela",85.26
20,22,El Patio,María Elena Camacho Morales,"San Rafael, Heredia",85.13
21,25,Carrizal,Melvin Gamboa Angulo,"San Pablo de León Cortés, Tarrazú",85.08
22,32,San Rafael and San Pedro,"Marino A. Vargas Rodríguez, Roger Arturo Chacón Ureña, Rigoberto Calderón Mena","Dota, San Jose",84.34
23,39,La Edda S.A.,Francisco Flores Negrini,"Poas, Alajuela",84.32
24,22,Agrícola Los Robles de…,"Erasmo Aguilera González, Dagoberto Aguilera González, Blanca Aguilera González","Naranjo, Alajuela",84.13
25,14,El Vapor,"Julio Calvo Salazar, Giovani Jimenez Solís, Ulises E. Porras Araya","Dota, San Jose",84.05
