LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,La Estrella,31,$20.00/lb,"$45,540.00","Tabei Coffee, Uchida Coffee, Maruyama Coffee (Japan) and Orsir Coffee (Taiwan)"
2,Don Leonsio,33,$12.00/lb,"$27,324.00","Time’s Club for C-COOP, Your Coffee (JAPAN) and Coffee Libre (S.KOREA)"
3,La Pira,30,$7.30/lb,"$16,622.10","Café Imports, The Conservatory for Coffee and Tea & Cocoa, Cravens Coffee Company, Fonte Coffee Roaster and Kean Coffee"
4,La Cumbre de Dota,39,$7.00/lb,"$18,064.20","Invalsa Coffee®, (USA) Specialty Coffee (Korea), Java Blend (Canada), Carrboro Coffee (USA), Rojo’s Roastery (USA), Reality Roasters (USA), Social Coffee (Canada), Linking Coffee (Taiwan), Georgio’s Coffee (USA) & JRene Coffee Roasters (USA)"
5,Dragón,28,$7.80/lb,"$17,760.60","Toa Coffee Co.,Ltd. for Toa Coffee and Arab Coffee"
6,El Alto,103,$4.90/lb,"$37,191.00",Toby’s Estate Coffee
7,El Cedral,34.00,$7.10/lb,"$16,166.70",Wataru for OGAWA COFFEE
8,El Llano,51.00,$4.70/lb,"$15,696.12","Wataru & Co., Ltd."
9,Sta Lucia Lote 21,34,$7.10/lb,"$16,166.70",Marubeni Corporation
10,Los Nacientes,31.00,$7.50/lb,"$17,077.50",Seven Seeds
11,Los Alpino,69,$4.40/lb,"$20,037.60","Nippon Coffee Trading Co., Ltd."
12,El Pedregal,30,$5.50/lb,"$12,523.50",Kaffebrenneriet as
13,Toño,36.00,$5.00/lb,"$11,385.00",Coffee Bean International for Target
14,El Chayote,40.00,$5.00/lb,"$11,385.00",Specialty Coffee Inc. (Korea)
15,Los Lobos #1,35.00,$4.60/lb,"$10,474.20",Jubean Coffee Roasting Co.
16,La Montaña,77.00,$4.30/lb,"$24,151.38","Invalsa Coffee® (USA), Carrboro Coffee (USA) Social Coffee (Canada)"
17,El Beneficio,35.00,$5.10/lb,"$11,612.70","Caffebene Co., Ltd."
18,Zarcero,80,$5.10/lb,"$27,096.30","MI Coffee coporation for EL CAFE coffee roasters, Caffe Themselves, CoffeeRadio, CHOI coffee/seoul barista school, Design Coffee Roasters, Beanybeans coffee & Beany Roasters"
19,La Planada,33,$6.20/lb,"$14,117.40","Wataru & Co., Ltd."
20,Valverde Abarca,40.00,$4.20/lb,"$13,388.76","Wataru & Co., Ltd."
21,El Tajo,41,$4.00/lb,"$12,144.00",Marubeni Corporation
22,Montes de Paz,46.00,$4.10/lb,"$12,447.60","Coffeeplant, Momos Coffee and Coffee Factory"
23,Bellavista,30.00,$4.50/lb,"$10,246.50","Bontain Coffee Co.,Ltd."
24,La Antigua,28.00,$4.40/lb,"$10,018.80",Time’s Club for C-COOP and Your Coffee (JAPAN)
25,Los Manzanos,37,$4.00/lb,"$12,144.00",honuKATOCOFFEE Inc.
26,Sin Limites,31,$4.40/lb,"$12,022.56","Wataru & Co., Ltd."
27,El Higueron,34.00,$4.20/lb,"$9,563.40",Marubeni Corporation
28,Los Alpinos,34.00,$4.20/lb,"$10,838.52","Wataru & Co., Ltd."
29,Enmanuel,36,$4.00/lb,"$10,929.60",honuKATOCOFFEE Inc.
30,San Pedro Tarruzú,33.00,$4.40/lb,"$12,022.56",Toby’s Estate Coffee
31,La Cuña,45.00,$4.00/lb,"$13,358.40",honuKATOCOFFEE Inc.
