RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,31,La Estrella,Luis Ricardo Calderón Madrigal,"Santa Mª de Dota, Tarrazú",90.38
2,33,Don Leonsio,Manuel Antonio Barrantes,"Lourdes de Naranjo, Occidente",88.97
3,30,La Pira,Carlos Ureña Ceciliano,"Los Santos, Los Santos Tarrazú",88.85
4,39,La Cumbre de Dota,Jorge Guiterrez,"Dota, Tarrazú",88.62
5,28,Dragón,"Luis Alberto Monge, Oscar Adolfo Monge","Parritilla, Aserri, Tarrazú",88.59
6,103,El Alto,Carlos Alberto Monge Garbanzo,"Tarbaca, Aserrí, Tarrazú",88.32
7,34,El Cedral,Adriana Fallas Venegas,"Canet, Tarrazú",87.85
8,51,El Llano,José Luis Navarro Ceciliano,"Llano de los Ángeles, Tarrazú",87.82
9,34,Sta Lucia Lote 21,"Ricardo Peréz Barrantes, Marvin Rodríguez Villalobos, Felipe Rodríguez Villalobos","Llano Bonito, Valle Occiental",87.74
10,31,Los Nacientes,Luis Pablo Bonilla Solìs,"Canet, Tarrazú",87.68
11,69,Los Alpino,Orlando Ceciliano Calderón,"corralillo, Tarrazú",86.16
12,30,El Pedregal,Josuè Bonilla Solìs,"Canet, Tarrazú",86.13
13,36,Toño,"Bernabe Aguilera Gonzalez, Antonio Aguilera, Erasmo Aguilera","Naranjo, West Valley",86.09
14,40,El Chayote,Felipe Aguilera /Alexis aguilera /Dagoberto Aguilera,"Naranjo, West Valley",86.06
15,35,Los Lobos #1,Rìo Jorco S.A.,"Acosta, Tarrazú",85.72
16,77,La Montaña,Roger Calderòn Fallas,"Palmichal, Acosta",85.59
17,35,El Beneficio,Marìa Cecilia Solìs Moreno,"Canet, Tarrazú",85.53
18,80,Zarcero,Danilo Salazar,"Zarcero, West Valley",85.53
19,33,La Planada,"Arnaldo Barrantes Zuñiga, Leonar Barrantes Zuñiga 3","Lourdes de Naranjo, West Valley",85.53
20,40,Valverde Abarca,Emilce Abarca Morales,"Cedral, Aserrí",85.44
21,41,El Tajo,Coopedota R.L,"Dota, Tarrazú",85.44
22,46,Montes de Paz,Tobìas Monge Azofeifa,"San Luis de Acosta, Tarrazú",85.25
23,30,Bellavista,Marìa Auxiliadora Bonilla Solìs,"Llano Bonito de León Cortés, Tarrazú",85.06
24,28,La Antigua,Josè Martìn Arias Castro,"Ceiba Este, Acosta, Tarrazú",85.03
25,37,Los Manzanos,Ronny Hernàndez Padilla,"San Cristobal Sur, Desamparados, Tarrazú",84.88
26,31,Sin Limites,José Jaime Cardenas,"Lourdes de Naranjo, West Valley",84.66
27,34,El Higueron,"Ronald Araya Rojas, Marlen Barrantes Zuñiga","Lourdes de Naranjo, West Valley",84.63
28,34,Los Alpinos,Nestor Ceciliano Romero,"Corralillo, Cartago, Tarrazú",84.56
29,36,Enmanuel,Maibell Barrantes,"Lourdes de Naranjo, West Valley",84.38
30,33,San Pedro Tarruzú,Ivannia Valverde Madrigal,"San Pedro, Tarrazú",84.34
31,45,La Cuña,Ismael Navarro Ceciliano,"Llano de los Ángeles, Tarrazú",84.22
