RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,27,Bella Vista,Josué Bonilla Solís,"Llano Bonito de León Cortes, Tarrazú",90
2,30,Fuego,Manuel Barrantes R.,"Lourdes, Naranjo, Valle Occidental",89.35
3,40,Calle de Copey,"Jorge Ureña Zuñiga, Ana Isabel Ureña Hidalgo, Luis Roberto Cordero Mena","Santa María de Dota, Tarrazú",89.12
4,33,Finca Barrantes,Manuel Barrantes Zúñiga,"Lourdes, Naranjo, Valle Occidental",89.06
5,38,Cafetín,Timothy Michael Obrien,"San Martín de León Cortes, Tarrazú",88.85
6,33,La Planada,Arnaldo Barrantes Zúñiga,"Lourdes, Naranjo, Valle Occidental",88.53
7,52,Corralillo,"Isaac Navarro Ceciliano, Iván Fernández Badilla","Corallillo de Cartado, Tarrazú",88.35
8,32,San Pedro,"Lesmes Vega Navarro, Luis Fernando Blanco Zúñiga, Mireya Mora Cordero","San Marcos de Tarrazú, Tarrazú",87.74
9,30,Bello Horizonte,"Sara Quirós Díaz , Manuel Adrian Quesada Mora","La Escuadra, Aserrí, Tarrazú",87.32
10,36,El Pedregal,Minor Leiva Núñez,"Fariles de Desamparados, Tarrazú",86.11
11,36,La Pira,Carlos Ureña Ceciliano,"Los Santos, Los Santos Tarrazú",86.06
12,40,La Medina,"Morayma Murillo Delgado, Jorge Enrique Retana Brenes, Luis Gonzalo Ureña Mora","Santa María de Dota, Tarrazú",85.53
13,52,Puerto Rico,"Miguel Agüero Elizondo, Coopedota R.L., Roberth Chinchilla Mora","Santa María de Dota, Tarrazú",85.5
14,30,La Loma,Luis Pablo Bonilla Solis,"Llano Bonito de León Cortes, Tarrazú",84.67
15,30,Flor del Café,Carlos Barrantes Zúñiga,"Lourdes, Naranjo, Valle Occidental",84.61
16,30,El Alto,Rose Mary Fallas Duran,"Cedral, Aserrí, Tarrazú",84.58
17,30,Agua,José Cárdenas,"Lourdes, Naranjo, Valle Occidental",84.56
18,32,El Cedral,"Luís Fernando Chacon Monge, Roger Ureña Hidalgo, Zorayda Vega Romero","Santa María de Dota, Tarrazú",84.56
19,32,El Quemado,"Miguel A. Hernández Rivera, Eduardo Vega Sánchez, Luis Guillermo Fallas Mata","Santa María de Dota, Tarrazú",84.36
20,30,Carrizal,Melvin Gamboa Angulo,"San Pablo de León Cortés, Tarrazú",84.28
21,29,Miguel,Hernán Osvaldo González López,"Barranca de Naranjo, Valle Occidental",84.17
22,32,Mirella,Francisca Cubillo Salas,"Sabanilla de Alajuela, Valle Central",84.14
23,34,San Tiago,Marvin Enrique Sánchez Godínez,"San Marcos de Tarrazú, Tarrazú",84.14
24,30,Entre Manzanos,Lydia Matamoros Agüero,"San Rafael, Naranjo, Valle Occidental",84.08
