RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1a,9,Finca Don Antonio 2017,Grupo Los Grande de Copey S.A.,"-, Tarrazú",92
1b,9,Finca Don Antonio 2017,Grupo Los Grande de Copey S.A.,"-, Tarrazú",92
2a,8,VOLCAN AZUL 2017,FERNANDO CASTRO JIMÉNEZ,"-, Valle Occidental",90.88
2b,8,VOLCAN AZUL 2017,FERNANDO CASTRO JIMÉNEZ,"-, Valle Occidental",90.88
3a,8,Don Cayito 2017,Luis Ricardo Calderón Madrigal,"-, Tarrazú",90.35
3b,8,Don Cayito 2017,Luis Ricardo Calderón Madrigal,"-, Tarrazú",90.35
4,33,EL DIAMANTE 2017,CARLOS FERNANDEZ MORERA,"-, Valle Occidental",89.76
5,12,Finca la Planada 2017,Arnaldo Barrantes Zuñiga,"-, Valle Occidental",89.41
6,17,La Ladera 2017,Maria Auxiliadora Bonilla Solis,"-, Tarrazú",89.24
7,16,El Cedral 2017,Hector Bonilla Cruz,"-, Tarrazú",89.09
8,16,Finca la Torre 2017,Ania María Barrantes Zuñiga,"-, Valle Occidental",88.97
9,23,ZAPOTE 2017,OLDEMAR ARRIETA LOBO,"-, Valle Occidental",88.91
10,16,EL CORRAL 2017,OLDEMAR ARRIETA LOBO,"-, OLDEMAR ARRIETA LOBO",88.79
11,23,Doña Ileana 2017,Cesar Felipe Rodríguez Villalobos,"-, Valle Occidental",88.24
12,17,Flor de Café 2017,Carlos Eduardo Barrantes,"-, Valle Occidental",88.09
13,23,Finca Leoncio 2017,Manuel Barrantes Zuñiga,"-, Valle Occidental",87.91
14,16,Las Nubes 2017,Adriana Fallas Venegas,"-, Tarrazú",87.82
15,25,LA MONTAÑA 2017,MARCO V. ARRIETA BRENES,"-, Valle Occidental",87.79
16,21,EL BOSQUE 2017,MARLENE BRENES MORERA,"-, Valle Occidental",87.79
17,16,La Loma 2017,Josue Bonilla Solis,"-, Tarrazú",87.76
18,16,Bellavista 2017,Josue Bonilla Solis,"-, Tarrazú",87.56
19,23,El Centro 2017,Teneria Pirro Antonio Gomez Ltda,"-, Valle Central",87.47
20,23,El Beneficio 2017,Juan Ramon Alvarado Rodriguez,"-, Valle Central",87.15
21,19,Chispita 2017,Carlos Eduardo Barrantes Zuñiga,"-, Valle Occidental",87.12
22,17,Finca Doña Nina 2017,Grupo Los Grande de Copey S.A.,"-, Tarrazú",87.09
23,16,Los Tucanes 2017,Luis Pablo Bonilla Solis,"-, Tarrazú",87.06
24,23,DON EVANGELISTA 2017,GELBERT NARANJO VARGAS,"-, Tarrazú",86.97
25,16,Sin Limites 2017,Maribel Barrantes Zuñiga,"-, Valle Occidental",86.94
26,16,Finca Parritilla 2017,Jorge Mario Araya Mora,"-, Tarrazú",86.94
27,16,"Finca El Alto, Lote El…",Juan Carlos Umaña Umaña,"-, Tarrazú",86.76
28,23,Doña Clemencia 2017,Juan Ramon Alvarado Rodriguez,"-, Valle Central",86.53
29,23,la Cumbre 2017,Allan Oviedo Rodriguez,"-, Valle Occidental",86.29
