LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1a,Don Cayito – Luis Ricardo Calderon Madrigal,8,$300.09/lb,"$158,780.62","Maruyama Coffee, Sarutahiko Coffee, Yamada Coffee"
1b,Don Cayito – Luis Ricardo Calderon Madrigal,8,$111.21/lb,"$58,842.32","MUSEO Co.,Ltd, Peaberry Limited for Pacamara Coffee Roasters"
2a,Don Antonio – Grupo Los Grandes De Copey S.A.,8,$59.58/lb,"$31,524.37","Hisashi Yamamoto Coffee(Unir), Time’s Club"
2b,Don Antonio – Grupo Los Grandes De Copey S.A.,8,$59.90/lb,"$31,693.69","Sydney Coffee Business Pty Ltd, June’s Garden Coffee Beijing China, GEE Coffee Shenzhen China"
3a,La Union – Maria Elena Camacho Morales,6,$30.10/lb,"$11,944.58",CAFFE PASCUCCI
3b,La Union – Maria Elena Camacho Morales,6,$30.10/lb,"$10,949.18",Coffee Libre
4a,La Minilla – Sergio Salas Jimenez,8.00,$70.20/lb,"$34,822.01","Time’s Club, Coffee Libre, Proud Mary"
4b,La Minilla – Sergio Salas Jimenez,7.00,$70.29/lb,"$32,542.16",Brew92 Cafe & Roastery
5a,Chispita – Carlos Eduardo Barrantes Zuñiga,8,$20.20/lb,"$10,688.02","MUSEO Co.,Ltd"
5b,Chispita – Carlos Eduardo Barrantes Zuñiga,8.00,$22.10/lb,"$11,693.33",Caffeine Lab
6a,Finca La Loma – Luis Pablo Bonilla Solis,8,$26.70/lb,"$14,127.24","Sydney Coffee Business Pty Ltd, GEE Coffee Shenzhen China, Dutch Barista"
6b,Finca La Loma – Luis Pablo Bonilla Solis,8,$26.80/lb,"$14,180.15",Terarosa (Haksan Co.Ltd)
7,Don Dario – Grupo Los Grandes De Copey S.A.,18.00,$28.42/lb,"$33,834.01",Haru International Corporation
8,El Diamante – Carlos Luis Fernández Morera,21.00,$18.20/lb,"$25,278.16",Fisher Coffee / Taster’s Coffee / The Fish Tank Cafe / Joker Coffee / SQUARE OF EIGHT / Latorre & Dutch Coffee
9,Finca La Pastora – Maria Cecilia Solís Moreno,16.00,$10.11/lb,"$10,698.60",M.I. COFFEE CORPORATION
10,Santa Teresa – Roger Ureña Hidalgo,17.00,$13.20/lb,"$14,841.55","THE DRIP CO., LTD."
11,Flor De Cafe – Carlos Eduardo Barrantes Zuñiga,15.00,$20.20/lb,"$19,372.00",Terarosa (Haksan Co.Ltd)
12,Finca El Cedral – Hector Bonilla Cruz,16,$12.00/lb,"$12,698.64",Ryans Coffee Roasters
13,Finca Las Cruces – Juan Ramon Alvarado Rodriguez,11,$11.00/lb,"$8,002.83","THE DRIP CO., LTD. with GAE ROCK"
14,Leoncio – Manuel Antonio Barrantes Zuñiga,23.00,$9.70/lb,"$14,755.54","Linking Coffee Co., Ltd."
15,Divino Niño – Mauricio Vindas Vargas,16,$15.10/lb,"$15,979.12",Brew92 Cafe & Roastery
16,Finca La Torre – Arnaldo Barrantes Zuñiga,16.00,$16.00/lb,"$16,931.52",Caffeine Lab
17,Trinidad – Luis Alberto Monge Ureña,16.00,$8.90/lb,"$9,418.16","GSC International Co., Ltd."
18,El Centro – Teneria Pirro Antonio Gomez Ltda,16.00,$17.90/lb,"$18,942.14","Cuppers Cooperative,
AG COFFEE,
Woojongho Coffee,
Santorini Coffee,
Sweet Step Coffee,
Sewoong GC,
CAFE Q"
19,Las Nubes – Roger Ureña Hidalgo,18,$13.00/lb,"$15,046.59","Linking Coffee Co., Ltd."
20,Finca Altamira – Hernàndez y Gàlvez S.A.,16,$10.50/lb,"$11,111.31",Campos Coffee
21,La Laguna – Jorge Mario Araya Mora,16.00,$8.50/lb,"$8,994.87","GSC International Co., Ltd."
22,Finca Bellavista – Josue Bonilla Solis,16.00,$8.00/lb,"$8,465.76","Wataru & Co., Ltd"
23,Sin Límites – Maribel Barrantes Zúñiga,16,$9.01/lb,"$9,534.56","Wataru & Co., Ltd"
24,El Beneficio – Juan Ramon Alvarado Rodriguez,16.00,$13.10/lb,"$13,862.68",M.I. COFFEE CORPORATION
25,Finca-El-Llano – Hector Bonilla Cruz,16.00,$8.10/lb,"$8,571.58","Wataru & Co., Ltd"
26,Cuadro El Rio – Teneria Pirro Antonio Gomez Ltda,16,$22.00/lb,"$23,280.84",Caffeine Lab
27,Doña Clemencia – Beneficio Brumas Del Zurqui S.A,16,$11.30/lb,"$11,957.89",Fisher Coffee / Joker Coffee / Latorre & Dutch Coffee
28,El Alto – Luis Enrique Navarro Porras,16,$11.20/lb,"$11,852.06",Kyokuto Fadie Corporation
29,Dragon – Luis Alberto Monge Ureña,23,$9.61/lb,"$14,618.64",Coffee Libre
30,Juanachute Punta – Luis Anastasio Castro Vargas,17,$7.90/lb,"$8,621.19",Honu Kato Coffee Inc.
31,Finca Las Nubes – Luis Pablo Bonilla Solis,16,$8.00/lb,"$8,465.76","Wataru & Co., Ltd"
32,Sol Naciente – Luis Arturo Bonilla Chacón,16,$8.00/lb,"$8,465.76",Kyokuto Fadie Corporation
33,Lorena – Manuel Antonio Barrantes Zuñiga,12,$9.20/lb,"$6,997.43",Caffeine Lab
34,Finca Los Tucanes – Maria Auxiliadora Bonilla Solis,16,$10.50/lb,"$11,111.31","ying fung international co., ltd."
35,San Cristobal – Eduardo Navarro Jimenez,16,$13.40/lb,"$14,180.15",Brew92 Cafe & Roastery
36,Volcan Azul – Finca FCJ Volcán Azul S.A,12,$16.10/lb,"$12,245.50","Coffee Me Up (Korea), 331Roasters, cafe.dorandoran, Note coffee Roasters"
