LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Importadora Latinamericana,15,$15.10/lb,"$34,454.94",Wataru for C&C
2,Sin Limites,15,$15.10/lb,"$34,454.94","Mercanta The Coffee Hunters for Monmouth Coffee Company UK, Cafes El Magnifico Spain, and Cafes Meo France"
3,La Loma,16,$12.10/lb,"$29,450.23",Mercanta The Coffee Hunters for Fortnum and Mason UK and Den Gyldne Bonne Norway
4,Ojo de Agua,15,$10.15/lb,"$23,160.11","Maruyama Coffee for Mikatajuku group, Haneda Coffee, Voila Coffee, Orsir Coffee"
5,Valverde Abarca,15,$6.30/lb,"$14,375.24",TIME’S CLUB for C-COOP
6,La Luisa,50,$4.20/lb,"$31,944.98",Kaffebrenneriet as
7,Bella Vista,15.00,$5.25/lb,"$11,979.37","TOA COFFEE Co.,Ltd."
8,La Montaña,20.00,$5.30/lb,"$16,124.61",Kyokuto Fadie Corporation
9,Parritilla,15,$5.40/lb,"$12,321.64",SUPREMO Kaffeeroesterei in Unterhaching
10,Las Nubes,29.00,$4.35/lb,"$19,189.81",Kaffebrenneriet as
11,Finca San Isidro,15,$4.65/lb,"$10,610.30",Nippon Coffee Trading for Doi Coffee
12,Amapola,42,$3.66/lb,"$23,383.73",Kaffebrenneriet as
13,El Alto,15.00,$4.65/lb,"$10,610.30","Coffee Bean International, Inc."
14,Lourdes,15.00,$4.20/lb,"$9,583.49","Wataru & Co., Ltd."
15,Mirella,15.00,$5.05/lb,"$11,523.01",SUPREMO Kaffeeroesterei in Unterhaching
16,Santa Lucia,15.00,$5.35/lb,"$12,207.55",Sweet Maria’s Coffee
17,La Planada,15.00,$4.06/lb,"$9,264.04","Gabee Yang Co., Ltd"
18,El Higueron,15,$4.00/lb,"$9,127.14","Wataru & Co., Ltd."
19,El Portillo,15,$4.05/lb,"$9,241.23","Mercanta The Coffee Hunters for Has Bean UK, Square Mile Coffee Roasters UK, Eenhoorn Netherlands, Golden Coffee Box Netherlands, Sviezia Kava Lithuania, Two Day Coffee Roasters UK, Kaffeespezialitaet Austria"
20,Los Lobos,15.00,$4.00/lb,"$9,127.14","Wataru & Co., Ltd."
21,El Socorro,30,$4.11/lb,"$18,756.27",Nippon Coffee Trading for Doi Coffee
22,El Beneficio,15.00,$5.00/lb,"$11,408.92",Kyokuto Fadie Corporation
23,Finca Santa Lucia,15.00,$4.05/lb,"$9,241.23",MOKKA SPECIALITY COFFEE
24,La Peña,15.00,$4.15/lb,"$9,469.41","Wataru & Co., Ltd."
25,Frailes Arriba,37,$3.05/lb,"$17,166.62",KATOCOFFEE Inc.
26,Vara Blanca,25,$5.75/lb,"$21,867.10",Andronicas world of coffee at Harrods
27,Santa Rosa Arriba,20.00,$3.00/lb,"$9,127.14",GBT & Jubean
28,La Unión,15.00,$5.10/lb,"$11,637.10",Wataru for Art Coffee
29,Sociedad Gamboa,40,$2.75/lb,"$16,733.09",KATOCOFFEE Inc.
30,San Marcos,20.00,$2.95/lb,"$8,975.02",SUPREMO Kaffeeroesterei in Unterhaching
