LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Nemba (Greenco Burundi),30,$28.70/lb,"$55,363.16","UCC Ueshima Coffee Co., Ltd."
2,Kiryama (Sogestal Kayanza),29,$10.90/lb,"$20,305.61","Maruyama Coffee, Adachi Coffee (JAPAN) // Orsir Coffee (TAIWAN)"
3,Heza (CCC),21,$16.10/lb,"$21,829.02",TERAROSA(HAKSAN Co.Ltd)
4,Gahahe (Greenco Burundi),42,$6.40/lb,"$17,777.98","Latorre & Dutch Coffee Traders, Fisher Coffee (CHINA)"
5,Mutumba (Sogestal Kayanza),27,$8.30/lb,"$14,638.63",Time’s Club (JAPAN) // Coffee Libre (KOREA)
6,Karehe (Sogestal Kayanza),28,$11.25/lb,"$20,461.50",HARU International Corp.
7,Yandaro (Greenco Burundi),22,$8.50/lb,"$12,180.50","Hiro Coffee Co.,Ltd."
8,Heza (CCC),19,$9.30/lb,"$11,686.66","​Museo Co., Ltd., Coffeejumbbang (KOREA)"
9,Nzove (Greenco Burundi),36,$5.61/lb,"$13,357.30",WATARU for OGAWA COFFEE
10,Kibingo (Greenco Burundi),42,$6.01/lb,"$16,694.64","Wataru & Co., Ltd."
11,Gasura (Kalico),35,$4.40/lb,"$10,039.79","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
12a,Nkaka (Greenco Burundi),62,$5.40/lb,"$22,143.08","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
12b,Munkaze (Munkaze Coffee),17,$5.30/lb,"$5,959.06",NAGAHAMA COFFEE Inc.
14,Gakenke (Greenco Burundi),50,$5.00/lb,"$16,424.35",Coffee Libre
15,Mpanga (SEGEC),34,$4.80/lb,"$10,793.76",Campos Coffee
16,Yandaro (Greenco Burundi),77,$5.00/lb,"$25,353.00",honuKATOCOFFEE Inc.
17,Kigobe (Kalico),48,$4.60/lb,"$14,603.34",honuKATOCOFFEE Inc.
18,Buziraguhindwa (CPC),19,$5.10/lb,"$6,408.81",elbgold Roestkaffee GmbH
19,Mahonda (Sogestal Kirimiro),27,$5.20/lb,"$9,285.80",Kyokuto Fadie Corporation
20a,Butemba (Sogestal Kirimiro),31,$4.50/lb,"$9,226.30",MC FOODS LIMITED
20b,Rugori (Greenco Burundi),36,$4.50/lb,"$10,674.72","Wataru & Co., Ltd."
22,Buziraguhindwa (CPC),18,$4.30/lb,"$5,119.11",Solberg & Hansen AS
23,Butihinda (Kalico),25,$5.20/lb,"$8,322.86","Wataru & Co., Ltd."
24a,Kavugangoma (Aproco),14,$4.20/lb,"$3,888.95",EL CAFE coffee roasters
24b,Gakenke (Greenco Burundi),41,$4.82/lb,"$12,836.48",InterAmerican Coffee GmbH
26,Butegana (Greenco Burundi),47,$4.50/lb,"$13,760.06",Kaffebrenneriet as
27,Muramba (Kalico),32,$4.10/lb,"$8,505.61","RYANS COFFEE ROASTERS, DILIKAPO COFFEE, Cafe Nara, Coffee Montage, ABYSSINIA COFFEE, Cafe DOME"
