RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,30,Nemba (Greenco Burundi),Javénal Bizimana,"Kayanza, Kayanza",91.09
2,29,Kiryama (Sogestal Kayanza),Viateur Niyirera,"Butaganzwa, Kayanza",89.8
3,21,Heza (CCC),Zéphirin Bucumi,"Matongo, Kayanza",89.32
4,42,Gahahe (Greenco Burundi),Séraphine Bigirimana,"Kayanza, Kayanza",89.21
5,27,Mutumba (Sogestal Kayanza),Pauline Ntaconkurikira (IWCA Burundi),"Busiga, Ngozi",88.92
6,28,Karehe (Sogestal Kayanza),Candide Nirere,"Busiga, Ngozi",88.8
7,22,Yandaro (Greenco Burundi),Marc Hakizimana,"Kabarore, Kayanza",88.51
8,19,Heza (CCC),Cyrille Niyonzima,"Matongo, Kayanza",88.45
9,36,Nzove (Greenco Burundi),Séraphine Niyonsaba,"Mwumba, Ngozi",88.32
10,42,Kibingo (Greenco Burundi),Hilaire Hakizimana,"Kayanza, Kayanza",88.2
11,35,Gasura (Kalico),Frédéric Rwasa,"Vumbi, Kirundo",86.62
12a,62,Nkaka (Greenco Burundi),Théodore Mbonimpa,"Mwumba, Ngozi",86.57
12b,17,Munkaze (Munkaze Coffee),Juvénal Mukeshimana,"Kayanza, Kayanza",86.57
14,50,Gakenke (Greenco Burundi),Salvator Nyandwi,"Kayanza, Kayanza",86.53
15,34,Mpanga (SEGEC),Bernard Congera,"Kayanza, Kayanza",86.42
16,77,Yandaro (Greenco Burundi),Jérôme Bankuwiha,"Kabarore, Kayanza",86.36
17,48,Kigobe (Kalico),Jean Nkunzimana,"Vumbi, Kirundo",86.33
18,19,Buziraguhindwa (CPC),Egide Minani,"Muruta, Kayanza",86.07
19,27,Mahonda (Sogestal Kirimiro),Mathieu Bizimana,"Bukirasazi, Gitega",85.96
20a,31,Butemba (Sogestal Kirimiro),Pierre Hararawe,"Gitega, Gitega",85.93
20b,36,Rugori (Greenco Burundi),André Ntahompagaze,"Busiga, Ngozi",85.93
22,18,Buziraguhindwa (CPC),Ramadhan Salum,"Muruta, Kayanza",85.58
23,25,Butihinda (Kalico),Evariste Nsabimana,"Butihinda, Kirundo",85.51
24a,14,Kavugangoma (Aproco),Richard Kaderi,"Mwakiro, Muyinga",85.49
24b,41,Gakenke (Greenco Burundi),Ezéchiel Miburo,"Kayanza, Kayanza",85.49
26,47,Butegana (Greenco Burundi),Déo Bacamurwanko,"Kayanza, Kayanza",85.18
27,32,Muramba (Kalico),Sebigo,"Butihinda, Kirundo",85.12
