LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Mpanga (I),19,$59.10/lb,"$74,288.70","[Brazil 100th International Jury Group] Campos Coffee, Solberg & Hansen, Intelligentsia, Terarosa, Cafes El Magnifico, Cafe Meo, Maruyama Coffee, Orsir Coffee, Coffee Tree"
2,Kirema,43,$12.40/lb,"$35,265.60",Wataru for TAKAMURA COFFEE ROASTERS
3,Mpanga (II),16,$25.10/lb,"$26,555.80","Maruyama Coffee for Yamada Coffee, Yokoi Coffee, Sugi Coffee Roasting"
4,Bwayi (I),41,$7.00/lb,"$18,984.00","Terarosa Coffee, Coffeejumbbang (Korea)"
5,Ramba,41,$6.00/lb,"$16,272.00",Kaffebrenneriet as
6,Mahonda (2014),43,$5.60/lb,"$15,926.40","Wataru & Co., Ltd."
7,Gahahe (I),44,$5.30/lb,"$15,423.00","Time’s Club, Coffee Libre, TOA COFFEE Co.,Ltd"
8,Masha (I),39,$7.10/lb,"$18,310.90",Kyokuto Fadie Corporation
9,Kabumburi,17,$5.90/lb,"$6,631.60",Solberg & Hansen AS
10,Gakenke,38,$5.45/lb,"$13,695.85",Campos Coffee
11,Nemba (2014),24,$4.60/lb,"$7,300.20","32cup, Kaffitar, Vivasara, Dutchbarista, Cantata"
12,Nkondo,36,$4.10/lb,"$9,762.10",Caffe Pascucci S.p.A.
13,Munyinya,40,$4.10/lb,"$10,848.60",Maruyama Coffee
14,Bwayi (II),40,$5.50/lb,"$14,553.00",Intelligentsia
15,Buhorwa,26,$4.40/lb,"$7,568.00",Crop To Cup Coffee Importers
16,Butegana (I),37,$4.10/lb,"$10,032.70",Coffee Bean International on behalf of Nordstrom Specialty Coffee
17,Masha (II),64,$4.00/lb,"$16,932.00",Orsir Coffee (Taiwan)
18,Gitaba,41,$4.00/lb,"$10,848.00","honuKATOCOFFEE, Inc."
19,Yandaro,32,$4.20/lb,"$8,887.20","Wataru & Co., Ltd."
20,Karehe,27,$4.20/lb,"$7,501.20","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
21,Kigobe,21,$4.20/lb,"$5,833.80",Nagahama Coffee Inc.
22,Ruvubu,47,$4.00/lb,"$12,432.00",honuKATOCOFFEE Inc.
23,Kibuye,42,$4.10/lb,"$11,389.80",Imperator SRL
24,Gatare (2014),40,$4.20/lb,"$11,113.20",Mecca
25,Butegana (II),15,$6.10/lb,"$6,051.20","Tres Cabezas Berlin Stock Spittel GbR, List & Beisler GmbH, Doubleshot s.r.o."
26,Nzewe,29,$4.00/lb,"$7,672.00",Oren’s Daily Roast
27,Gahahe (II),34,$4.00/lb,"$8,996.00",Wataru for NOZY COFFEE
