LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,KINYOVU,27,$25.20/lb,"$44,982.00","UCC Ueshima Coffee Co., Ltd."
2,NEMBA,19,$17.20/lb,"$21,603.20","Maruyama Coffee, Coffee A Go Go and Branch Coffee"
3,KIBINGO,20,$17.40/lb,"$23,002.80","EL CAFE coffee roasters, Seo Dongjin’s Coffee Lab, Told a Story, Beansfree, Coffee President, Coffee Island (S. Korea)"
4,MPEMBA,18,$16.32/lb,"$19,420.80",TERAROSA and Belief (S. Korea)
5,MUREHE,24,$8.40/lb,"$13,330.80",32cup/Coffeeroots/Cantata (Belgium)
6,GATARE,23,$8.10/lb,"$12,320.10",Cafe Masseria
7,BURENGO,42,$7.90/lb,"$21,938.30",Coffee Magazine Company Ltd.
8,MAHONDA,20,$8.40/lb,"$11,104.80",Campos Coffee
9,BUTEMBA,19,$7.00/lb,"$8,799.00","Wataru & Co., Ltd."
10,MURWI,18,$6.20/lb,"$7,378.00",Dach
11,KIRYAMA,24,$6.20/lb,"$9,839.40","Wataru & Co., Ltd."
12,GISHAMBUSHA,44,$7.40/lb,"$21,534.00","Wataru & Co., Ltd."
13,RUHANDE,20,$6.00/lb,"$7,932.00","Wataru & Co., Ltd."
14,BUTEMBA II,18,$6.00/lb,"$7,140.00",honuKATOCOFFEE Inc.
