RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,27,BUSINDE Washing Station,MANICANYE Christian,"Muhanga, Kayanza",91.4
2,34,YANDARO Washing Station,WEGE Olivier/ Aline KAZOYISENGA,"Kabarore, Kayanza",91.25
3,47,MAHONDA Washing Station,MPFUBUSA Déo-Bède,"Buraza, Gitega",90.53
4,68,KIBUNGERE Washing Station,MPFUBUSA Déo-Bède,"Nyabihanga, Mwaro",89.3
5,47,KIBUNGERE Washing Station,MPFUBUSA Déo-Bède,"Nyabihanga, Mwaro",89.03
6,25,MWENDO Washing Station,NKURUNZIZA Victor,"Ntega, Kirundo",88.75
7,47,GASAVE Washing Station,MPFUBUSA Déo-Bède,"Kayokwe, Mwaro",88.15
8,99,BUHORWA Washing Station,NYARUSHASTI Anselme,"Bukeye, Muramvya",87.53
9,47,MAHONDA Washing Station,MPFUBUSA Déo-Bède,"Buraza, Gitega",87.33
10,48,BUTEMBA Washing Station,MPFUBUSA Déo-Bède,"Bukirasazi, Gitega",87.08
11,28,MURAMBI Washing Station,NIBARUTA Cassien,"Kiganda, Muramvya",86.88
12,26,NKANDA Washing Station,Pierre,"Tangara, Ngozi",86.68
13,46,MASHA Washing Station,WEGE Olivier/ Aline KAZOYISENGA,"Gatara, Kayanza",86.63
14,48,RUSAMAZA Washing Station,MPFUBUSA Déo-Bède,"Gihogazi, Karusi",86.48
15,39,RUHANDE Washing Station,MPFUBUSA Déo-Bède,"Gishubi, Gitega",86.43
16,45,KIBUNGERE Washing Station,MPFUBUSA Déo-Bède,"Nyabihanga, Mwaro",85.88
17,48,NYAMASAKA Washing Station,NKURUNZIZA Victor,"Muyinga, Muyinga",85.68
