RANK,SIZE,FARM / CWS,FARMER / REPRESENTATIVE,REGION,SCORE
1,27,KINYOVU,SOGESTAL KAYANZA,"MATONGO, KAYANZA",90.37
2,19,NEMBA,WEBCOR,"KAYANZA, KAYANZA",90.2
3,20,KIBINGO,WEBCOR,"KAYANZA, KAYANZA",90.13
4,18,MPEMBA,KAZOZA NIKAWA,"MATONGO, KAYANZA",89.73
5,24,MUREHE,SOGESTAL KIRUNDO,"MARANGARA, NGOZI",89
6,23,GATARE,SOGESTAL KAYANZA,"RANGO, KAYANZA",88.5
7,42,BURENGO,SOGESTAL KIRUNDO,"NTEGA, KIRUNDO",88.27
8,20,MAHONDA,SOGESTAL KIRIMIRO,"BURAZA, GITEGA",87.7
9,19,BUTEMBA,SOGESTAL KIRIMIRO,"BURAZA, GITEGA",87.03
10,18,MURWI,MURWI,"MURWI, CIBITOKE",86.6
11,24,KIRYAMA,SOGESTAL KAYANZA,"BUTAGANZWA, KAYANZA",86.43
12,44,GISHAMBUSHA,SOGESTAL KIRUNDO,"GASHOHO, MUYINGA",86.1
13,20,RUHANDE,SOGESTAL KIRIMIRO,"GISHUBI, GITEGA",86
14,18,BUTEMBA II,SOGESTAL KIRIMIRO,"BURAZA, GITEGA",85.87
