LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Las Golondrinas,14,$47.06/lb,"$100,222.06",Stumptown Coffee Roasters (US)
2,La Union,18,$8.15/lb,"$22,315.85","Cafe Imports (US), The Coffee Tree Roasters (US), Green Coffee Cooperative (US), 49th Parallel Roasters"
3,Villa Fontana,14,$8.20/lb,"$17,463.26","Maruyama Coffee (Japan), Mikatajuku Group (Japan), Yokoi Coffee (Japan), Orsir Coffee Company (Taiwan)"
4,Las Termopilas,17,$10.00/lb,"$25,860.22","Cafe Imports (US), Sacred Grounds Organic Coffee Roasters (US), Montana Coffee Traders (US), Intelligentsia (US), Ecco Caffe (US), Olympia Coffee Roasting Company (US), Alterra Coffee Roasters (US), 49th Parallel Roasters Inc. (Canada)"
5,Santa Isabel,19,$7.82/lb,"$22,601.84","Zephyr Green Coffee LLC (US), Zoka Coffee Roaster & Tea Company (US), Montana Coffee Traders (US), Stanton Coffee (US), The Coffee Project (US)"
6,Hacienda Los Nogales,21,$6.80/lb,"$21,722.59",Solberg & Hansen AS (Norway)
7,La Virgen,12,$6.95/lb,"$12,686.72",Gimme!Coffee (US)
8,El Sauce,16,$6.00/lb,"$14,603.42",Kaffebrenneriet AS (Norway)
9,La Esperanza,16,$6.12/lb,"$14,895.49",Sweet Maria’s Coffee (US)
10,Finca Esperanza Verde,21,$6.35/lb,"$20,285.06",Counter Culture Coffee (US)
11,Agricola Siare,28,$5.80/lb,"$24,704.12",Kaffebrenneriet AS (Norway)
12,San Jorge,13,$6.10/lb,"$12,063.03","Toa Coffee Co., Ltd. (Japan)"
13,Santa Gema,13,$6.00/lb,"$11,865.28",Solberg & Hansen AS (Norway)
14,Bella Aurora,13,$6.10/lb,"$12,063.03","Bontain Coffee Co.,Ltd. (Japan)"
15,Los Milagros,21,$4.55/lb,"$14,534.97",Fratello Coffee Co. (Canada)
16,La Esperanza,14,$5.20/lb,"$11,074.26","Time’s Club (Japan), C-COOP (Japan)"
17,Tierra Linda,14,$5.25/lb,"$11,180.74","Mercanta The Coffee Hunters (UK) , Union Coffee Roasters (UK) , The Golden Coffee Box (Netherlands), Kaffitar (Iceland)"
18,Santa Guadalupe,15,$4.35/lb,"$9,925.76","Tashiro Coffee Co.,Ltd (Japan)"
19,Cooperativa Luis Alberto…,18,$4.64/lb,"$12,704.98","Zephyr Green Coffee LLC (US), Sacred Grounds Organic Coffee Roasters (US), Blue Bottle Coffee (US), Ecco Caffe (US), Groundwork (US), Kaldi’s Coffee Roasting Co. (US), Corsair Coffee (US)"
20,Cooperativa Jose Alfredo…,23,$4.40/lb,"$15,394.44",Arvid Nordquist HAB (Sweden)
21,Linda Vista,14,$5.00/lb,"$10,648.33","Wataru & Co., Ltd. (Japan)"
22,Santa Maria de Loardes,19,$4.00/lb,"$11,561.04",Katocoffee Inc. (Japan)
23,Los Angeles,14,$4.95/lb,"$10,541.84",Ecom Japan Limited (Japan)
24,Divina Providencia,14,$4.80/lb,"$10,222.39","Arab Coffee Co., Ltd. (Japan)"
25,El Bosque,15,$5.05/lb,"$11,523.01","Coffee Bean International, Inc. (US)"
26,Ojo de Agua,19,$4.40/lb,"$12,717.15","Carandai Co., Ltd. (Japan)"
27,El Limoncillo,18,$5.05/lb,"$13,827.61","Mercanta The Coffee Hunters (UK), Den Glydne Bonne (Norway), Has Bean Coffee Ltd. (UK), Twoday Roaster (UK), Kahls (Sweden)"
28,Casas Viejas,14,$4.45/lb,"$9,477.01",Bewleys Ltd. (Ireland)
29,Los Papales,15,$5.00/lb,"$11,408.92",Bettys and Taylors of Harrogate (UK)
30,Los Encinos (San Isidro),14,$4.40/lb,"$9,370.53","Nippon Coffee Trading Co., Ltd. (Japan)"
31,Aguas Frescas,16,$4.30/lb,"$10,465.78","Wataru & Co., Ltd. (Japan)"
32,Hacienda Buenos Aires,20,$3.95/lb,"$12,017.40","Wataru & Co., Ltd. (Japan)"
33,El Porvenir,14,$4.35/lb,"$9,264.04","Wataru (Japan), SHRUB (Japan)"
34,La Esperanza San Juan,13,$4.15/lb,"$8,206.82",Vournas Coffee Trading (US)
