LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1,Buenos Aires (2015),23,$21.60/lb,"$32,680.80","Time’s Club, Kyokuto Fadie, Tashiro Coffee, TOA coffee, HoneyCoffee (JAPAN) // Coffee Libre (KOREA)"
2,La Picona 2015,20,$11.00/lb,"$14,553.00","Maruyama Coffee, Yokoi Coffee, Adachi Coffee, Yamada Coffee"
3,Los Altos,24,$10.00/lb,"$15,670.00",Campos Coffee
4,La Esperanza,18,$6.20/lb,"$7,173.40",Bewleys Coffee
5,Fila Alta (2015),26,$5.60/lb,"$9,391.20",Campos Coffee
6,San Alberto,28,$4.70/lb,"$8,680.90","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
7,La Ventaja,20,$6.00/lb,"$7,740.00","UCC Ueshima Coffee Co., Ltd."
8,Las Nubes (2015),36,$7.70/lb,"$18,264.40",UCC Ueshima Coffee Co. UK
9,Agropecuaria Santa Maura,28,$4.40/lb,"$7,972.80","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
10,La Carolina (2015),22,$4.20/lb,"$5,972.40",WATARU for OGAWA COFFEE
11a,Linda Vista (2015),23,$4.30/lb,"$6,389.80",UCC Ueshima Coffee Co. UK
11b,La Estacion (2015),11,$7.00/lb,"$5,096.00",Mercanta the Coffeehunters (UK) // Den Gyldne Bonne (NORWAY)
13,San Jose (2015),23,$6.00/lb,"$8,928.00",Kyokuto Fadie Corporation
14,El Roble (2015),16,$4.00/lb,"$4,232.00","Wataru & Co., Ltd."
15,Santa Fe,25,$4.10/lb,"$6,715.80","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
16a,El Suyatal,22,$4.40/lb,"$6,353.60",Ecom Japan Limited
16b,San Jorge (2015),21,$6.90/lb,"$9,556.50","Wataru & Co., Ltd."
18,La Escondida,19,$4.10/lb,"$5,153.70","TASHIRO COFFEE Co.,Ltd"
19,El Barril,26,$10.30/lb,"$17,376.10","Caravela Coffee for Passenger Coffee, Vigilante Coffee, Boston Stoker (USA) // Holly Brown (HONG KONG)"
20a,El Ojo de Agua / Finca San…,16,$4.00/lb,"$4,576.00",Maruyama Coffee
20b,Luz y Sombra de Janeiro,24,$4.90/lb,"$7,776.30",MOMOS COFFEE
22,El Mango,33,$4.10/lb,"$8,950.30","Wataru & Co., Ltd."
23,El Porvenir,14,$4.60/lb,"$4,232.00","WATARU for FRESH ROASTER COFFEE TONYA CO., LTD."
24,El Recuerdo,18,$4.10/lb,"$4,879.00","Wataru & Co., Ltd."
25a,El Cedro,34,$4.10/lb,"$9,167.60","RYANS COFFEE ROASTERS, Cafe Nara, CAFE Q, LK ESPRESSO, ACID BROWN COFFEE, BROWNHOLIC COFFEE ROASTERS, BERRY BEANS, S.W Park"
25b,La Bendicion,18,$4.60/lb,"$5,322.20",honuKATOCOFFEE Inc.
27,Las Neblinas,24,$4.10/lb,"$6,461.60",Kaffebrenneriet as
28,La Cascada,22,$4.00/lb,"$5,772.00","Wataru & Co., Ltd."
29,San Salvador,22,$4.00/lb,"$5,812.00","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore(Buchon)"
30a,Volcancito (2015),36,$4.00/lb,"$9,524.00","Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore(Buchon)"
30b,Las Cumbres,22,$4.10/lb,"$5,965.50","Nippon Coffee Trading Co.,Ltd"
32,Flor Silverstre,19,$4.90/lb,"$6,159.30",MOMOS COFFEE
33,El Naranjo,20,$4.10/lb,"$5,342.30",MOMOS COFFEE
34a,La Laguna (2015),21,$4.00/lb,"$5,556.00",Ecom Japan Limited
34b,El Coco,17,$4.10/lb,"$4,473.10",Carrboro Coffee Roasters
36,Loma Verde,17,$4.00/lb,"$4,496.00","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)"
