LOT #,WINNING FARM / CWS,LOT SIZE,HIGH BID,TOTAL VALUE,HIGH BIDDER(S)
1a,Finca La Bendicion – Finca La Bendicion,7,$31.60/lb,"$14,288.57","Maruyama Coffee (Japan), Sarutahiko Coffee (Japan), Good Boy Bob Coffee (U.S.A.)"
1b,Finca La Bendicion – Finca La Bendicion,6,$32.09/lb,"$12,734.27",Brew92 Cafe & Roastery
2a,Las Promesas de San Blas – Gonzalo Adán Castillo Moreno,7,$15.30/lb,"$7,083.44",Rehm & Co. / Benecke Coffee GmbH & Co.
2b,Las Promesas de San Blas – Gonzalo Adán Castillo Moreno,7,$15.30/lb,"$7,083.44","Time’s Club, Coffee Libre"
3a,Jesus Mountain – JESUS MOUNTAIN COFFEE COMPANY S.A,6,$10.30/lb,"$4,087.35","TOA COFFEE Co., Ltd."
3b,Jesus Mountain 3b – JESUS MOUNTAIN COFFEE COMPANY S.A,6,$10.20/lb,"$3,510.53",Campos Coffee
4a,El Cambalache – Abner Samuel Zavala Gonzalez,8,$9.60/lb,"$4,781.09",Kafferostare Per Nordby
4b,El Cambalache – Abner Samuel Zavala Gonzalez,7,$10.60/lb,"$4,907.48",HoneyCoffee (Izaki Coffee Co. Ltd)
5a,Un Regalo de Dios – Luis Alberto Balladarez Moncada,6,$15.50/lb,"$6,150.87","Adachi Coffee, Uchida Coffee, Maruyama Coffee"
5b,Un Regalo de Dios – Luis Alberto Balladarez Moncada,6,$15.31/lb,"$6,075.47",Single O
6,La Virgen – Ramacafe (Grupo Hueck Poncon),22,$7.50/lb,"$10,650.00",Dabov Specialty Coffee
7,El Manantial – Gloria Stella Lopez Moreno,15,$7.65/lb,"$7,497.00","Pebble Coffee Co., Ltd."
8,El Esfuerzo – Ignacio Estrada Burgo,12,$9.10/lb,"$7,222.31","Intelligentsia, George Howell Coffee, Ipsento, Onyx Coffee Lab, Metric, Cafe Imports"
9,La Esperancita – Industrial Ganadera de Nicaragua S.A,15,$7.90/lb,"$7,512.90",Kafema
10,Los Angeles – Heberto de Jesus Rivas,15,$7.10/lb,"$6,915.40",Honu Kato Coffee Inc.
11,San Judas Estate – Jorge Luis Ferrey Machado,8,$10.00/lb,"$5,260.00",Sulalat Coffee Trading
12,Las Nubes – Las Nubes S.A / Victor Robelo,12,$9.10/lb,"$7,222.31","TOA COFFEE Co., Ltd."
13,La Divina Providencia – Misael Sauceda Olivera,14,$7.50/lb,"$6,598.73",Caravela Coffee
14,El Recuerdo – El Recuerdo,10,$7.40/lb,"$4,654.60","Maruyama Coffee, Sunshine State Espresso"
15,El Recreo Estate – Leana José Machado De Ferrey,21,$7.30/lb,"$9,730.90",Latorre and Dutch Coffee & Fisher Coffee
16,La Ampliacion – Guillermo Montenegro Ayestas,15,$6.50/lb,"$6,090.50","Wataru & Co., Ltd."
17,El Destino – Erwin Obel Duartes Garcia,15,$8.10/lb,"$7,938.00",Campos Coffee
18,"La Bastilla – Cafetalera La Bastilla, S.A.",9,$8.00/lb,"$4,432.00",Taylors of Harrogate
19,Las Pencas – Felix Pedro Siles Gadea,8,$9.20/lb,"$4,867.72",Rehm & Co. / Benecke Coffee GmbH & Co.
20,Ojo de Agua – Luis Emilio Valladarez,14,$12.20/lb,"$11,296.35",Ecom Japan Limited
21,Bella Aurora – Luis Joaquin Lovo Gutiérrez,14,$6.90/lb,"$6,388.92",Honu Kato Coffee Inc.
22,Las Delicias – Eleane Mierisch & Gioconda Padilla,14,$7.30/lb,"$6,511.60","Orsir Coffee, TRN(Taiwan Roasters Network)"
23,Las Morenitas – Las Morenitas S.A. / Victor Robelo,14,$10.10/lb,"$8,877.90",Brew92 Cafe & Roastery
24,La Rioja – Graciela Izayana Perez Bustos,24,$5.70/lb,"$8,880.60",Honu Kato Coffee Inc.
25,"San Jose – MIMC S, A",15,$5.90/lb,"$5,728.90","Wataru & Co., Ltd."
26,Santa Teresa – Jorge Luis Lagos Calix,16,$6.60/lb,"$6,705.60",Kyokuto Fadie Corporation
27,San Ramon – Alfredo Rene Lopez Gomez,13,$6.80/lb,"$5,630.40",Nippon Coffee Trading
28,Santa Prisca – Leonel De Jesús Rodríguez Valladarez,15,$6.80/lb,"$6,746.08","Wataru & Co., Ltd."
29,Los Pirineos – Eudoro José Guillén Jarquín,13,$5.60/lb,"$4,814.82","Wataru & Co., Ltd."
30,Buenos Aires – Luis Emilio Valladarez,11,$7.90/lb,"$5,537.90","Wataru & Co., Ltd."
31,La Bendicion – Jose Liberato Jarquin Agurcia,12,$5.90/lb,"$4,526.48",Honu Kato Coffee Inc.
32,El Barril – Bayardo José Jimenez Rodríguez,15,$6.60/lb,"$6,547.66",Caravela Coffee
33,Buena Esperanza – Agricola Rajuanse S.A,16,$5.50/lb,"$5,820.16","Wataru & Co., Ltd."
34,Tierra Linda – Uriel Antonio Castellano Paguaga,14,$6.20/lb,"$5,704.00",Kaffebrenneriet As
35,Buena Vista – Roger Esaú Herrera Ortez,12,$7.10/lb,"$5,232.70",Kyokuto Fadie Corporation
